Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.3125, 0.3125, 475.86538461538464, 0.11837443
2, 0.3125, 0.3125, 538.0384615384615, 0.13384041
3, 0.3125, 0.3125, 539.4038461538462, 0.13418007
4, 0.3125, 0.3125, 539.4230769230769, 0.13418485
5, 0.3125, 0.3125, 540.3846153846154, 0.13442406
6, 0.3125, 0.3125, 541.5769230769231, 0.13472062
7, 0.3125, 0.3125, 542.0576923076923, 0.13484018
8, 0.3125, 0.3125, 542.2307692307693, 0.13488324
9, 0.3125, 0.3125, 540.5576923076923, 0.1344671
10, 0.3125, 0.3125, 538.0192307692307, 0.13383561
11, 0.3125, 0.3125, 534.7307692307693, 0.13301761
12, 0.3125, 0.3125, 534.1538461538462, 0.13287415
13, 0.3125, 0.3125, 533.9423076923077, 0.13282153
14, 0.3125, 0.3125, 536.0576923076923, 0.1333477
15, 0.3125, 0.3125, 539.5961538461538, 0.13422789
16, 0.3125, 0.3125, 539.6153846153846, 0.13423268
17, 0.3125, 0.3125, 540.1153846153846, 0.13435706
18, 0.3125, 0.3125, 531.9038461538462, 0.13231438
19, 0.3125, 0.25, 534.3653846153846, 0.13292669
20, 0.25, 0.25, 531.5, 0.13221392
21, 0.25, 0.25, 522.1923076923077, 0.12989858
22, 0.25, 0.25, 522.9423076923077, 0.13008516
23, 0.25, 0.25, 523.7307692307693, 0.13028128
24, 0.25, 0.25, 523.8653846153846, 0.13031477
25, 0.25, 0.25, 523.9230769230769, 0.13032912
26, 0.25, 0.25, 523.5192307692307, 0.13022865
27, 0.25, 0.25, 523.6923076923077, 0.1302717
28, 0.25, 0.25, 523.1730769230769, 0.13014251
29, 0.25, 0.25, 522.5, 0.12997507
30, 0.25, 0.25, 522.8846153846154, 0.13007075
31, 0.25, 0.25, 523.0384615384615, 0.13010903
32, 0.25, 0.25, 522.7307692307693, 0.13003248
33, 0.25, 0.25, 522.75, 0.13003725
34, 0.25, 0.25, 523.0, 0.13009946
35, 0.25, 0.25, 522.8269230769231, 0.13005638
36, 0.25, 0.25, 522.3461538461538, 0.1299368
37, 0.25, 0.25, 522.7307692307693, 0.13003246
38, 0.25, 0.25, 523.0961538461538, 0.13012338
39, 0.25, 0.25, 522.5576923076923, 0.12998942
40, 0.25, 0.25, 522.9038461538462, 0.13007554
41, 0.25, 0.25, 522.3461538461538, 0.1299368
42, 0.25, 0.25, 522.5, 0.12997508
43, 0.25, 0.25, 522.5961538461538, 0.12999898
44, 0.25, 0.25, 522.9423076923077, 0.1300851
45, 0.25, 0.25, 523.4038461538462, 0.13019991
46, 0.25, 0.25, 522.9423076923077, 0.1300851
47, 0.25, 0.25, 522.8846153846154, 0.13007075
48, 0.25, 0.25, 523.0961538461538, 0.13012336
49, 0.25, 0.25, 522.6538461538462, 0.13001335
50, 0.25, 0.25, 522.7307692307693, 0.13003248
51, 0.25, 0.25, 523.0961538461538, 0.13012336
52, 0.25, 0.25, 523.7692307692307, 0.1302908
53, 0.25, 0.25, 522.5192307692307, 0.12997985
54, 0.25, 0.25, 522.1923076923077, 0.12989855
55, 0.25, 0.25, 523.0192307692307, 0.13010423
56, 0.25, 0.25, 522.6346153846154, 0.13000856
57, 0.25, 0.25, 522.7307692307693, 0.13003246
58, 0.25, 0.25, 521.4615384615385, 0.12971677
59, 0.25, 0.25, 522.3653846153846, 0.1299416
60, 0.25, 0.25, 522.8846153846154, 0.13007076
61, 0.25, 0.25, 522.1346153846154, 0.12988418
62, 0.25, 0.25, 522.5576923076923, 0.12998942
63, 0.25, 0.25, 522.5192307692307, 0.12997986
64, 0.25, 0.25, 522.0384615384615, 0.12986027
65, 0.25, 0.25, 523.0384615384615, 0.13010901
66, 0.25, 0.25, 522.5192307692307, 0.12997986
67, 0.25, 0.25, 521.8846153846154, 0.12982203
68, 0.25, 0.25, 523.0384615384615, 0.13010901
69, 0.25, 0.25, 522.8846153846154, 0.13007075
70, 0.25, 0.25, 522.8461538461538, 0.13006118
71, 0.25, 0.25, 522.8846153846154, 0.13007075
72, 0.25, 0.25, 522.7115384615385, 0.13002768
73, 0.25, 0.25, 522.8846153846154, 0.13007076
74, 0.25, 0.25, 522.8846153846154, 0.13007076
75, 0.25, 0.25, 522.5384615384615, 0.12998465
76, 0.25, 0.25, 522.9615384615385, 0.13008988
77, 0.25, 0.25, 522.0, 0.12985072
78, 0.25, 0.25, 521.6538461538462, 0.12976457
79, 0.25, 0.25, 523.2115384615385, 0.13015208
80, 0.25, 0.25, 522.1923076923077, 0.12989853
81, 0.25, 0.25, 521.7307692307693, 0.12978373
82, 0.25, 0.25, 522.8269230769231, 0.1300564
83, 0.25, 0.25, 522.9230769230769, 0.13008033
84, 0.25, 0.25, 522.7884615384615, 0.13004683
85, 0.25, 0.25, 522.5192307692307, 0.12997986
86, 0.25, 0.25, 522.9038461538462, 0.13007554
87, 0.25, 0.25, 523.1923076923077, 0.1301473
88, 0.25, 0.25, 522.3846153846154, 0.12994637
89, 0.25, 0.25, 521.9615384615385, 0.12984112
90, 0.25, 0.25, 521.5769230769231, 0.12974545
91, 0.25, 0.25, 523.1923076923077, 0.1301473
92, 0.25, 0.25, 521.9807692307693, 0.12984592
93, 0.25, 0.25, 523.0961538461538, 0.13012336
94, 0.25, 0.25, 522.9807692307693, 0.13009466
95, 0.25, 0.25, 522.2692307692307, 0.12991768
96, 0.25, 0.25, 522.9423076923077, 0.1300851
97, 0.25, 0.25, 522.1538461538462, 0.12988897
98, 0.25, 0.25, 522.5192307692307, 0.12997988
99, 0.25, 0.25, 522.4423076923077, 0.12996073
100, 0.25, 0.25, 520.5384615384615, 0.12948714
101, 0.25, 0.25, 522.3269230769231, 0.12993202
102, 0.25, 0.25, 523.0192307692307, 0.13010424
103, 0.25, 0.25, 522.8461538461538, 0.13006118
104, 0.25, 0.25, 523.0192307692307, 0.13010424
105, 0.25, 0.25, 522.3269230769231, 0.12993203
106, 0.25, 0.25, 522.75, 0.13003728
107, 0.25, 0.25, 523.2692307692307, 0.13016643
108, 0.25, 0.25, 523.1730769230769, 0.1301425
109, 0.25, 0.25, 522.3269230769231, 0.12993202
110, 0.25, 0.25, 522.3461538461538, 0.12993681
111, 0.25, 0.25, 522.5576923076923, 0.12998942
112, 0.25, 0.25, 522.8846153846154, 0.13007075
113, 0.25, 0.25, 522.8653846153846, 0.13006598
114, 0.25, 0.25, 523.0576923076923, 0.13011381
115, 0.25, 0.25, 523.0192307692307, 0.13010423
116, 0.25, 0.25, 523.1923076923077, 0.1301473
117, 0.25, 0.25, 521.9230769230769, 0.12983157
118, 0.25, 0.25, 522.2884615384615, 0.12992245
119, 0.25, 0.25, 523.0, 0.13009946
120, 0.25, 0.25, 522.25, 0.12991288
121, 0.25, 0.25, 521.9423076923077, 0.12983635
122, 0.25, 0.25, 522.8269230769231, 0.13005638
123, 0.25, 0.25, 523.2884615384615, 0.13017121
