Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,30859375; 0,30078125; 450,19642857142856; 0,081557326
2; 0,30078125; 0,29296875; 438,17857142857144; 0,07938018
3; 0,29296875; 0,26953125; 438,30357142857144; 0,07940281
4; 0,26953125; 0,2578125; 437,64285714285717; 0,07928312
5; 0,2578125; 0,24609375; 437,5892857142857; 0,07927342
6; 0,24609375; 0,21484375; 441,5357142857143; 0,07998835
7; 0,21484375; 0,19140625; 436,4642857142857; 0,07906962
8; 0,19140625; 0,1875; 436,07142857142856; 0,07899846
9; 0,1875; 0,17578125; 436,25; 0,0790308
10; 0,17578125; 0,171875; 435,2857142857143; 0,07885612
11; 0,171875; 0,171875; 434,60714285714283; 0,078733206
12; 0,171875; 0,1640625; 434,69642857142856; 0,07874938
13; 0,1640625; 0,15625; 434,57142857142856; 0,078726724
14; 0,15625; 0,1484375; 437,07142857142856; 0,07917961
15; 0,1484375; 0,1484375; 435,67857142857144; 0,07892728
16; 0,1484375; 0,1484375; 435,5; 0,07889492
17; 0,1484375; 0,140625; 434,73214285714283; 0,07875584
18; 0,140625; 0,140625; 437,92857142857144; 0,07933491
19; 0,140625; 0,140625; 431,94642857142856; 0,07825116
20; 0,140625; 0,109375; 433,69642857142856; 0,07856818
21; 0,109375; 0,109375; 435,7857142857143; 0,07894669
22; 0,109375; 0,109375; 431,0892857142857; 0,0780959
23; 0,109375; 0,109375; 431,98214285714283; 0,07825764
24; 0,109375; 0,109375; 433,10714285714283; 0,07846145
25; 0,109375; 0,09375; 432,82142857142856; 0,07840969
26; 0,09375; 0,09375; 432,05357142857144; 0,07827058
27; 0,09375; 0,09375; 432,4642857142857; 0,07834499
28; 0,09375; 0,0859375; 432,75; 0,07839674
29; 0,0859375; 0,0859375; 432,26785714285717; 0,07830941
30; 0,0859375; 0,0859375; 432,0892857142857; 0,07827705
31; 0,0859375; 0,0859375; 431,7142857142857; 0,07820912
32; 0,0859375; 0,0703125; 432,2142857142857; 0,078299694
33; 0,0703125; 0,0703125; 435,60714285714283; 0,078914344
34; 0,0703125; 0,0703125; 445,17857142857144; 0,08064831
