Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,25; 0,2421875; 468,125; 0,077761635
2; 0,2421875; 0,23046875; 463,9642857142857; 0,077070475
3; 0,23046875; 0,203125; 435,76785714285717; 0,07238669
4; 0,1796875; 0,1796875; 445,875; 0,07406561
5; 0,16796875; 0,16796875; 449,92857142857144; 0,07473896
6; 0,1640625; 0,15234375; 501,64285714285717; 0,083329394
7; 0,15234375; 0,13671875; 495,3392857142857; 0,08228229
8; 0,13671875; 0,13671875; 489,76785714285717; 0,0813568
9; 0,12890625; 0,125; 493,2142857142857; 0,08192928
10; 0,125; 0,11328125; 492,82142857142856; 0,08186404
11; 0,11328125; 0,11328125; 491,64285714285717; 0,08166826
12; 0,11328125; 0,109375; 496,26785714285717; 0,08243652
13; 0,109375; 0,09765625; 499,8392857142857; 0,083029784
14; 0,09375; 0,08984375; 509,10714285714283; 0,0845693
15; 0,08984375; 0,08984375; 514,8571428571429; 0,08552445
16; 0,0859375; 0,0859375; 543,8214285714286; 0,09033578
17; 0,08203125; 0,08203125; 568,5357142857143; 0,09444115
18; 0,08203125; 0,078125; 569,9285714285714; 0,09467251
19; 0,078125; 0,078125; 571,3571428571429; 0,094909824
20; 0,078125; 0,078125; 570,9464285714286; 0,0948416
21; 0,078125; 0,0625; 573,5535714285714; 0,095274694
22; 0,0625; 0,0625; 574,6785714285714; 0,09546157
23; 0,0625; 0,05859375; 572,0535714285714; 0,09502552
24; 0,05859375; 0,05859375; 570,8214285714286; 0,09482086
25; 0,05859375; 0,05859375; 569,9107142857143; 0,094669566
26; 0,05859375; 0,05859375; 571,2857142857143; 0,09489798
27; 0,05859375; 0,05859375; 571,6964285714286; 0,09496617
28; 0,05859375; 0,05859375; 571,5; 0,09493357
29; 0,05859375; 0,05859375; 571,4642857142857; 0,094927624
30; 0,05859375; 0,05859375; 571,4464285714286; 0,09492465
31; 0,05859375; 0,05859375; 570,1071428571429; 0,09470219
32; 0,05859375; 0,05859375; 571,1607142857143; 0,094877206
33; 0,05859375; 0,05859375; 571,25; 0,094892025
34; 0,05859375; 0,05859375; 572,125; 0,095037386
35; 0,05859375; 0,05859375; 572,1071428571429; 0,09503442
36; 0,05859375; 0,05859375; 571,3214285714286; 0,094903894
37; 0,05859375; 0,05859375; 571,2142857142857; 0,09488612
38; 0,05859375; 0,05859375; 571,3392857142857; 0,09490686
39; 0,05859375; 0,05859375; 570,6785714285714; 0,09479713
40; 0,05859375; 0,05859375; 570,125; 0,09470516
41; 0,05859375; 0,05859375; 570,8035714285714; 0,09481789
42; 0,05859375; 0,05859375; 570,1071428571429; 0,09470221
43; 0,05859375; 0,05859375; 570,6428571428571; 0,09479118
44; 0,05859375; 0,05859375; 569,6071428571429; 0,09461915
45; 0,05859375; 0,05859375; 570,8571428571429; 0,09482677
46; 0,05859375; 0,05859375; 571,1428571428571; 0,09487422
47; 0,05859375; 0,05859375; 569,9285714285714; 0,094672516
48; 0,05859375; 0,05859375; 570,0357142857143; 0,09469034
49; 0,05859375; 0,05859375; 569,375; 0,09458057
50; 0,05859375; 0,05859375; 569,5178571428571; 0,094604306
51; 0,05859375; 0,05859375; 570,3035714285714; 0,09473481
52; 0,05859375; 0,05859375; 571,4285714285714; 0,0949217
53; 0,05859375; 0,05859375; 568,8392857142857; 0,09449156
54; 0,05859375; 0,05859375; 570,4821428571429; 0,09476447
55; 0,05859375; 0,05859375; 569,9464285714286; 0,09467548
56; 0,05859375; 0,05859375; 570,4464285714286; 0,09475853
57; 0,05859375; 0,05859375; 570,7321428571429; 0,09480601
58; 0,05859375; 0,05859375; 571,6607142857143; 0,094960265
59; 0,05859375; 0,05859375; 569,4285714285714; 0,094589464
60; 0,05859375; 0,05859375; 570,25; 0,094725914
61; 0,05859375; 0,05859375; 570,25; 0,09472592
62; 0,05859375; 0,05859375; 567,8928571428571; 0,094334364
63; 0,05859375; 0,05859375; 566,6071428571429; 0,094120786
64; 0,05859375; 0,05859375; 569,25; 0,0945598
65; 0,05859375; 0,05859375; 568,0357142857143; 0,094358094
66; 0,05859375; 0,05859375; 569,375; 0,09458052
67; 0,05859375; 0,05859375; 565,5178571428571; 0,09393984
68; 0,05859375; 0,05859375; 572,8571428571429; 0,09515899
69; 0,05859375; 0,05859375; 571,5892857142857; 0,09494839
70; 0,05859375; 0,05859375; 571,5357142857143; 0,09493951
71; 0,05859375; 0,05859375; 573,3035714285714; 0,095233165
72; 0,05859375; 0,05859375; 573,4821428571429; 0,09526282
73; 0,05859375; 0,05859375; 573,8928571428571; 0,09533107
74; 0,05859375; 0,05859375; 577,8928571428571; 0,095995486
75; 0,05859375; 0,05859375; 572,3928571428571; 0,09508189
76; 0,05859375; 0,05859375; 575,4821428571429; 0,09559504
77; 0,05859375; 0,05859375; 579,5; 0,09626247
78; 0,05859375; 0,05859375; 582,8214285714286; 0,09681419
79; 0,05859375; 0,05859375; 586,0535714285714; 0,09735109
80; 0,05859375; 0,05859375; 581,3214285714286; 0,09656503
81; 0,05859375; 0,05859375; 577,8392857142857; 0,09598659
82; 0,05859375; 0,05859375; 580,0357142857143; 0,096351445
83; 0,05859375; 0,05859375; 582,8928571428571; 0,09682606
84; 0,05859375; 0,05859375; 584,3928571428571; 0,09707522
85; 0,05859375; 0,05859375; 582,5535714285714; 0,09676968
86; 0,05859375; 0,05859375; 584,625; 0,09711377
87; 0,05859375; 0,05859375; 587,8035714285714; 0,09764177
88; 0,05859375; 0,05859375; 588,3392857142857; 0,09773078
89; 0,05859375; 0,05859375; 591,9285714285714; 0,098326996
90; 0,05859375; 0,05859375; 592,1964285714286; 0,09837149
91; 0,05859375; 0,05859375; 592,1428571428571; 0,09836258
92; 0,05859375; 0,05859375; 592,6964285714286; 0,09845454
93; 0,05859375; 0,05859375; 591,875; 0,09831811
94; 0,05859375; 0,05859375; 591,7142857142857; 0,09829141
95; 0,05859375; 0,05859375; 591,4107142857143; 0,09824098
96; 0,05859375; 0,05859375; 592,625; 0,098442726
97; 0,05859375; 0,05859375; 591,6964285714286; 0,098288454
98; 0,05859375; 0,05859375; 593,5714285714286; 0,0985999
99; 0,05859375; 0,05859375; 593,4821428571429; 0,09858507
100; 0,05859375; 0,05859375; 591,1785714285714; 0,098202445
101; 0,05859375; 0,05859375; 590,6428571428571; 0,09811342
102; 0,05859375; 0,05859375; 589,7321428571429; 0,09796214
103; 0,05859375; 0,05859375; 589,1785714285714; 0,09787021
104; 0,05859375; 0,05859375; 586,7142857142857; 0,09746085
105; 0,05859375; 0,05859375; 588,9642857142857; 0,097834595
106; 0,05859375; 0,05859375; 590,3392857142857; 0,098063
107; 0,05859375; 0,05859375; 589,9285714285714; 0,09799476
108; 0,05859375; 0,05859375; 588,75; 0,097798996
109; 0,05859375; 0,05859375; 588,4285714285714; 0,097745605
