Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,26171875; 0,26171875; 487,10714285714283; 0,08091481
2; 0,26171875; 0,2578125; 494,9642857142857; 0,08221997
3; 0,2578125; 0,25390625; 449,10714285714283; 0,07460252
4; 0,25390625; 0,25390625; 452,7857142857143; 0,075213574
5; 0,25390625; 0,2265625; 446,625; 0,07419021
6; 0,2265625; 0,2265625; 424,94642857142856; 0,07058912
7; 0,2265625; 0,203125; 459,48214285714283; 0,076325916
8; 0,19921875; 0,1953125; 458,57142857142856; 0,076174654
9; 0,1953125; 0,1796875; 461,51785714285717; 0,07666408
10; 0,1796875; 0,17578125; 458,69642857142856; 0,076195404
11; 0,1640625; 0,1640625; 453,3392857142857; 0,07530553
12; 0,15234375; 0,15234375; 430,5; 0,071511626
13; 0,15234375; 0,15234375; 444,92857142857144; 0,07390839
14; 0,15234375; 0,14453125; 422,9642857142857; 0,07025985
15; 0,14453125; 0,14453125; 431,9642857142857; 0,07175486
16; 0,14453125; 0,12890625; 431,375; 0,07165696
17; 0,12890625; 0,12890625; 430,0892857142857; 0,071443394
18; 0,12890625; 0,109375; 429,92857142857144; 0,071416706
19; 0,109375; 0,109375; 428,9107142857143; 0,07124763
20; 0,1015625; 0,1015625; 429,57142857142856; 0,07135736
21; 0,1015625; 0,09375; 428,0892857142857; 0,071111165
22; 0,0859375; 0,0859375; 429,05357142857144; 0,07127135
23; 0,0859375; 0,078125; 428,05357142857144; 0,071105234
24; 0,078125; 0,078125; 429,4642857142857; 0,071339585
25; 0,078125; 0,078125; 427,5357142857143; 0,07101924
26; 0,078125; 0,078125; 428,07142857142856; 0,07110823
27; 0,078125; 0,0625; 428,64285714285717; 0,07120314
28; 0,0625; 0,0625; 430,23214285714283; 0,07146714
29; 0,0625; 0,0625; 447,67857142857144; 0,07436521
30; 0,0625; 0,0625; 447,60714285714283; 0,074353345
31; 0,0625; 0,0625; 449,10714285714283; 0,07460253
32; 0,0625; 0,0625; 448,25; 0,074460134
33; 0,0625; 0,0625; 448,19642857142856; 0,074451245
34; 0,0625; 0,0625; 447,5; 0,07433556
35; 0,0625; 0,0625; 447,3392857142857; 0,07430887
36; 0,0625; 0,0625; 451,4642857142857; 0,07499407
37; 0,0625; 0,0625; 451,5357142857143; 0,07500595
38; 0,0625; 0,0625; 449,32142857142856; 0,07463812
39; 0,0625; 0,0625; 450,375; 0,07481313
