Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,18359375; 0,18359375; 468,69642857142856; 0,07785654
2; 0,18359375; 0,18359375; 440,17857142857144; 0,07311935
3; 0,18359375; 0,1796875; 409,23214285714283; 0,06797877
4; 0,1796875; 0,12890625; 409,5; 0,068023264
5; 0,12890625; 0,12890625; 407,6607142857143; 0,06771774
6; 0,12890625; 0,12890625; 405,0892857142857; 0,06729058
7; 0,12890625; 0,12109375; 403,94642857142856; 0,06710072
8; 0,12109375; 0,11328125; 404,17857142857144; 0,06713928
9; 0,11328125; 0,09765625; 403,73214285714283; 0,067065135
10; 0,09765625; 0,09765625; 410,0357142857143; 0,068112254
11; 0,09765625; 0,08203125; 432,14285714285717; 0,07178453
12; 0,08203125; 0,08203125; 435,10714285714283; 0,07227694
13; 0,08203125; 0,08203125; 433,69642857142856; 0,07204259
14; 0,08203125; 0,078125; 436,5357142857143; 0,072514236
15; 0,078125; 0,078125; 437,25; 0,072632894
16; 0,078125; 0,078125; 437,9642857142857; 0,07275154
17; 0,078125; 0,078125; 436,0892857142857; 0,07244008
18; 0,078125; 0,078125; 435,39285714285717; 0,072324395
19; 0,078125; 0,078125; 435,7142857142857; 0,07237779
20; 0,078125; 0,078125; 434,76785714285717; 0,07222058
21; 0,078125; 0,07421875; 434,42857142857144; 0,07216422
22; 0,07421875; 0,07421875; 435,32142857142856; 0,07231253
23; 0,07421875; 0,07421875; 434,625; 0,07219685
24; 0,07421875; 0,06640625; 434,4642857142857; 0,072170146
25; 0,06640625; 0,06640625; 433,73214285714283; 0,07204853
26; 0,06640625; 0,06640625; 428,19642857142856; 0,07112897
27; 0,06640625; 0,06640625; 433,5892857142857; 0,0720248
28; 0,06640625; 0,05859375; 433,75; 0,0720515
29; 0,05859375; 0,05859375; 435,82142857142856; 0,0723956
30; 0,05859375; 0,05859375; 446,2142857142857; 0,07412199
31; 0,05859375; 0,05859375; 444,92857142857144; 0,07390839
32; 0,05859375; 0,05859375; 445,67857142857144; 0,074033
33; 0,05859375; 0,05859375; 431,26785714285717; 0,07163919
34; 0,05859375; 0,05859375; 432,23214285714283; 0,07179936
35; 0,05859375; 0,05859375; 434,94642857142856; 0,07225024
36; 0,05859375; 0,05859375; 445,89285714285717; 0,07406859
37; 0,05859375; 0,05859375; 444,85714285714283; 0,07389655
38; 0,05859375; 0,05859375; 449,30357142857144; 0,07463516
39; 0,05859375; 0,05859375; 454,19642857142856; 0,075447924
40; 0,05859375; 0,05859375; 454,75; 0,07553988
41; 0,05859375; 0,05859375; 453,19642857142856; 0,075281814
42; 0,05859375; 0,05859375; 449,4107142857143; 0,074652955
43; 0,05859375; 0,05859375; 445,17857142857144; 0,07394994
44; 0,05859375; 0,05859375; 450,76785714285717; 0,074878395
45; 0,05859375; 0,05859375; 459,39285714285717; 0,07631112
46; 0,05859375; 0,05859375; 459,25; 0,07628739
47; 0,05859375; 0,05859375; 459,82142857142856; 0,0763823
48; 0,05859375; 0,05859375; 459,67857142857144; 0,07635858
49; 0,05859375; 0,05859375; 458,48214285714283; 0,07615983
50; 0,05859375; 0,05859375; 458,9642857142857; 0,076239906
51; 0,05859375; 0,05859375; 458,0892857142857; 0,076094575
52; 0,05859375; 0,05859375; 458,375; 0,07614202
53; 0,05859375; 0,05859375; 457,60714285714283; 0,07601448
54; 0,05859375; 0,05859375; 457,82142857142856; 0,076050065
55; 0,05859375; 0,05859375; 457,2857142857143; 0,07596109
56; 0,05859375; 0,05859375; 458,89285714285717; 0,076228045
57; 0,05859375; 0,05859375; 458,0892857142857; 0,07609457
58; 0,05859375; 0,05859375; 459,26785714285717; 0,07629033
59; 0,05859375; 0,05859375; 461,0; 0,07657807
60; 0,05859375; 0,05859375; 457,92857142857144; 0,07606787
61; 0,05859375; 0,05859375; 458,0357142857143; 0,07608568
62; 0,05859375; 0,05859375; 456,85714285714283; 0,07588988
63; 0,05859375; 0,05859375; 456,19642857142856; 0,07578014
64; 0,05859375; 0,05859375; 458,10714285714283; 0,07609754
65; 0,05859375; 0,05859375; 458,1607142857143; 0,07610644
66; 0,05859375; 0,05859375; 456,1607142857143; 0,0757742
67; 0,05859375; 0,05859375; 457,39285714285717; 0,07597888
68; 0,05859375; 0,05859375; 459,2142857142857; 0,076281436
69; 0,05859375; 0,05859375; 457,1607142857143; 0,07594031
70; 0,05859375; 0,05859375; 458,8392857142857; 0,07621915
71; 0,05859375; 0,05859375; 457,8392857142857; 0,07605303
72; 0,05859375; 0,05859375; 456,44642857142856; 0,075821646
73; 0,05859375; 0,05859375; 455,69642857142856; 0,07569707
74; 0,05859375; 0,05859375; 452,625; 0,07518685
75; 0,05859375; 0,05859375; 456,92857142857144; 0,07590175
76; 0,05859375; 0,05859375; 456,89285714285717; 0,07589582
77; 0,05859375; 0,05859375; 457,0; 0,07591363
78; 0,05859375; 0,05859375; 454,85714285714283; 0,075557664
79; 0,05859375; 0,05859375; 454,60714285714283; 0,07551614
80; 0,05859375; 0,05859375; 453,2142857142857; 0,07528477
81; 0,05859375; 0,05859375; 454,4107142857143; 0,0754835
82; 0,05859375; 0,05859375; 454,375; 0,07547758
83; 0,05859375; 0,05859375; 457,10714285714283; 0,07593143
84; 0,05859375; 0,05859375; 456,94642857142856; 0,07590473
85; 0,05859375; 0,05859375; 457,05357142857144; 0,07592253
86; 0,05859375; 0,05859375; 456,73214285714283; 0,075869136
87; 0,05859375; 0,05859375; 456,2857142857143; 0,07579497
88; 0,05859375; 0,05859375; 457,8392857142857; 0,076053046
89; 0,05859375; 0,05859375; 458,55357142857144; 0,0761717
90; 0,05859375; 0,05859375; 458,23214285714283; 0,076118305
91; 0,05859375; 0,05859375; 457,0; 0,07591363
92; 0,05859375; 0,05859375; 456,0; 0,07574751
93; 0,05859375; 0,05859375; 457,64285714285717; 0,07602043
94; 0,05859375; 0,05859375; 456,6607142857143; 0,07585726
95; 0,05859375; 0,05859375; 458,51785714285717; 0,07616575
96; 0,05859375; 0,05859375; 458,625; 0,07618356
97; 0,05859375; 0,05859375; 454,98214285714283; 0,075578436
98; 0,05859375; 0,05859375; 455,60714285714283; 0,07568226
99; 0,05859375; 0,05859375; 455,60714285714283; 0,07568227
100; 0,05859375; 0,05859375; 454,2142857142857; 0,07545088
101; 0,05859375; 0,05859375; 452,625; 0,0751869
102; 0,05859375; 0,05859375; 452,57142857142856; 0,07517798
103; 0,05859375; 0,05859375; 453,26785714285717; 0,07529367
104; 0,05859375; 0,05859375; 453,48214285714283; 0,07532926
105; 0,05859375; 0,05859375; 454,625; 0,0755191
106; 0,05859375; 0,05859375; 454,35714285714283; 0,07547462
107; 0,05859375; 0,05859375; 455,42857142857144; 0,0756526
108; 0,05859375; 0,05859375; 455,1607142857143; 0,0756081
109; 0,05859375; 0,05859375; 455,67857142857144; 0,07569412
