Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,28125; 0,28125; 317,17241379310343; 0,12586206
2; 0,25; 0,25; 335,17241379310343; 0,13300492
3; 0,25; 0,25; 332,0344827586207; 0,13175973
4; 0,21484375; 0,21484375; 326,36206896551727; 0,12950876
5; 0,21484375; 0,20703125; 324,0; 0,12857142
6; 0,20703125; 0,19921875; 322,8448275862069; 0,12811302
7; 0,19921875; 0,19921875; 320,9310344827586; 0,12735358
8; 0,19921875; 0,19140625; 319,2068965517241; 0,12666944
9; 0,17578125; 0,17578125; 320,87931034482756; 0,12733306
10; 0,17578125; 0,17578125; 320,0; 0,12698412
11; 0,17578125; 0,16796875; 326,87931034482756; 0,129714
12; 0,16796875; 0,15234375; 336,2586206896552; 0,13343592
13; 0,15234375; 0,15234375; 336,7241379310345; 0,13362066
14; 0,13671875; 0,13671875; 339,0; 0,13452381
15; 0,1328125; 0,10546875; 338,32758620689657; 0,13425694
16; 0,10546875; 0,10546875; 336,1034482758621; 0,13337433
17; 0,10546875; 0,1015625; 336,6896551724138; 0,13360694
18; 0,08203125; 0,08203125; 335,12068965517244; 0,13298433
19; 0,08203125; 0,08203125; 336,1896551724138; 0,13340855
20; 0,08203125; 0,078125; 335,9655172413793; 0,13331963
21; 0,078125; 0,0703125; 335,8965517241379; 0,1332923
22; 0,0703125; 0,06640625; 336,2068965517241; 0,13341537
23; 0,06640625; 0,0625; 334,37931034482756; 0,13269015
24; 0,0625; 0,0625; 329,8448275862069; 0,13089079
25; 0,0625; 0,0625; 330,3448275862069; 0,13108915
26; 0,0625; 0,0625; 332,62068965517244; 0,13199231
27; 0,0625; 0,05859375; 333,6896551724138; 0,1324165
28; 0,05859375; 0,05859375; 333,41379310344826; 0,13230705
29; 0,05859375; 0,05859375; 331,4310344827586; 0,13152026
30; 0,05859375; 0,05859375; 332,8965517241379; 0,13210182
31; 0,05859375; 0,0546875; 332,12068965517244; 0,13179393
32; 0,0546875; 0,0546875; 331,01724137931035; 0,13135609
33; 0,0546875; 0,0546875; 335,0689655172414; 0,1329639
34; 0,0546875; 0,0546875; 334,9310344827586; 0,13290916
35; 0,0546875; 0,0546875; 334,2241379310345; 0,13262863
36; 0,0546875; 0,0546875; 333,6551724137931; 0,13240287
37; 0,0546875; 0,0546875; 332,58620689655174; 0,13197866
38; 0,0546875; 0,0546875; 334,08620689655174; 0,1325739
39; 0,0546875; 0,0546875; 333,0689655172414; 0,13217023
40; 0,0546875; 0,0546875; 332,12068965517244; 0,13179393
41; 0,0546875; 0,0546875; 332,2758620689655; 0,1318555
42; 0,0546875; 0,0546875; 332,1034482758621; 0,13178709
43; 0,0546875; 0,0546875; 331,8103448275862; 0,1316708
44; 0,0546875; 0,0546875; 331,9655172413793; 0,13173237
45; 0,0546875; 0,0546875; 331,0; 0,13134922
46; 0,0546875; 0,0546875; 330,41379310344826; 0,1311166
47; 0,0546875; 0,0546875; 330,2241379310345; 0,13104135
48; 0,0546875; 0,0546875; 328,08620689655174; 0,13019298
49; 0,0546875; 0,0546875; 327,9310344827586; 0,13013138
50; 0,0546875; 0,0546875; 328,6034482758621; 0,13039818
51; 0,0546875; 0,0546875; 328,17241379310343; 0,13022716
52; 0,0546875; 0,0546875; 330,5344827586207; 0,13116449
53; 0,0546875; 0,0546875; 327,8965517241379; 0,13011768
54; 0,0546875; 0,0546875; 327,63793103448273; 0,13001508
55; 0,0546875; 0,0546875; 325,7241379310345; 0,12925564
56; 0,0546875; 0,0546875; 326,0689655172414; 0,12939246
57; 0,0546875; 0,0546875; 326,55172413793105; 0,12958404
58; 0,0546875; 0,0546875; 327,1896551724138; 0,12983714
59; 0,0546875; 0,05078125; 327,87931034482756; 0,13011083
60; 0,05078125; 0,05078125; 327,3448275862069; 0,12989876
61; 0,05078125; 0,05078125; 327,51724137931035; 0,1299672
62; 0,05078125; 0,05078125; 327,2241379310345; 0,12985085
63; 0,05078125; 0,05078125; 327,12068965517244; 0,1298098
64; 0,05078125; 0,05078125; 325,5689655172414; 0,129194
65; 0,05078125; 0,05078125; 329,36206896551727; 0,13069923
66; 0,05078125; 0,05078125; 333,01724137931035; 0,13214968
67; 0,05078125; 0,05078125; 331,2413793103448; 0,13144498
68; 0,05078125; 0,05078125; 328,2413793103448; 0,13025449
69; 0,05078125; 0,05078125; 331,0; 0,1313492
70; 0,05078125; 0,05078125; 328,94827586206895; 0,13053499
71; 0,05078125; 0,05078125; 327,8965517241379; 0,13011767
72; 0,05078125; 0,05078125; 326,36206896551727; 0,12950872
73; 0,05078125; 0,05078125; 325,94827586206895; 0,12934454
74; 0,05078125; 0,05078125; 328,44827586206895; 0,13033658
75; 0,05078125; 0,05078125; 326,1034482758621; 0,12940611
76; 0,05078125; 0,05078125; 326,01724137931035; 0,12937188
77; 0,05078125; 0,05078125; 325,4655172413793; 0,12915295
78; 0,05078125; 0,05078125; 325,51724137931035; 0,12917347
79; 0,05078125; 0,05078125; 322,3448275862069; 0,12791461
80; 0,05078125; 0,05078125; 321,2586206896552; 0,12748356
81; 0,05078125; 0,05078125; 321,3965517241379; 0,12753832
82; 0,05078125; 0,05078125; 324,91379310344826; 0,12893404
83; 0,05078125; 0,05078125; 323,2586206896552; 0,12827726
84; 0,05078125; 0,05078125; 323,2413793103448; 0,12827037
85; 0,05078125; 0,05078125; 321,6896551724138; 0,1276546
86; 0,05078125; 0,05078125; 323,82758620689657; 0,128503
87; 0,05078125; 0,05078125; 322,7586206896552; 0,12807882
88; 0,05078125; 0,05078125; 323,2241379310345; 0,12826353
89; 0,05078125; 0,05078125; 323,87931034482756; 0,12852353
90; 0,05078125; 0,05078125; 325,0; 0,12896825
91; 0,05078125; 0,05078125; 325,44827586206895; 0,12914616
92; 0,05078125; 0,05078125; 324,4655172413793; 0,12875617
93; 0,05078125; 0,05078125; 325,8103448275862; 0,12928979
94; 0,05078125; 0,05078125; 325,2413793103448; 0,12906404
95; 0,05078125; 0,05078125; 323,48275862068965; 0,12836616
96; 0,05078125; 0,05078125; 323,9655172413793; 0,12855774
97; 0,05078125; 0,05078125; 324,63793103448273; 0,12882455
98; 0,05078125; 0,05078125; 324,41379310344826; 0,12873563
99; 0,05078125; 0,05078125; 325,7758620689655; 0,12927613
100; 0,05078125; 0,05078125; 325,12068965517244; 0,12901615
101; 0,05078125; 0,05078125; 325,9310344827586; 0,12933768
102; 0,05078125; 0,05078125; 325,7068965517241; 0,12924872
103; 0,05078125; 0,05078125; 325,67241379310343; 0,12923504
104; 0,05078125; 0,05078125; 324,12068965517244; 0,1286193
105; 0,05078125; 0,05078125; 323,6896551724138; 0,12844825
106; 0,05078125; 0,05078125; 325,0; 0,12896822
107; 0,05078125; 0,05078125; 326,1034482758621; 0,12940611
108; 0,05078125; 0,05078125; 329,5; 0,13075395
109; 0,05078125; 0,05078125; 329,3448275862069; 0,13069238
110; 0,05078125; 0,05078125; 327,7931034482759; 0,13007662
111; 0,05078125; 0,05078125; 325,36206896551727; 0,12911196
112; 0,05078125; 0,05078125; 325,36206896551727; 0,12911195
113; 0,05078125; 0,05078125; 323,7068965517241; 0,12845512
114; 0,05078125; 0,05078125; 323,5344827586207; 0,12838669
115; 0,05078125; 0,05078125; 324,41379310344826; 0,12873563
116; 0,05078125; 0,05078125; 324,7931034482759; 0,12888616
117; 0,05078125; 0,05078125; 327,2931034482759; 0,12987822
118; 0,05078125; 0,05078125; 326,8448275862069; 0,12970032
119; 0,05078125; 0,05078125; 329,0344827586207; 0,1305692
120; 0,05078125; 0,05078125; 332,2413793103448; 0,1318418
121; 0,05078125; 0,05078125; 330,8965517241379; 0,13130812
122; 0,05078125; 0,05078125; 329,0344827586207; 0,13056922
123; 0,05078125; 0,05078125; 328,12068965517244; 0,13020658
124; 0,05078125; 0,05078125; 330,67241379310343; 0,1312192
125; 0,05078125; 0,05078125; 329,9655172413793; 0,13093866
126; 0,05078125; 0,05078125; 332,2413793103448; 0,13184182
127; 0,05078125; 0,05078125; 330,51724137931035; 0,13115762
128; 0,05078125; 0,05078125; 329,2068965517241; 0,13063766
129; 0,05078125; 0,05078125; 330,1034482758621; 0,13099347
130; 0,05078125; 0,05078125; 331,8103448275862; 0,1316708
131; 0,05078125; 0,05078125; 334,4655172413793; 0,13272443
132; 0,05078125; 0,05078125; 335,2413793103448; 0,1330323
133; 0,05078125; 0,05078125; 334,1896551724138; 0,13261496
134; 0,05078125; 0,05078125; 335,2413793103448; 0,1330323
135; 0,05078125; 0,05078125; 332,3103448275862; 0,13186921
136; 0,05078125; 0,05078125; 332,94827586206895; 0,13212232
137; 0,05078125; 0,05078125; 333,58620689655174; 0,13237546
138; 0,05078125; 0,05078125; 335,2413793103448; 0,1330323
139; 0,05078125; 0,05078125; 334,6896551724138; 0,13281336
140; 0,05078125; 0,05078125; 338,7413793103448; 0,13442121
141; 0,05078125; 0,05078125; 335,0689655172414; 0,13296388
142; 0,05078125; 0,05078125; 338,0689655172414; 0,13415436
143; 0,05078125; 0,05078125; 335,7068965517241; 0,13321702
144; 0,05078125; 0,05078125; 335,05172413793105; 0,13295704
145; 0,05078125; 0,05078125; 334,63793103448273; 0,13279282
146; 0,05078125; 0,05078125; 336,32758620689657; 0,13346334
147; 0,05078125; 0,05078125; 336,3448275862069; 0,13347018
148; 0,05078125; 0,05078125; 334,37931034482756; 0,1326902
149; 0,05078125; 0,05078125; 332,5; 0,13194446
150; 0,05078125; 0,05078125; 332,13793103448273; 0,13180079
151; 0,05078125; 0,05078125; 333,48275862068965; 0,13233441
152; 0,05078125; 0,05078125; 336,91379310344826; 0,13369595
153; 0,05078125; 0,05078125; 338,7241379310345; 0,13441437
154; 0,05078125; 0,05078125; 335,5344827586207; 0,1331486
155; 0,05078125; 0,05078125; 338,41379310344826; 0,13429116
156; 0,05078125; 0,05078125; 338,01724137931035; 0,13413382
157; 0,05078125; 0,05078125; 337,7758620689655; 0,13403802
158; 0,05078125; 0,05078125; 336,7241379310345; 0,13362068
159; 0,05078125; 0,05078125; 339,7586206896552; 0,13482483
160; 0,05078125; 0,05078125; 340,2586206896552; 0,13502327
161; 0,05078125; 0,05078125; 340,3965517241379; 0,135078
162; 0,05078125; 0,05078125; 340,9655172413793; 0,13530377
163; 0,05078125; 0,05078125; 342,37931034482756; 0,1358648
164; 0,05078125; 0,05078125; 341,94827586206895; 0,13569377
165; 0,05078125; 0,05078125; 341,2241379310345; 0,13540639
166; 0,05078125; 0,05078125; 341,2413793103448; 0,13541326
167; 0,05078125; 0,05078125; 340,91379310344826; 0,13528325
168; 0,05078125; 0,05078125; 341,1034482758621; 0,13535853
169; 0,05078125; 0,05078125; 340,3965517241379; 0,13507798
170; 0,05078125; 0,05078125; 340,86206896551727; 0,13526273
171; 0,05078125; 0,05078125; 339,3965517241379; 0,13468117
172; 0,05078125; 0,05078125; 341,12068965517244; 0,13536538
173; 0,05078125; 0,05078125; 341,44827586206895; 0,13549536
174; 0,05078125; 0,05078125; 340,7931034482759; 0,13523535
175; 0,05078125; 0,05078125; 340,8448275862069; 0,1352559
176; 0,05078125; 0,05078125; 340,82758620689657; 0,13524905
177; 0,05078125; 0,05078125; 341,05172413793105; 0,13533801
178; 0,05078125; 0,05078125; 342,5; 0,13591272
179; 0,05078125; 0,05078125; 341,5344827586207; 0,13552955
180; 0,05078125; 0,05078125; 340,86206896551727; 0,13526274
181; 0,05078125; 0,05078125; 341,62068965517244; 0,13556376
182; 0,05078125; 0,05078125; 341,2241379310345; 0,13540639
183; 0,05078125; 0,05078125; 342,82758620689657; 0,13604268
184; 0,05078125; 0,05078125; 341,12068965517244; 0,13536535
185; 0,05078125; 0,05078125; 341,6034482758621; 0,13555692
186; 0,05078125; 0,05078125; 340,82758620689657; 0,13524903
187; 0,05078125; 0,05078125; 341,2586206896552; 0,1354201
188; 0,05078125; 0,05078125; 341,32758620689657; 0,13544746
189; 0,05078125; 0,05078125; 340,6551724137931; 0,13518065
190; 0,05078125; 0,05078125; 342,2413793103448; 0,13581006
191; 0,05078125; 0,05078125; 340,7931034482759; 0,13523534
192; 0,05078125; 0,05078125; 340,94827586206895; 0,13529693
193; 0,05078125; 0,05078125; 341,5689655172414; 0,13554321
194; 0,05078125; 0,05078125; 340,87931034482756; 0,13526954
195; 0,05078125; 0,05078125; 339,5; 0,1347222
196; 0,05078125; 0,05078125; 338,5; 0,1343254
197; 0,05078125; 0,05078125; 337,2586206896552; 0,13383278
198; 0,05078125; 0,05078125; 339,7068965517241; 0,13480434
199; 0,05078125; 0,05078125; 338,2931034482759; 0,13424331
200; 0,05078125; 0,05078125; 337,44827586206895; 0,13390808
201; 0,05078125; 0,05078125; 334,9310344827586; 0,13290916
202; 0,05078125; 0,05078125; 335,13793103448273; 0,13299124
203; 0,05078125; 0,05078125; 338,7241379310345; 0,13441437
204; 0,05078125; 0,05078125; 337,48275862068965; 0,13392174
205; 0,05078125; 0,05078125; 333,2586206896552; 0,13224548
206; 0,05078125; 0,05078125; 333,17241379310343; 0,13221125
207; 0,05078125; 0,05078125; 333,6551724137931; 0,13240284
208; 0,05078125; 0,05078125; 334,12068965517244; 0,13258755
209; 0,05078125; 0,05078125; 329,41379310344826; 0,13071972
210; 0,05078125; 0,05078125; 331,12068965517244; 0,13139708
211; 0,05078125; 0,046875; 334,87931034482756; 0,13288862
212; 0,046875; 0,046875; 335,41379310344826; 0,13310072
213; 0,046875; 0,046875; 354,1551724137931; 0,1405378
214; 0,046875; 0,046875; 362,86206896551727; 0,1439929
215; 0,046875; 0,046875; 362,94827586206895; 0,14402711
216; 0,046875; 0,046875; 363,1896551724138; 0,14412288
217; 0,046875; 0,046875; 362,8103448275862; 0,14397237
218; 0,046875; 0,046875; 364,7758620689655; 0,14475235
219; 0,046875; 0,046875; 363,7586206896552; 0,14434867
220; 0,046875; 0,046875; 362,7758620689655; 0,1439587
221; 0,046875; 0,046875; 363,5; 0,14424606
222; 0,046875; 0,046875; 366,5; 0,14543648
223; 0,046875; 0,046875; 366,0; 0,14523807
224; 0,046875; 0,046875; 365,41379310344826; 0,14500548
225; 0,046875; 0,046875; 366,2241379310345; 0,14532703
226; 0,046875; 0,046875; 364,6034482758621; 0,14468387
227; 0,046875; 0,046875; 365,05172413793105; 0,14486176
228; 0,046875; 0,046875; 366,32758620689657; 0,14536807
229; 0,046875; 0,046875; 366,36206896551727; 0,14538175
230; 0,046875; 0,046875; 364,6034482758621; 0,14468387
231; 0,046875; 0,046875; 365,51724137931035; 0,14504652
232; 0,046875; 0,046875; 365,2758620689655; 0,14495073
233; 0,046875; 0,046875; 366,7758620689655; 0,14554596
234; 0,046875; 0,046875; 365,7586206896552; 0,14514227
235; 0,046875; 0,046875; 367,44827586206895; 0,14581281
236; 0,046875; 0,046875; 366,8103448275862; 0,14555967
237; 0,046875; 0,046875; 367,5; 0,14583331
238; 0,046875; 0,046875; 367,3448275862069; 0,14577173
239; 0,046875; 0,046875; 366,3103448275862; 0,14536124
240; 0,046875; 0,046875; 366,1034482758621; 0,14527912
241; 0,046875; 0,046875; 367,08620689655174; 0,14566913
242; 0,046875; 0,046875; 366,63793103448273; 0,14549124
243; 0,046875; 0,046875; 366,8103448275862; 0,14555967
244; 0,046875; 0,046875; 366,2241379310345; 0,14532705
245; 0,046875; 0,046875; 366,5; 0,14543654
246; 0,046875; 0,046875; 365,67241379310343; 0,14510812
247; 0,046875; 0,046875; 366,7586206896552; 0,14553916
248; 0,046875; 0,046875; 366,0; 0,14523813
249; 0,046875; 0,046875; 367,5; 0,14583333
250; 0,046875; 0,046875; 367,08620689655174; 0,14566915
251; 0,046875; 0,046875; 366,9655172413793; 0,14562127
252; 0,046875; 0,046875; 367,3965517241379; 0,14579232
253; 0,046875; 0,046875; 366,4310344827586; 0,14540915
254; 0,046875; 0,046875; 367,5; 0,14583336
255; 0,046875; 0,046875; 367,0344827586207; 0,14564861
256; 0,046875; 0,046875; 364,4655172413793; 0,14462917
257; 0,046875; 0,046875; 361,3448275862069; 0,14339083
258; 0,046875; 0,046875; 365,32758620689657; 0,14497125
259; 0,046875; 0,046875; 364,08620689655174; 0,14447866
260; 0,046875; 0,046875; 363,0689655172414; 0,144075
261; 0,046875; 0,046875; 362,62068965517244; 0,14389715
262; 0,046875; 0,046875; 366,8103448275862; 0,14555968
263; 0,046875; 0,046875; 367,5689655172414; 0,14586073
264; 0,046875; 0,046875; 366,9655172413793; 0,14562128
265; 0,046875; 0,046875; 367,1896551724138; 0,14571021
266; 0,046875; 0,046875; 365,9310344827586; 0,14521076
267; 0,046875; 0,046875; 367,8448275862069; 0,1459702
268; 0,046875; 0,046875; 367,2931034482759; 0,14575128
269; 0,046875; 0,046875; 367,9310344827586; 0,14600442
270; 0,046875; 0,046875; 367,2758620689655; 0,14574444
271; 0,046875; 0,046875; 367,13793103448273; 0,14568968
272; 0,046875; 0,046875; 368,7241379310345; 0,14631914
273; 0,046875; 0,046875; 367,51724137931035; 0,14584021
274; 0,046875; 0,046875; 366,5344827586207; 0,14545025
275; 0,046875; 0,046875; 366,2241379310345; 0,14532709
276; 0,046875; 0,046875; 366,05172413793105; 0,1452587
277; 0,046875; 0,046875; 365,62068965517244; 0,1450876
278; 0,046875; 0,046875; 364,7931034482759; 0,14475921
279; 0,046875; 0,046875; 364,67241379310343; 0,14471132
280; 0,046875; 0,046875; 365,86206896551727; 0,1451834
281; 0,046875; 0,046875; 367,05172413793105; 0,14565544
282; 0,046875; 0,046875; 367,6896551724138; 0,14590862
283; 0,046875; 0,046875; 366,8965517241379; 0,1455939
284; 0,046875; 0,046875; 367,8103448275862; 0,1459565
285; 0,046875; 0,046875; 366,98275862068965; 0,1456281
286; 0,046875; 0,046875; 367,3103448275862; 0,1457581
287; 0,046875; 0,046875; 367,94827586206895; 0,14601123
288; 0,046875; 0,046875; 367,08620689655174; 0,14566913
289; 0,046875; 0,046875; 365,91379310344826; 0,14520389
290; 0,046875; 0,046875; 366,1896551724138; 0,14531335
291; 0,046875; 0,046875; 365,1896551724138; 0,14491653
292; 0,046875; 0,046875; 365,6896551724138; 0,1451149
293; 0,046875; 0,046875; 366,51724137931035; 0,14544335
294; 0,046875; 0,046875; 365,01724137931035; 0,14484812
