Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,2734375; 0,2734375; 311,7758620689655; 0,12372058
2; 0,2734375; 0,2578125; 305,9655172413793; 0,12141488
3; 0,18359375; 0,18359375; 330,63793103448273; 0,1312055
4; 0,18359375; 0,18359375; 323,48275862068965; 0,1283662
5; 0,18359375; 0,1796875; 328,4655172413793; 0,13034348
6; 0,1796875; 0,16015625; 325,41379310344826; 0,12913248
7; 0,15625; 0,13671875; 325,7413793103448; 0,12926242
8; 0,13671875; 0,13671875; 327,6551724137931; 0,13002189
9; 0,13671875; 0,1015625; 344,6896551724138; 0,13678159
10; 0,1015625; 0,1015625; 344,86206896551727; 0,13685001
11; 0,1015625; 0,09375; 344,36206896551727; 0,13665162
12; 0,09375; 0,078125; 342,87931034482756; 0,1360632
13; 0,078125; 0,078125; 333,1551724137931; 0,13220443
14; 0,078125; 0,078125; 338,7931034482759; 0,13444172
15; 0,078125; 0,0703125; 334,36206896551727; 0,13268337
16; 0,0703125; 0,0703125; 334,5344827586207; 0,13275181
17; 0,0703125; 0,0703125; 334,1896551724138; 0,13261496
18; 0,0703125; 0,0703125; 332,8965517241379; 0,1321018
19; 0,0703125; 0,0625; 334,5344827586207; 0,1327518
20; 0,0625; 0,0625; 333,5344827586207; 0,13235493
21; 0,0625; 0,0625; 334,0689655172414; 0,13256703
22; 0,0625; 0,0625; 334,2068965517241; 0,13262178
23; 0,0625; 0,0625; 333,63793103448273; 0,13239603
24; 0,0625; 0,0625; 334,6034482758621; 0,13277915
25; 0,0625; 0,0625; 333,7931034482759; 0,13245758
26; 0,0625; 0,0625; 332,6551724137931; 0,13200599
27; 0,0625; 0,0625; 333,62068965517244; 0,13238917
28; 0,0625; 0,0625; 333,86206896551727; 0,13248494
29; 0,0625; 0,0625; 335,44827586206895; 0,1331144
30; 0,0625; 0,0625; 335,7241379310345; 0,13322389
31; 0,0625; 0,0625; 336,2241379310345; 0,13342229
32; 0,0625; 0,0625; 334,0; 0,13253969
33; 0,0625; 0,0625; 335,1896551724138; 0,13301176
34; 0,0625; 0,0625; 334,8103448275862; 0,13286126
35; 0,0625; 0,0625; 337,0; 0,13373017
36; 0,0625; 0,0625; 335,08620689655174; 0,1329707
37; 0,0625; 0,0625; 334,5689655172414; 0,13276546
38; 0,0625; 0,0625; 334,5689655172414; 0,13276544
39; 0,0625; 0,0625; 333,3965517241379; 0,13230021
40; 0,0625; 0,0625; 334,1896551724138; 0,13261493
41; 0,0625; 0,0625; 334,98275862068965; 0,13292967
42; 0,0625; 0,0625; 335,2068965517241; 0,13301861
43; 0,0625; 0,0625; 334,7413793103448; 0,13283387
44; 0,0625; 0,0625; 332,91379310344826; 0,13210864
45; 0,0625; 0,0625; 333,7931034482759; 0,13245758
46; 0,0625; 0,0625; 337,7413793103448; 0,13402437
47; 0,0625; 0,0625; 336,2068965517241; 0,13341545
48; 0,0625; 0,0625; 334,8448275862069; 0,13287494
49; 0,0625; 0,0625; 335,05172413793105; 0,13295704
50; 0,0625; 0,0625; 335,82758620689657; 0,13326491
51; 0,0625; 0,0625; 336,1896551724138; 0,13340859
52; 0,0625; 0,0625; 335,86206896551727; 0,13327858
53; 0,0625; 0,0625; 334,1551724137931; 0,13260128
54; 0,0625; 0,0625; 333,1551724137931; 0,13220441
55; 0,0625; 0,0625; 331,48275862068965; 0,13154078
56; 0,0625; 0,0625; 331,2586206896552; 0,13145183
57; 0,0625; 0,0625; 332,2413793103448; 0,1318418
58; 0,0625; 0,0625; 332,4655172413793; 0,13193074
59; 0,0625; 0,0625; 332,7586206896552; 0,13204706
60; 0,0625; 0,0625; 330,6551724137931; 0,13121237
61; 0,0625; 0,0625; 331,8965517241379; 0,13170496
62; 0,0625; 0,0625; 333,7413793103448; 0,13243704
63; 0,0625; 0,0625; 333,01724137931035; 0,13214968
64; 0,0625; 0,0625; 332,12068965517244; 0,13179393
65; 0,0625; 0,0625; 329,4655172413793; 0,13074027
66; 0,0625; 0,0625; 328,6034482758621; 0,13039818
67; 0,0625; 0,0625; 328,32758620689657; 0,13028872
68; 0,0625; 0,0625; 326,2068965517241; 0,12944715
69; 0,0625; 0,0625; 328,2241379310345; 0,13024765
70; 0,0625; 0,0625; 325,48275862068965; 0,1291598
71; 0,0625; 0,0625; 324,98275862068965; 0,12896138
72; 0,0625; 0,0625; 325,3103448275862; 0,12909138
73; 0,0625; 0,0625; 321,2413793103448; 0,12747672
74; 0,0625; 0,0625; 322,32758620689657; 0,12790774
75; 0,0625; 0,0625; 322,13793103448273; 0,12783249
76; 0,0625; 0,0625; 320,86206896551727; 0,12732622
77; 0,0625; 0,0625; 320,63793103448273; 0,12723728
78; 0,0625; 0,0625; 320,9655172413793; 0,12736724
79; 0,0625; 0,0625; 319,98275862068965; 0,12697728
80; 0,0625; 0,0625; 320,87931034482756; 0,12733305
81; 0,0625; 0,0625; 322,58620689655174; 0,12801039
82; 0,0625; 0,0625; 320,8103448275862; 0,1273057
83; 0,0625; 0,0625; 321,0; 0,12738098
84; 0,0625; 0,0625; 319,94827586206895; 0,12696362
85; 0,0625; 0,0625; 321,7586206896552; 0,12768199
86; 0,0625; 0,0625; 323,05172413793105; 0,12819512
87; 0,0625; 0,0625; 321,7931034482759; 0,12769565
88; 0,0625; 0,0625; 322,12068965517244; 0,12782565
89; 0,0625; 0,0625; 322,6034482758621; 0,12801722
