Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,28125; 0,25390625; 356,58; 0,10130113
2; 0,25390625; 0,25; 359,1; 0,10201706
3; 0,234375; 0,234375; 369,28; 0,10490911
4; 0,234375; 0,2109375; 385,36; 0,109477274
5; 0,2109375; 0,20703125; 385,3; 0,10946024
6; 0,203125; 0,18359375; 383,1; 0,10883522
7; 0,16796875; 0,13671875; 383,9; 0,10906249
8; 0,13671875; 0,12890625; 385,72; 0,10957956
9; 0,12890625; 0,12109375; 386,26; 0,10973297
10; 0,1171875; 0,1171875; 384,88; 0,1093409
11; 0,1171875; 0,11328125; 385,96; 0,10964774
12; 0,11328125; 0,0859375; 386,9; 0,1099148
13; 0,0859375; 0,0859375; 396,36; 0,11260229
14; 0,0859375; 0,0859375; 385,4; 0,10948866
15; 0,0859375; 0,078125; 385,58; 0,10953981
16; 0,07421875; 0,07421875; 358,62; 0,10188068
17; 0,07421875; 0,07421875; 336,2; 0,09551136
18; 0,07421875; 0,07421875; 334,94; 0,095153406
19; 0,07421875; 0,07421875; 334,46; 0,09501705
20; 0,07421875; 0,07421875; 336,04; 0,095465906
21; 0,07421875; 0,07421875; 334,82; 0,09511931
22; 0,07421875; 0,07421875; 334,86; 0,09513068
23; 0,07421875; 0,07421875; 334,98; 0,095164776
24; 0,07421875; 0,07421875; 335,04; 0,095181815
25; 0,07421875; 0,05859375; 334,78; 0,09510796
26; 0,05859375; 0,05859375; 335,36; 0,095272735
27; 0,05859375; 0,05859375; 333,94; 0,094869316
28; 0,05859375; 0,05859375; 335,52; 0,09531818
29; 0,05859375; 0,05859375; 335,82; 0,0954034
30; 0,05859375; 0,05859375; 335,62; 0,095346585
31; 0,05859375; 0,05859375; 335,52; 0,09531818
32; 0,05859375; 0,05859375; 335,82; 0,095403425
33; 0,05859375; 0,05859375; 335,62; 0,095346585
34; 0,05859375; 0,0546875; 335,86; 0,09541477
35; 0,0546875; 0,0546875; 334,8; 0,09511363
36; 0,0546875; 0,0546875; 334,34; 0,09498296
37; 0,0546875; 0,0546875; 336,16; 0,0955
38; 0,0546875; 0,05078125; 336,68; 0,09564771
39; 0,05078125; 0,05078125; 335,92; 0,095431805
40; 0,05078125; 0,05078125; 333,9; 0,09485793
41; 0,05078125; 0,05078125; 338,54; 0,096176155
42; 0,05078125; 0,05078125; 337,34; 0,095835246
43; 0,05078125; 0,05078125; 337,26; 0,095812514
44; 0,05078125; 0,05078125; 337,48; 0,09587502
45; 0,05078125; 0,05078125; 337,7; 0,09593749
46; 0,05078125; 0,05078125; 339,72; 0,09651137
47; 0,05078125; 0,05078125; 338,42; 0,09614206
48; 0,05078125; 0,05078125; 339,44; 0,09643183
49; 0,05078125; 0,05078125; 337,92; 0,096
50; 0,05078125; 0,05078125; 337,58; 0,09590343
51; 0,05078125; 0,05078125; 338,3; 0,09610796
52; 0,05078125; 0,05078125; 337,2; 0,09579547
53; 0,05078125; 0,05078125; 337,86; 0,09598297
54; 0,05078125; 0,05078125; 338,36; 0,096125014
55; 0,05078125; 0,05078125; 338,26; 0,096096605
56; 0,05078125; 0,05078125; 337,54; 0,09589206
57; 0,05078125; 0,05078125; 338,94; 0,09628978
58; 0,05078125; 0,05078125; 338,24; 0,096090905
59; 0,05078125; 0,05078125; 338,64; 0,09620455
60; 0,05078125; 0,05078125; 337,42; 0,09585797
61; 0,05078125; 0,05078125; 338,42; 0,09614206
62; 0,05078125; 0,05078125; 337,92; 0,096000016
63; 0,05078125; 0,05078125; 338,62; 0,09619887
64; 0,05078125; 0,05078125; 337,84; 0,095977284
65; 0,05078125; 0,05078125; 337,1; 0,09576706
66; 0,05078125; 0,05078125; 338,08; 0,09604546
67; 0,05078125; 0,05078125; 339,1; 0,09633525
68; 0,05078125; 0,05078125; 338,32; 0,09611365
69; 0,05078125; 0,05078125; 337,28; 0,09581819
70; 0,05078125; 0,05078125; 337,3; 0,09582388
71; 0,05078125; 0,05078125; 337,9; 0,09599434
72; 0,05078125; 0,05078125; 337,92; 0,096
73; 0,05078125; 0,05078125; 338,06; 0,09603978
74; 0,05078125; 0,05078125; 337,96; 0,09601137
75; 0,05078125; 0,05078125; 337,8; 0,0959659
76; 0,05078125; 0,05078125; 337,94; 0,0960057
77; 0,05078125; 0,05078125; 338,54; 0,09617615
78; 0,05078125; 0,05078125; 338,26; 0,09609661
79; 0,05078125; 0,05078125; 338,92; 0,09628411
80; 0,05078125; 0,05078125; 339,12; 0,09634092
81; 0,05078125; 0,05078125; 337,62; 0,09591477
82; 0,05078125; 0,05078125; 337,96; 0,09601138
83; 0,05078125; 0,05078125; 337,66; 0,09592615
84; 0,05078125; 0,05078125; 338,04; 0,09603411
85; 0,05078125; 0,05078125; 337,92; 0,09600002
86; 0,05078125; 0,05078125; 336,08; 0,09547727
87; 0,05078125; 0,05078125; 337,58; 0,09590343
88; 0,05078125; 0,05078125; 336,86; 0,09569887
89; 0,05078125; 0,05078125; 337,34; 0,09583523
90; 0,05078125; 0,05078125; 337,66; 0,09592616
91; 0,05078125; 0,05078125; 338,22; 0,096085235
92; 0,05078125; 0,05078125; 336,92; 0,09571591
93; 0,05078125; 0,05078125; 338,98; 0,096301146
94; 0,05078125; 0,05078125; 338,58; 0,0961875
95; 0,05078125; 0,05078125; 338,32; 0,09611364
96; 0,05078125; 0,05078125; 338,1; 0,09605114
97; 0,05078125; 0,05078125; 337,86; 0,09598297
98; 0,05078125; 0,05078125; 337,7; 0,09593751
99; 0,05078125; 0,05078125; 338,26; 0,09609661
100; 0,05078125; 0,05078125; 338,02; 0,09602842
101; 0,05078125; 0,05078125; 339,6; 0,09647727
102; 0,05078125; 0,05078125; 339,0; 0,09630684
103; 0,05078125; 0,05078125; 338,06; 0,09603978
104; 0,05078125; 0,05078125; 338,08; 0,09604547
105; 0,05078125; 0,05078125; 337,56; 0,09589774
106; 0,05078125; 0,05078125; 337,86; 0,095982954
107; 0,05078125; 0,05078125; 337,28; 0,09581819
108; 0,05078125; 0,05078125; 337,76; 0,09595455
109; 0,05078125; 0,05078125; 337,26; 0,0958125
110; 0,05078125; 0,05078125; 338,54; 0,09617615
111; 0,05078125; 0,05078125; 337,34; 0,09583523
112; 0,05078125; 0,05078125; 336,82; 0,095687516
113; 0,05078125; 0,05078125; 337,28; 0,09581818
114; 0,05078125; 0,05078125; 338,78; 0,096244335
115; 0,05078125; 0,05078125; 338,14; 0,09606252
116; 0,05078125; 0,05078125; 337,78; 0,095960245
117; 0,05078125; 0,05078125; 337,84; 0,095977284
118; 0,05078125; 0,05078125; 338,94; 0,09628978
119; 0,05078125; 0,05078125; 336,7; 0,09565342
120; 0,05078125; 0,05078125; 338,36; 0,096125014
121; 0,05078125; 0,05078125; 338,46; 0,09615343
122; 0,05078125; 0,05078125; 338,8; 0,09625002
123; 0,05078125; 0,05078125; 337,64; 0,095920466
124; 0,05078125; 0,05078125; 338,58; 0,09618752
125; 0,05078125; 0,05078125; 338,86; 0,09626706
126; 0,05078125; 0,05078125; 339,22; 0,096369326
127; 0,05078125; 0,05078125; 337,6; 0,0959091
128; 0,05078125; 0,05078125; 338,44; 0,09614775
129; 0,05078125; 0,05078125; 338,12; 0,09605683
130; 0,05078125; 0,05078125; 336,96; 0,095727295
131; 0,05078125; 0,05078125; 337,04; 0,09575
132; 0,05078125; 0,05078125; 338,32; 0,096113645
133; 0,05078125; 0,05078125; 337,56; 0,09589774
134; 0,05078125; 0,05078125; 338,28; 0,096102275
135; 0,05078125; 0,05078125; 337,88; 0,095988624
136; 0,05078125; 0,05078125; 338,68; 0,096215926
137; 0,05078125; 0,05078125; 336,98; 0,09573296
138; 0,05078125; 0,05078125; 337,04; 0,09575002
139; 0,05078125; 0,05078125; 336,86; 0,09569887
140; 0,05078125; 0,05078125; 338,22; 0,096085235
141; 0,05078125; 0,05078125; 337,5; 0,0958807
142; 0,05078125; 0,05078125; 338,1; 0,09605115
143; 0,05078125; 0,05078125; 337,88; 0,09598864
144; 0,05078125; 0,05078125; 338,54; 0,09617615
145; 0,05078125; 0,05078125; 337,56; 0,09589774
146; 0,05078125; 0,05078125; 338,26; 0,096096605
147; 0,05078125; 0,05078125; 338,48; 0,09615911
148; 0,05078125; 0,05078125; 338,14; 0,09606252
