Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,28125; 0,25; 315,7; 0,08968751
2; 0,24609375; 0,2421875; 306,3; 0,08701706
3; 0,2421875; 0,23828125; 300,52; 0,085375
4; 0,23828125; 0,1875; 301,68; 0,085704565
5; 0,1875; 0,18359375; 311,06; 0,08836931
6; 0,18359375; 0,16796875; 337,04; 0,09575
7; 0,1640625; 0,1640625; 337,58; 0,095903434
8; 0,1640625; 0,16015625; 336,12; 0,09548865
9; 0,16015625; 0,16015625; 339,3; 0,09639205
10; 0,16015625; 0,13671875; 341,22; 0,096937515
11; 0,1328125; 0,1328125; 341,02; 0,09688067
12; 0,1328125; 0,12890625; 338,12; 0,09605683
13; 0,125; 0,11328125; 339,08; 0,09632955
14; 0,109375; 0,109375; 340,5; 0,09673297
15; 0,109375; 0,1015625; 339,52; 0,09645455
16; 0,09375; 0,09375; 339,42; 0,09642615
17; 0,09375; 0,09375; 340,16; 0,096636385
18; 0,09375; 0,0703125; 339,34; 0,09640342
19; 0,0703125; 0,0703125; 344,22; 0,097789764
20; 0,0703125; 0,0703125; 347,98; 0,09885795
21; 0,0703125; 0,06640625; 348,16; 0,098909095
22; 0,06640625; 0,06640625; 347,8; 0,09880682
23; 0,06640625; 0,0625; 349,04; 0,09915909
24; 0,0625; 0,0546875; 349,34; 0,09924432
25; 0,0546875; 0,0546875; 350,56; 0,09959092
26; 0,0546875; 0,0546875; 355,18; 0,10090342
27; 0,0546875; 0,0546875; 353,18; 0,100335225
28; 0,0546875; 0,0546875; 352,78; 0,10022159
29; 0,0546875; 0,0546875; 352,54; 0,10015338
30; 0,0546875; 0,0546875; 352,02; 0,100005664
31; 0,0546875; 0,0546875; 352,08; 0,100022726
32; 0,0546875; 0,0546875; 353,0; 0,10028409
33; 0,0546875; 0,0546875; 352,62; 0,10017614
34; 0,0546875; 0,0546875; 353,18; 0,10033523
35; 0,0546875; 0,0546875; 353,2; 0,10034093
36; 0,0546875; 0,0546875; 353,04; 0,10029545
37; 0,0546875; 0,0546875; 352,68; 0,10019319
38; 0,0546875; 0,0546875; 353,6; 0,10045454
39; 0,0546875; 0,0546875; 352,96; 0,10027272
40; 0,0546875; 0,0546875; 353,42; 0,10040342
41; 0,0546875; 0,0546875; 353,3; 0,10036932
42; 0,0546875; 0,0546875; 352,5; 0,100142024
43; 0,0546875; 0,0546875; 353,48; 0,10042047
44; 0,0546875; 0,0546875; 352,46; 0,10013069
45; 0,0546875; 0,0546875; 353,1; 0,1003125
46; 0,0546875; 0,0546875; 352,82; 0,100232944
47; 0,0546875; 0,0546875; 352,94; 0,100267045
48; 0,0546875; 0,0546875; 352,38; 0,10010797
49; 0,0546875; 0,0546875; 351,68; 0,0999091
50; 0,0546875; 0,0546875; 352,4; 0,10011363
51; 0,0546875; 0,0546875; 352,06; 0,10001705
52; 0,0546875; 0,0546875; 352,18; 0,10005116
53; 0,0546875; 0,0546875; 352,84; 0,100238636
54; 0,0546875; 0,0546875; 352,76; 0,10021591
55; 0,0546875; 0,0546875; 352,84; 0,10023863
56; 0,0546875; 0,0546875; 353,0; 0,10028408
57; 0,0546875; 0,0546875; 352,7; 0,10019888
58; 0,0546875; 0,0546875; 353,2; 0,10034093
59; 0,0546875; 0,0546875; 353,58; 0,10044889
60; 0,0546875; 0,0546875; 352,66; 0,1001875
61; 0,0546875; 0,0546875; 352,5; 0,10014205
62; 0,0546875; 0,05078125; 353,46; 0,10041478
63; 0,05078125; 0,05078125; 353,6; 0,10045457
64; 0,05078125; 0,05078125; 352,36; 0,10010228
65; 0,05078125; 0,05078125; 353,04; 0,10029547
66; 0,05078125; 0,05078125; 352,82; 0,100232966
67; 0,05078125; 0,05078125; 351,84; 0,099954545
68; 0,05078125; 0,05078125; 352,96; 0,100272715
69; 0,05078125; 0,05078125; 352,96; 0,10027273
70; 0,05078125; 0,05078125; 352,8; 0,10022727
71; 0,05078125; 0,05078125; 353,72; 0,10048864
72; 0,05078125; 0,05078125; 352,26; 0,10007386
73; 0,05078125; 0,05078125; 353,02; 0,10028978
74; 0,05078125; 0,05078125; 352,88; 0,10025
75; 0,05078125; 0,05078125; 352,72; 0,100204535
76; 0,05078125; 0,05078125; 353,66; 0,10047159
77; 0,05078125; 0,05078125; 353,02; 0,10028978
78; 0,05078125; 0,05078125; 352,38; 0,100107946
79; 0,05078125; 0,05078125; 353,76; 0,1005
80; 0,05078125; 0,05078125; 354,18; 0,100619316
81; 0,05078125; 0,05078125; 354,08; 0,100590914
82; 0,05078125; 0,05078125; 352,58; 0,10016476
83; 0,05078125; 0,05078125; 353,34; 0,10038068
84; 0,05078125; 0,05078125; 353,16; 0,10032955
85; 0,05078125; 0,05078125; 353,1; 0,10031251
86; 0,05078125; 0,05078125; 352,54; 0,10015341
87; 0,05078125; 0,05078125; 353,1; 0,1003125
88; 0,05078125; 0,05078125; 352,14; 0,10003978
89; 0,05078125; 0,05078125; 353,22; 0,100346595
90; 0,05078125; 0,05078125; 352,92; 0,10026136
91; 0,05078125; 0,05078125; 353,16; 0,10032955
92; 0,05078125; 0,05078125; 353,1; 0,1003125
93; 0,05078125; 0,05078125; 353,0; 0,1002841
94; 0,05078125; 0,05078125; 353,14; 0,10032387
95; 0,05078125; 0,05078125; 353,92; 0,100545466
96; 0,05078125; 0,05078125; 352,98; 0,100278415
97; 0,05078125; 0,05078125; 352,4; 0,10011364
98; 0,05078125; 0,05078125; 352,34; 0,1000966
99; 0,05078125; 0,05078125; 352,48; 0,10013637
100; 0,05078125; 0,05078125; 352,52; 0,10014773
101; 0,05078125; 0,05078125; 352,6; 0,10017045
102; 0,05078125; 0,05078125; 353,12; 0,100318186
103; 0,05078125; 0,05078125; 353,12; 0,10031817
104; 0,05078125; 0,05078125; 352,8; 0,10022728
105; 0,05078125; 0,05078125; 353,68; 0,10047728
106; 0,05078125; 0,05078125; 353,08; 0,10030682
107; 0,05078125; 0,05078125; 352,72; 0,10020456
108; 0,05078125; 0,05078125; 354,82; 0,10080113
109; 0,05078125; 0,05078125; 353,08; 0,10030682
110; 0,05078125; 0,05078125; 352,26; 0,100073874
111; 0,05078125; 0,05078125; 353,92; 0,10054545
112; 0,05078125; 0,05078125; 352,18; 0,10005116
