Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,30078125; 0,29296875; 387,32; 0,110034086
2; 0,2734375; 0,2734375; 353,74; 0,10049431
3; 0,21875; 0,22265625; 349,48; 0,099284105
4; 0,1796875; 0,17578125; 372,76; 0,105897754
5; 0,171875; 0,16015625; 397,74; 0,11299428
6; 0,16015625; 0,15234375; 401,24; 0,11398866
7; 0,15234375; 0,1484375; 403,86; 0,11473297
8; 0,1484375; 0,140625; 401,4; 0,11403409
9; 0,140625; 0,1328125; 401,9; 0,11417611
10; 0,12890625; 0,12890625; 401,62; 0,11409657
11; 0,125; 0,12109375; 400,0; 0,11363635
12; 0,12109375; 0,12109375; 400,76; 0,11385227
13; 0,12109375; 0,1171875; 401,66; 0,11410795
14; 0,1171875; 0,1171875; 402,72; 0,11440907
15; 0,1171875; 0,11328125; 402,18; 0,11425566
16; 0,11328125; 0,11328125; 407,32; 0,11571591
17; 0,11328125; 0,109375; 402,54; 0,11435794
18; 0,109375; 0,109375; 401,18; 0,113971606
19; 0,109375; 0,109375; 402,16; 0,114250004
20; 0,109375; 0,1015625; 401,78; 0,114142075
21; 0,1015625; 0,09375; 400,78; 0,113858014
22; 0,09375; 0,09375; 401,32; 0,114011414
23; 0,09375; 0,09375; 401,14; 0,113960266
24; 0,09375; 0,08984375; 400,86; 0,11388073
25; 0,08984375; 0,08984375; 400,8; 0,113863684
26; 0,08984375; 0,07421875; 401,14; 0,11396029
27; 0,07421875; 0,07421875; 402,44; 0,11432958
28; 0,07421875; 0,07421875; 403,52; 0,11463642
29; 0,07421875; 0,07421875; 404,72; 0,11497732
30; 0,07421875; 0,0703125; 404,34; 0,11486935
31; 0,0703125; 0,0703125; 404,14; 0,11481252
32; 0,0703125; 0,0703125; 403,14; 0,11452842
33; 0,0703125; 0,0703125; 403,6; 0,1146591
34; 0,0703125; 0,0703125; 402,86; 0,114448875
35; 0,0703125; 0,0703125; 403,0; 0,11448864
36; 0,0703125; 0,0703125; 405,2; 0,11511367
37; 0,0703125; 0,0703125; 404,94; 0,1150398
38; 0,0703125; 0,0703125; 405,1; 0,11508527
39; 0,0703125; 0,0703125; 405,72; 0,11526139
40; 0,0703125; 0,0703125; 403,62; 0,11466479
41; 0,0703125; 0,0703125; 402,18; 0,114255674
42; 0,0703125; 0,0625; 403,9; 0,11474436
43; 0,0625; 0,0625; 404,94; 0,115039796
44; 0,0625; 0,0625; 404,66; 0,11496025
45; 0,0625; 0,0625; 403,78; 0,11471026
46; 0,0625; 0,0625; 403,52; 0,114636384
47; 0,0625; 0,0625; 404,9; 0,11502844
48; 0,0625; 0,0625; 404,54; 0,11492616
49; 0,0625; 0,0625; 404,36; 0,11487504
50; 0,0625; 0,0625; 404,54; 0,114926174
51; 0,0625; 0,0625; 404,94; 0,115039796
52; 0,0625; 0,0625; 403,84; 0,11472732
53; 0,0625; 0,0625; 403,36; 0,11459094
54; 0,0625; 0,0625; 403,96; 0,11476139
55; 0,0625; 0,0625; 404,64; 0,11495458
56; 0,0625; 0,0625; 402,76; 0,11442047
57; 0,0625; 0,0625; 402,98; 0,114482984
58; 0,0625; 0,0625; 405,04; 0,115068205
59; 0,0625; 0,0625; 404,54; 0,11492616
60; 0,0625; 0,0625; 404,56; 0,114931844
61; 0,0625; 0,0625; 404,34; 0,11486935
62; 0,0625; 0,0625; 405,0; 0,11505684
63; 0,0625; 0,0625; 404,88; 0,115022756
64; 0,0625; 0,0625; 405,04; 0,11506822
65; 0,0625; 0,0625; 404,94; 0,115039825
66; 0,0625; 0,0625; 404,12; 0,114806846
67; 0,0625; 0,0625; 403,82; 0,1147216
68; 0,0625; 0,0625; 404,46; 0,11490344
69; 0,0625; 0,0625; 403,86; 0,11473298
70; 0,0625; 0,0625; 404,7; 0,11497161
