Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,4375; 0,421875; 126,32692307692308; 0,0418301
2; 0,421875; 0,40625; 131,92307692307693; 0,043683138
3; 0,40625; 0,40625; 141,82692307692307; 0,046962544
4; 0,40625; 0,390625; 144,03846153846155; 0,047694843
5; 0,390625; 0,375; 143,82692307692307; 0,0476248
6; 0,375; 0,375; 144,46153846153845; 0,047834933
7; 0,375; 0,359375; 143,25; 0,047433767
8; 0,359375; 0,359375; 143,46153846153845; 0,047503803
9; 0,359375; 0,359375; 143,96153846153845; 0,04766937
10; 0,359375; 0,328125; 144,03846153846155; 0,047694843
11; 0,328125; 0,328125; 136,5; 0,045198686
12; 0,328125; 0,3125; 129,51923076923077; 0,042887174
13; 0,3125; 0,3125; 129,21153846153845; 0,042785272
14; 0,3125; 0,296875; 126,36538461538461; 0,04184285
15; 0,296875; 0,296875; 127,73076923076923; 0,042294964
16; 0,296875; 0,296875; 127,96153846153847; 0,042371374
17; 0,296875; 0,296875; 131,42307692307693; 0,043517575
18; 0,296875; 0,296875; 130,32692307692307; 0,043154612
19; 0,296875; 0,296875; 132,19230769230768; 0,043772295
20; 0,296875; 0,296875; 131,1346153846154; 0,043422062
21; 0,296875; 0,296875; 131,0; 0,043377493
22; 0,296875; 0,296875; 130,1346153846154; 0,043090936
23; 0,296875; 0,296875; 129,1153846153846; 0,042753443
24; 0,296875; 0,296875; 130,07692307692307; 0,043071833
25; 0,296875; 0,296875; 130,1153846153846; 0,043084566
26; 0,296875; 0,296875; 130,6346153846154; 0,0432565
27; 0,296875; 0,296875; 133,42307692307693; 0,04417983
28; 0,296875; 0,296875; 130,3846153846154; 0,043173715
29; 0,296875; 0,28125; 129,30769230769232; 0,04281712
30; 0,28125; 0,28125; 132,09615384615384; 0,043740444
31; 0,28125; 0,265625; 131,1346153846154; 0,04342205
32; 0,265625; 0,265625; 119,82692307692308; 0,039677795
33; 0,265625; 0,265625; 105,88461538461539; 0,035061143
34; 0,265625; 0,265625; 106,13461538461539; 0,03514391
35; 0,265625; 0,25; 104,40384615384616; 0,034570806
36; 0,25; 0,25; 105,40384615384616; 0,034901932
37; 0,25; 0,25; 105,34615384615384; 0,034882836
38; 0,25; 0,25; 107,11538461538461; 0,03546868
39; 0,25; 0,25; 105,73076923076923; 0,035010193
40; 0,25; 0,25; 106,11538461538461; 0,035137556
41; 0,25; 0,234375; 106,86538461538461; 0,035385903
42; 0,234375; 0,234375; 106,40384615384616; 0,035233077
43; 0,234375; 0,234375; 106,82692307692308; 0,035373166
44; 0,234375; 0,234375; 104,28846153846153; 0,03453261
45; 0,234375; 0,21875; 104,67307692307692; 0,034659974
46; 0,21875; 0,21875; 105,21153846153847; 0,034838267
47; 0,21875; 0,21875; 104,13461538461539; 0,034481667
48; 0,21875; 0,21875; 104,09615384615384; 0,03446893
49; 0,21875; 0,21875; 104,11538461538461; 0,034475304
50; 0,21875; 0,21875; 106,51923076923077; 0,035271272
51; 0,21875; 0,21875; 105,63461538461539; 0,034978352
52; 0,21875; 0,21875; 107,0576923076923; 0,03544957
53; 0,21875; 0,21875; 109,0576923076923; 0,036111824
54; 0,21875; 0,21875; 107,25; 0,035513252
55; 0,21875; 0,21875; 106,84615384615384; 0,035379525
56; 0,21875; 0,203125; 107,0576923076923; 0,035449576
57; 0,203125; 0,203125; 107,59615384615384; 0,03562787
58; 0,203125; 0,203125; 108,6923076923077; 0,035990838
59; 0,203125; 0,203125; 109,23076923076923; 0,036169134
60; 0,203125; 0,203125; 110,25; 0,036506627
