Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,4375; 0,4375; 182,82692307692307; 0,045479335
2; 0,4375; 0,40625; 183,19230769230768; 0,045570217
3; 0,40625; 0,390625; 183,07692307692307; 0,04554152
4; 0,390625; 0,375; 184,03846153846155; 0,0457807
5; 0,375; 0,375; 245,55769230769232; 0,06108401
6; 0,375; 0,375; 183,23076923076923; 0,045579787
7; 0,375; 0,375; 181,51923076923077; 0,045154035
8; 0,375; 0,375; 181,94230769230768; 0,04525928
9; 0,375; 0,375; 182,96153846153845; 0,045512814
10; 0,375; 0,375; 182,94230769230768; 0,04550803
11; 0,375; 0,375; 182,1153846153846; 0,045302328
12; 0,375; 0,375; 182,03846153846155; 0,045283195
13; 0,375; 0,375; 181,92307692307693; 0,045254488
14; 0,375; 0,375; 181,67307692307693; 0,0451923
15; 0,375; 0,375; 182,1153846153846; 0,045302328
16; 0,375; 0,375; 182,44230769230768; 0,045383655
17; 0,375; 0,375; 182,51923076923077; 0,045402784
18; 0,375; 0,375; 182,40384615384616; 0,045374088
19; 0,375; 0,34375; 183,92307692307693; 0,045752004
20; 0,34375; 0,328125; 224,25; 0,05578359
21; 0,328125; 0,328125; 282,5576923076923; 0,07028801
22; 0,328125; 0,328125; 283,3269230769231; 0,07047935
23; 0,328125; 0,328125; 280,5576923076923; 0,0697905
24; 0,328125; 0,328125; 283,13461538461536; 0,070431516
25; 0,328125; 0,328125; 282,63461538461536; 0,07030714
26; 0,328125; 0,328125; 282,8076923076923; 0,070350185
27; 0,328125; 0,328125; 281,61538461538464; 0,07005359
28; 0,328125; 0,328125; 283,0576923076923; 0,07041238
29; 0,328125; 0,3125; 283,2307692307692; 0,070455424
30; 0,3125; 0,296875; 284,1923076923077; 0,0706946
31; 0,296875; 0,296875; 284,34615384615387; 0,070732854
32; 0,296875; 0,28125; 284,0; 0,07064676
33; 0,28125; 0,28125; 282,96153846153845; 0,070388444
34; 0,28125; 0,265625; 283,34615384615387; 0,070484124
35; 0,265625; 0,265625; 283,90384615384613; 0,070622854
36; 0,265625; 0,25; 282,84615384615387; 0,07035976
37; 0,25; 0,25; 287,3076923076923; 0,07146959
38; 0,25; 0,25; 288,46153846153845; 0,071756594
39; 0,25; 0,25; 288,5; 0,071766175
40; 0,25; 0,25; 286,53846153846155; 0,07127823
41; 0,25; 0,25; 283,9230769230769; 0,07062764
42; 0,25; 0,25; 283,9230769230769; 0,07062764
43; 0,25; 0,25; 285,84615384615387; 0,071106024
44; 0,25; 0,25; 285,86538461538464; 0,0711108
45; 0,25; 0,25; 281,5769230769231; 0,07004402
46; 0,25; 0,25; 285,9423076923077; 0,07112994
47; 0,25; 0,25; 285,6923076923077; 0,07106776
48; 0,25; 0,25; 280,2307692307692; 0,06970915
49; 0,25; 0,25; 281,09615384615387; 0,06992441
50; 0,25; 0,25; 285,90384615384613; 0,07112033
51; 0,25; 0,25; 285,38461538461536; 0,07099118
52; 0,25; 0,25; 284,1730769230769; 0,07068983
53; 0,25; 0,25; 284,71153846153845; 0,07082378
54; 0,25; 0,25; 284,3269230769231; 0,07072811
55; 0,25; 0,25; 282,1730769230769; 0,07019229
56; 0,25; 0,25; 281,34615384615387; 0,06998658
57; 0,25; 0,25; 281,5576923076923; 0,070039205
58; 0,25; 0,25; 282,11538461538464; 0,07017794
59; 0,25; 0,25; 282,75; 0,07033581
60; 0,25; 0,25; 279,8076923076923; 0,069603875
61; 0,25; 0,25; 281,9230769230769; 0,0701301
62; 0,25; 0,25; 280,4230769230769; 0,06975696
63; 0,25; 0,25; 278,4423076923077; 0,06926425
64; 0,25; 0,25; 281,4423076923077; 0,07001051
65; 0,25; 0,234375; 281,1730769230769; 0,06994356
66; 0,234375; 0,234375; 277,3076923076923; 0,06898203
67; 0,234375; 0,234375; 282,13461538461536; 0,07018274
68; 0,234375; 0,234375; 282,4423076923077; 0,07025929
69; 0,234375; 0,234375; 280,1730769230769; 0,06969479
70; 0,234375; 0,234375; 282,4423076923077; 0,07025927
71; 0,234375; 0,234375; 284,09615384615387; 0,07067069
72; 0,234375; 0,234375; 281,78846153846155; 0,07009663
73; 0,234375; 0,234375; 279,03846153846155; 0,06941255
74; 0,234375; 0,234375; 281,86538461538464; 0,07011577
75; 0,234375; 0,234375; 282,5576923076923; 0,07028799
76; 0,234375; 0,234375; 278,96153846153845; 0,06939341
77; 0,234375; 0,234375; 282,40384615384613; 0,07024971
78; 0,234375; 0,234375; 281,6730769230769; 0,07006793
79; 0,234375; 0,234375; 279,3269230769231; 0,06948431
80; 0,234375; 0,234375; 282,3076923076923; 0,07022579
81; 0,234375; 0,234375; 282,96153846153845; 0,07038844
82; 0,234375; 0,234375; 282,36538461538464; 0,070240155
83; 0,234375; 0,21875; 282,5192307692308; 0,07027842
84; 0,21875; 0,21875; 282,4423076923077; 0,0702593
85; 0,21875; 0,21875; 279,8076923076923; 0,06960391
86; 0,21875; 0,21875; 280,2307692307692; 0,06970914
87; 0,21875; 0,203125; 280,78846153846155; 0,069847874
88; 0,203125; 0,203125; 277,15384615384613; 0,06894373
89; 0,203125; 0,203125; 283,36538461538464; 0,0704889
90; 0,203125; 0,203125; 282,46153846153845; 0,07026406
91; 0,203125; 0,203125; 280,9230769230769; 0,06988137
92; 0,203125; 0,203125; 278,63461538461536; 0,069312096
93; 0,203125; 0,203125; 279,2307692307692; 0,06946039
94; 0,203125; 0,203125; 281,65384615384613; 0,07006315
95; 0,203125; 0,203125; 280,8269230769231; 0,06985745
96; 0,203125; 0,203125; 281,11538461538464; 0,069929205
97; 0,203125; 0,203125; 280,0; 0,06965174
98; 0,203125; 0,203125; 279,8076923076923; 0,06960391
99; 0,203125; 0,203125; 282,7692307692308; 0,07034061
100; 0,203125; 0,203125; 278,0769230769231; 0,06917336
101; 0,203125; 0,203125; 282,40384615384613; 0,070249714
102; 0,203125; 0,203125; 281,88461538461536; 0,07012055
103; 0,203125; 0,203125; 282,84615384615387; 0,07035974
104; 0,203125; 0,1875; 280,7692307692308; 0,06984308
105; 0,1875; 0,1875; 280,5192307692308; 0,0697809
106; 0,1875; 0,1875; 283,96153846153845; 0,0706372
107; 0,1875; 0,1875; 283,9807692307692; 0,07064198
108; 0,1875; 0,1875; 280,0576923076923; 0,06966609
109; 0,1875; 0,1875; 281,9807692307692; 0,07014447
110; 0,1875; 0,1875; 283,6923076923077; 0,07057022
111; 0,1875; 0,171875; 283,4807692307692; 0,0705176
112; 0,171875; 0,171875; 281,88461538461536; 0,07012054
113; 0,171875; 0,171875; 283,8269230769231; 0,070603706
114; 0,171875; 0,171875; 280,2307692307692; 0,06970915
115; 0,171875; 0,171875; 283,1730769230769; 0,07044105
116; 0,171875; 0,171875; 284,13461538461536; 0,070680246
117; 0,171875; 0,171875; 283,71153846153845; 0,07057501
118; 0,171875; 0,171875; 284,3269230769231; 0,07072808
119; 0,171875; 0,171875; 284,0576923076923; 0,07066111
120; 0,171875; 0,171875; 284,2692307692308; 0,07071374
121; 0,171875; 0,171875; 283,4807692307692; 0,07051761
122; 0,171875; 0,171875; 281,63461538461536; 0,07005836
123; 0,171875; 0,171875; 282,21153846153845; 0,07020188
124; 0,171875; 0,171875; 284,1730769230769; 0,07068981
125; 0,171875; 0,171875; 284,21153846153845; 0,070699394
126; 0,171875; 0,171875; 283,86538461538464; 0,07061328
127; 0,171875; 0,171875; 283,25; 0,07046019
128; 0,171875; 0,171875; 283,4423076923077; 0,070508026
129; 0,171875; 0,171875; 282,88461538461536; 0,0703693
130; 0,171875; 0,171875; 283,46153846153845; 0,07051282
131; 0,171875; 0,171875; 283,6923076923077; 0,07057022
132; 0,171875; 0,171875; 281,63461538461536; 0,07005836
133; 0,171875; 0,171875; 283,46153846153845; 0,07051282
134; 0,171875; 0,171875; 281,0769230769231; 0,06991963
135; 0,171875; 0,171875; 284,36538461538464; 0,07073765
136; 0,171875; 0,171875; 281,5192307692308; 0,07002966
137; 0,171875; 0,171875; 283,75; 0,07058458
138; 0,171875; 0,140625; 283,9423076923077; 0,07063241
139; 0,140625; 0,140625; 283,59615384615387; 0,07054631
140; 0,140625; 0,140625; 279,7692307692308; 0,06959434
141; 0,140625; 0,140625; 283,7307692307692; 0,07057979
142; 0,140625; 0,140625; 282,46153846153845; 0,070264064
143; 0,140625; 0,140625; 281,5; 0,07002488
144; 0,140625; 0,140625; 283,8269230769231; 0,07060371
145; 0,140625; 0,140625; 281,90384615384613; 0,07012533
146; 0,140625; 0,140625; 283,84615384615387; 0,07060849
147; 0,140625; 0,140625; 282,03846153846155; 0,07015882
148; 0,140625; 0,140625; 281,6923076923077; 0,0700727
149; 0,140625; 0,140625; 280,9807692307692; 0,069895715
150; 0,140625; 0,140625; 283,6923076923077; 0,07057022
151; 0,140625; 0,140625; 283,5; 0,07052238
152; 0,140625; 0,140625; 284,75; 0,07083333
153; 0,140625; 0,140625; 283,6923076923077; 0,07057022
154; 0,140625; 0,140625; 280,65384615384613; 0,06981439
155; 0,140625; 0,140625; 284,34615384615387; 0,07073287
156; 0,140625; 0,140625; 284,25; 0,070708945
157; 0,140625; 0,140625; 280,86538461538464; 0,06986701
158; 0,140625; 0,140625; 283,46153846153845; 0,070512824
159; 0,140625; 0,140625; 282,1730769230769; 0,07019231
160; 0,140625; 0,140625; 283,38461538461536; 0,07049368
161; 0,140625; 0,140625; 284,28846153846155; 0,07071852
162; 0,140625; 0,140625; 283,8269230769231; 0,07060371
163; 0,140625; 0,140625; 282,7307692307692; 0,07033104
164; 0,140625; 0,140625; 284,11538461538464; 0,07067546
165; 0,140625; 0,140625; 283,38461538461536; 0,07049368
166; 0,140625; 0,140625; 280,3076923076923; 0,06972827
167; 0,140625; 0,140625; 283,0576923076923; 0,07041236
168; 0,140625; 0,140625; 280,25; 0,069713935
169; 0,140625; 0,140625; 283,9230769230769; 0,07062762
170; 0,140625; 0,140625; 281,90384615384613; 0,070125334
171; 0,140625; 0,140625; 284,34615384615387; 0,07073287
172; 0,140625; 0,140625; 281,0769230769231; 0,06991963
173; 0,140625; 0,140625; 284,21153846153845; 0,07069939
174; 0,140625; 0,140625; 281,5576923076923; 0,07003921
175; 0,140625; 0,140625; 283,9807692307692; 0,07064198
176; 0,140625; 0,140625; 283,78846153846155; 0,07059414
177; 0,140625; 0,140625; 281,5; 0,07002488
178; 0,140625; 0,140625; 284,75; 0,07083333
179; 0,140625; 0,140625; 280,65384615384613; 0,06981439
180; 0,140625; 0,140625; 282,4423076923077; 0,07025927
181; 0,140625; 0,140625; 283,9423076923077; 0,07063241
182; 0,140625; 0,140625; 284,15384615384613; 0,07068503
183; 0,140625; 0,140625; 284,5576923076923; 0,070785485
184; 0,140625; 0,140625; 284,8076923076923; 0,07084769
185; 0,140625; 0,140625; 280,84615384615387; 0,06986223
186; 0,140625; 0,140625; 283,88461538461536; 0,070618056
187; 0,140625; 0,140625; 281,78846153846155; 0,070096634
188; 0,140625; 0,125; 284,5; 0,07077114
189; 0,125; 0,125; 285,75; 0,071082085
190; 0,125; 0,125; 282,38461538461536; 0,07024492
191; 0,125; 0,125; 285,53846153846155; 0,07102946
192; 0,125; 0,125; 283,88461538461536; 0,07061805
193; 0,125; 0,125; 285,4807692307692; 0,071015105
194; 0,125; 0,125; 283,75; 0,070584565
195; 0,125; 0,125; 283,96153846153845; 0,0706372
196; 0,125; 0,125; 285,40384615384613; 0,07099597
197; 0,125; 0,125; 285,75; 0,07108207
198; 0,125; 0,125; 281,6923076923077; 0,0700727
199; 0,125; 0,125; 283,1730769230769; 0,07044105
200; 0,125; 0,125; 286,28846153846155; 0,071216024
201; 0,125; 0,125; 282,88461538461536; 0,070369296
202; 0,125; 0,125; 286,6923076923077; 0,07131649
203; 0,125; 0,125; 285,90384615384613; 0,07112035
204; 0,125; 0,125; 286,0192307692308; 0,071149044
205; 0,125; 0,125; 284,15384615384613; 0,07068502
206; 0,125; 0,125; 284,38461538461536; 0,070742436
207; 0,125; 0,125; 285,59615384615387; 0,07104381
208; 0,125; 0,125; 285,86538461538464; 0,07111078
209; 0,125; 0,125; 286,1923076923077; 0,07119211
210; 0,125; 0,125; 284,9807692307692; 0,07089072
211; 0,125; 0,125; 284,7692307692308; 0,0708381
212; 0,125; 0,125; 285,90384615384613; 0,07112035
213; 0,125; 0,125; 286,8076923076923; 0,07134518
214; 0,125; 0,125; 285,4230769230769; 0,071000755
215; 0,125; 0,125; 286,3076923076923; 0,0712208
216; 0,125; 0,125; 284,5; 0,07077114
217; 0,125; 0,125; 283,78846153846155; 0,07059414
218; 0,125; 0,125; 282,0; 0,07014925
219; 0,125; 0,125; 286,21153846153845; 0,07119689
220; 0,125; 0,125; 283,09615384615387; 0,07042192
221; 0,125; 0,125; 285,6923076923077; 0,07106772
222; 0,125; 0,125; 285,34615384615387; 0,07098163
223; 0,125; 0,125; 285,5769230769231; 0,07103902
224; 0,125; 0,125; 283,4230769230769; 0,07050324
225; 0,125; 0,125; 286,15384615384613; 0,071182534
226; 0,125; 0,125; 285,7692307692308; 0,07108687
227; 0,125; 0,125; 285,1730769230769; 0,070938565
228; 0,125; 0,125; 285,61538461538464; 0,0710486
229; 0,125; 0,125; 285,75; 0,07108208
230; 0,125; 0,125; 286,5769230769231; 0,07128777
231; 0,125; 0,125; 284,1730769230769; 0,07068981
232; 0,125; 0,125; 286,3076923076923; 0,0712208
233; 0,125; 0,125; 283,7692307692308; 0,070589356
234; 0,125; 0,125; 285,96153846153845; 0,071134694
235; 0,125; 0,125; 284,21153846153845; 0,07069938
236; 0,125; 0,125; 285,7307692307692; 0,0710773
237; 0,125; 0,125; 286,4230769230769; 0,07124951
238; 0,125; 0,125; 285,9423076923077; 0,071129926
239; 0,125; 0,125; 285,59615384615387; 0,071043804
240; 0,125; 0,125; 284,2307692307692; 0,07070416
241; 0,125; 0,125; 285,96153846153845; 0,0711347
242; 0,125; 0,125; 286,3076923076923; 0,071220815
243; 0,125; 0,125; 281,90384615384613; 0,07012531
244; 0,125; 0,125; 285,86538461538464; 0,071110785
245; 0,125; 0,125; 285,4807692307692; 0,07101511
246; 0,125; 0,125; 283,0192307692308; 0,070402786
247; 0,125; 0,125; 286,0; 0,07114427
248; 0,125; 0,125; 284,5576923076923; 0,07078548
249; 0,125; 0,125; 285,90384615384613; 0,07112035
250; 0,125; 0,125; 285,13461538461536; 0,070929
251; 0,125; 0,125; 283,21153846153845; 0,07045061
252; 0,125; 0,125; 283,9423076923077; 0,070632406
253; 0,125; 0,125; 285,75; 0,071082085
254; 0,125; 0,125; 284,28846153846155; 0,07071851
255; 0,125; 0,125; 285,8076923076923; 0,07109643
256; 0,125; 0,125; 285,75; 0,07108208
257; 0,125; 0,125; 286,1923076923077; 0,0711921
258; 0,125; 0,125; 284,2307692307692; 0,07070416
259; 0,125; 0,125; 286,1730769230769; 0,071187325
260; 0,125; 0,125; 285,6923076923077; 0,07106773
261; 0,125; 0,125; 286,5; 0,07126865
262; 0,125; 0,125; 285,78846153846155; 0,071091644
263; 0,125; 0,125; 285,86538461538464; 0,07111078
264; 0,125; 0,125; 286,25; 0,07120646
265; 0,125; 0,125; 283,28846153846155; 0,07046975
266; 0,125; 0,125; 284,78846153846155; 0,07084288
267; 0,125; 0,125; 285,9807692307692; 0,071139485
268; 0,125; 0,109375; 282,1730769230769; 0,07019231
269; 0,109375; 0,109375; 281,5576923076923; 0,07003921
270; 0,109375; 0,109375; 286,1923076923077; 0,0711921
271; 0,109375; 0,109375; 283,88461538461536; 0,07061805
272; 0,109375; 0,109375; 287,40384615384613; 0,07149348
273; 0,109375; 0,109375; 287,13461538461536; 0,0714265
274; 0,109375; 0,109375; 288,1730769230769; 0,07168482
275; 0,109375; 0,109375; 287,86538461538464; 0,071608275
276; 0,109375; 0,109375; 285,90384615384613; 0,071120344
277; 0,109375; 0,109375; 287,53846153846155; 0,07152696
278; 0,109375; 0,109375; 288,3269230769231; 0,07172309
279; 0,109375; 0,109375; 285,09615384615387; 0,07091941
280; 0,109375; 0,109375; 288,34615384615387; 0,071727864
281; 0,109375; 0,109375; 283,7307692307692; 0,07057977
282; 0,109375; 0,109375; 288,2692307692308; 0,07170874
283; 0,109375; 0,109375; 284,11538461538464; 0,07067545
284; 0,109375; 0,109375; 288,36538461538464; 0,071732655
285; 0,109375; 0,109375; 288,21153846153845; 0,071694374
286; 0,109375; 0,109375; 287,61538461538464; 0,07154609
287; 0,109375; 0,109375; 286,5769230769231; 0,071287766
288; 0,109375; 0,109375; 286,71153846153845; 0,07132126
289; 0,109375; 0,109375; 285,40384615384613; 0,07099596
290; 0,109375; 0,109375; 287,7692307692308; 0,07158435
291; 0,109375; 0,109375; 288,0192307692308; 0,07164654
292; 0,109375; 0,109375; 289,4807692307692; 0,07201012
293; 0,109375; 0,109375; 287,5; 0,071517386
294; 0,109375; 0,109375; 288,0192307692308; 0,07164654
295; 0,109375; 0,109375; 288,1730769230769; 0,07168482
296; 0,109375; 0,109375; 286,86538461538464; 0,07135952
297; 0,109375; 0,109375; 282,25; 0,07021142
298; 0,109375; 0,109375; 284,9230769230769; 0,07087636
299; 0,109375; 0,109375; 287,6730769230769; 0,071560435
300; 0,109375; 0,109375; 288,0192307692308; 0,07164654
301; 0,109375; 0,109375; 288,15384615384613; 0,07168004
302; 0,109375; 0,109375; 285,1730769230769; 0,07093855
303; 0,109375; 0,109375; 285,40384615384613; 0,070995964
304; 0,109375; 0,109375; 287,71153846153845; 0,07157
305; 0,109375; 0,109375; 287,96153846153845; 0,0716322
306; 0,109375; 0,109375; 284,4423076923077; 0,07075676
307; 0,109375; 0,109375; 287,9807692307692; 0,07163698
308; 0,109375; 0,109375; 287,40384615384613; 0,07149346
309; 0,109375; 0,109375; 286,15384615384613; 0,071182534
310; 0,109375; 0,109375; 285,0576923076923; 0,07090986
311; 0,109375; 0,109375; 287,75; 0,07157957
312; 0,109375; 0,109375; 287,40384615384613; 0,07149347
313; 0,109375; 0,109375; 287,7692307692308; 0,07158436
314; 0,109375; 0,109375; 288,53846153846155; 0,07177571
315; 0,109375; 0,109375; 288,13461538461536; 0,07167525
316; 0,109375; 0,109375; 285,3076923076923; 0,07097204
317; 0,109375; 0,109375; 288,09615384615387; 0,0716657
318; 0,109375; 0,109375; 287,78846153846155; 0,07158914
319; 0,109375; 0,109375; 287,9807692307692; 0,07163698
320; 0,109375; 0,109375; 287,7692307692308; 0,07158436
321; 0,109375; 0,109375; 287,03846153846155; 0,07140258
322; 0,109375; 0,109375; 286,09615384615387; 0,07116817
323; 0,109375; 0,109375; 287,61538461538464; 0,07154609
324; 0,109375; 0,109375; 286,5; 0,071268626
325; 0,109375; 0,109375; 288,2307692307692; 0,07169917
326; 0,109375; 0,109375; 288,0576923076923; 0,071656115
327; 0,109375; 0,109375; 288,15384615384613; 0,07168003
328; 0,109375; 0,109375; 283,53846153846155; 0,070531934
329; 0,109375; 0,109375; 288,2307692307692; 0,07169917
330; 0,109375; 0,109375; 288,11538461538464; 0,07167048
331; 0,109375; 0,109375; 284,5769230769231; 0,070790246
332; 0,109375; 0,109375; 287,7692307692308; 0,07158435
333; 0,109375; 0,109375; 286,9423076923077; 0,07137866
334; 0,109375; 0,109375; 287,65384615384613; 0,07155566
335; 0,109375; 0,109375; 285,5192307692308; 0,07102466
336; 0,109375; 0,109375; 287,90384615384613; 0,07161784
337; 0,109375; 0,109375; 287,90384615384613; 0,07161785
338; 0,109375; 0,109375; 287,9423076923077; 0,07162741
339; 0,109375; 0,109375; 285,78846153846155; 0,07109163
340; 0,109375; 0,109375; 283,78846153846155; 0,070594124
341; 0,109375; 0,109375; 288,21153846153845; 0,071694374
342; 0,109375; 0,109375; 286,0; 0,07114425
343; 0,109375; 0,109375; 287,78846153846155; 0,07158916
344; 0,109375; 0,109375; 287,9807692307692; 0,071636975
345; 0,109375; 0,109375; 287,1730769230769; 0,07143606
346; 0,109375; 0,109375; 287,8269230769231; 0,07159871
347; 0,109375; 0,109375; 287,36538461538464; 0,0714839
348; 0,109375; 0,109375; 285,8076923076923; 0,07109642
349; 0,109375; 0,109375; 285,86538461538464; 0,07111077
350; 0,109375; 0,109375; 288,15384615384613; 0,07168005
351; 0,109375; 0,109375; 288,0192307692308; 0,07164654
352; 0,109375; 0,109375; 284,84615384615387; 0,07085722
353; 0,109375; 0,109375; 288,59615384615387; 0,071790054
354; 0,109375; 0,109375; 285,61538461538464; 0,071048565
355; 0,109375; 0,109375; 288,03846153846155; 0,07165133
356; 0,109375; 0,109375; 288,2307692307692; 0,07169916
357; 0,109375; 0,109375; 284,78846153846155; 0,070842884
358; 0,109375; 0,109375; 288,59615384615387; 0,071790054
359; 0,109375; 0,09375; 288,03846153846155; 0,07165133
360; 0,09375; 0,078125; 287,65384615384613; 0,07155567
361; 0,078125; 0,078125; 291,8076923076923; 0,07258899
362; 0,078125; 0,078125; 296,84615384615387; 0,07384232
363; 0,078125; 0,078125; 292,11538461538464; 0,072665505
364; 0,078125; 0,078125; 289,88461538461536; 0,0721106
365; 0,078125; 0,078125; 287,5769230769231; 0,071536556
366; 0,078125; 0,078125; 288,09615384615387; 0,07166572
367; 0,078125; 0,078125; 287,7692307692308; 0,071584396
368; 0,078125; 0,078125; 285,4807692307692; 0,07101511
369; 0,078125; 0,078125; 282,61538461538464; 0,07030234
370; 0,078125; 0,078125; 284,5192307692308; 0,07077593
371; 0,078125; 0,078125; 284,03846153846155; 0,07065634
372; 0,078125; 0,078125; 281,7307692307692; 0,07008229
373; 0,078125; 0,078125; 285,11538461538464; 0,07092424
374; 0,078125; 0,078125; 283,03846153846155; 0,070407584
375; 0,078125; 0,078125; 279,8269230769231; 0,06960869
376; 0,078125; 0,078125; 285,25; 0,070957705
377; 0,078125; 0,078125; 285,6730769230769; 0,07106296
378; 0,078125; 0,078125; 285,25; 0,07095771
379; 0,078125; 0,078125; 283,6730769230769; 0,07056545
380; 0,078125; 0,078125; 283,53846153846155; 0,07053196
381; 0,078125; 0,078125; 284,34615384615387; 0,07073288
382; 0,078125; 0,078125; 285,03846153846155; 0,07090509
383; 0,078125; 0,078125; 284,5; 0,07077115
384; 0,078125; 0,078125; 285,6730769230769; 0,07106297
385; 0,078125; 0,078125; 281,86538461538464; 0,07011576
386; 0,078125; 0,078125; 285,59615384615387; 0,071043834
387; 0,078125; 0,078125; 284,40384615384613; 0,070747234
388; 0,078125; 0,078125; 285,13461538461536; 0,07092901
389; 0,078125; 0,078125; 283,86538461538464; 0,070613295
390; 0,078125; 0,078125; 280,75; 0,069838315
391; 0,078125; 0,078125; 281,88461538461536; 0,07012055
392; 0,078125; 0,078125; 283,6730769230769; 0,07056545
393; 0,078125; 0,078125; 284,5192307692308; 0,07077594
394; 0,078125; 0,078125; 284,8076923076923; 0,07084768
395; 0,078125; 0,078125; 287,13461538461536; 0,07142653
396; 0,078125; 0,078125; 283,9423076923077; 0,07063243
397; 0,078125; 0,078125; 282,46153846153845; 0,07026407
398; 0,078125; 0,078125; 285,40384615384613; 0,07099598
399; 0,078125; 0,078125; 285,4807692307692; 0,07101513
400; 0,078125; 0,078125; 284,15384615384613; 0,070685044
401; 0,078125; 0,078125; 284,63461538461536; 0,07080464
402; 0,078125; 0,078125; 285,53846153846155; 0,07102947
403; 0,078125; 0,078125; 285,0769230769231; 0,07091466
404; 0,078125; 0,078125; 285,11538461538464; 0,07092422
405; 0,078125; 0,078125; 286,0192307692308; 0,071149066
406; 0,078125; 0,078125; 284,21153846153845; 0,070699394
407; 0,078125; 0,078125; 282,61538461538464; 0,070302345
408; 0,078125; 0,078125; 284,71153846153845; 0,07082377
409; 0,078125; 0,078125; 282,78846153846155; 0,070345394
410; 0,078125; 0,078125; 284,38461538461536; 0,07074245
411; 0,078125; 0,078125; 284,8269230769231; 0,07085247
412; 0,078125; 0,078125; 284,88461538461536; 0,07086683
413; 0,078125; 0,078125; 286,5576923076923; 0,07128301
414; 0,078125; 0,078125; 282,4230769230769; 0,0702545
415; 0,078125; 0,078125; 285,11538461538464; 0,07092424
416; 0,078125; 0,078125; 283,40384615384613; 0,070498474
417; 0,078125; 0,078125; 284,7692307692308; 0,07083813
418; 0,078125; 0,078125; 283,3269230769231; 0,07047934
419; 0,078125; 0,078125; 285,28846153846155; 0,07096728
420; 0,078125; 0,078125; 284,6923076923077; 0,07081899
421; 0,078125; 0,078125; 283,36538461538464; 0,0704889
422; 0,078125; 0,078125; 285,15384615384613; 0,07093379
423; 0,078125; 0,078125; 283,63461538461536; 0,07055587
424; 0,078125; 0,078125; 284,6923076923077; 0,07081899
425; 0,078125; 0,078125; 282,7692307692308; 0,07034061
426; 0,078125; 0,078125; 279,63461538461536; 0,06956087
427; 0,078125; 0,078125; 283,34615384615387; 0,07048411
428; 0,078125; 0,078125; 285,40384615384613; 0,07099599
429; 0,078125; 0,078125; 285,0; 0,07089552
430; 0,078125; 0,078125; 285,65384615384613; 0,07105817
431; 0,078125; 0,078125; 282,84615384615387; 0,07035975
432; 0,078125; 0,078125; 284,38461538461536; 0,07074244
433; 0,078125; 0,078125; 284,65384615384613; 0,07080942
434; 0,078125; 0,078125; 286,03846153846155; 0,07115385
435; 0,078125; 0,078125; 285,59615384615387; 0,07104382
436; 0,078125; 0,078125; 283,6730769230769; 0,070565455
437; 0,078125; 0,078125; 284,88461538461536; 0,07086682
438; 0,078125; 0,078125; 285,0192307692308; 0,07090031
439; 0,078125; 0,078125; 284,59615384615387; 0,070795074
440; 0,078125; 0,078125; 281,9230769230769; 0,070130125
441; 0,078125; 0,078125; 285,5769230769231; 0,07103903
442; 0,078125; 0,078125; 281,9423076923077; 0,07013491
443; 0,078125; 0,078125; 285,2692307692308; 0,0709625
444; 0,078125; 0,078125; 284,6923076923077; 0,07081898
445; 0,078125; 0,078125; 285,11538461538464; 0,07092424
446; 0,078125; 0,078125; 285,3076923076923; 0,070972055
447; 0,078125; 0,078125; 284,8269230769231; 0,07085247
448; 0,078125; 0,078125; 285,0192307692308; 0,0709003
449; 0,078125; 0,078125; 284,38461538461536; 0,07074244
450; 0,078125; 0,078125; 284,96153846153845; 0,070885964
451; 0,078125; 0,078125; 285,0192307692308; 0,07090031
452; 0,078125; 0,078125; 284,7307692307692; 0,07082856
453; 0,078125; 0,078125; 282,71153846153845; 0,070326254
454; 0,078125; 0,078125; 283,75; 0,07058458
455; 0,078125; 0,078125; 284,9423076923077; 0,07088117
456; 0,078125; 0,078125; 284,84615384615387; 0,070857264
457; 0,078125; 0,078125; 285,3269230769231; 0,07097686
458; 0,078125; 0,078125; 282,4807692307692; 0,07026885
459; 0,078125; 0,078125; 283,88461538461536; 0,07061808
460; 0,078125; 0,078125; 283,0576923076923; 0,07041237
461; 0,078125; 0,078125; 283,6923076923077; 0,07057024
462; 0,078125; 0,078125; 284,9230769230769; 0,07087639
463; 0,078125; 0,078125; 285,3269230769231; 0,070976846
464; 0,078125; 0,078125; 285,11538461538464; 0,07092423
465; 0,078125; 0,078125; 285,3076923076923; 0,07097207
