Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,4375; 0,421875; 215,55769230769232; 0,05362132
2; 0,421875; 0,40625; 233,1153846153846; 0,057988916
3; 0,40625; 0,390625; 232,80769230769232; 0,057912383
4; 0,390625; 0,390625; 232,55769230769232; 0,057850186
5; 0,390625; 0,390625; 233,3653846153846; 0,05805109
6; 0,390625; 0,390625; 232,42307692307693; 0,057816703
7; 0,390625; 0,375; 232,82692307692307; 0,057917163
8; 0,375; 0,359375; 241,6153846153846; 0,06010333
9; 0,359375; 0,34375; 238,90384615384616; 0,059428807
10; 0,34375; 0,34375; 246,57692307692307; 0,061337553
11; 0,34375; 0,328125; 254,82692307692307; 0,0633898
12; 0,328125; 0,328125; 253,25; 0,06299751
13; 0,328125; 0,3125; 254,5; 0,06330845
14; 0,3125; 0,3125; 254,07692307692307; 0,06320323
15; 0,3125; 0,3125; 254,19230769230768; 0,063231945
16; 0,3125; 0,3125; 254,23076923076923; 0,0632415
17; 0,3125; 0,3125; 254,5; 0,063308485
18; 0,3125; 0,3125; 254,57692307692307; 0,06332762
19; 0,3125; 0,3125; 253,8846153846154; 0,063155405
20; 0,3125; 0,3125; 254,96153846153845; 0,06342329
21; 0,3125; 0,3125; 253,1153846153846; 0,06296405
22; 0,3125; 0,3125; 255,09615384615384; 0,06345678
23; 0,3125; 0,296875; 254,8846153846154; 0,06340416
24; 0,296875; 0,296875; 255,73076923076923; 0,06361462
25; 0,296875; 0,28125; 255,96153846153845; 0,06367203
26; 0,28125; 0,28125; 250,78846153846155; 0,062385187
27; 0,28125; 0,28125; 252,92307692307693; 0,062916175
28; 0,28125; 0,28125; 252,05769230769232; 0,06270092
29; 0,28125; 0,265625; 252,01923076923077; 0,06269135
30; 0,265625; 0,265625; 251,26923076923077; 0,06250478
31; 0,265625; 0,265625; 250,71153846153845; 0,06236606
32; 0,265625; 0,265625; 250,03846153846155; 0,06219864
33; 0,265625; 0,265625; 248,1346153846154; 0,061725024
34; 0,265625; 0,25; 256,3269230769231; 0,06376291
35; 0,25; 0,25; 264,46153846153845; 0,06578645
36; 0,25; 0,25; 264,7692307692308; 0,06586298
37; 0,25; 0,25; 264,3076923076923; 0,06574817
38; 0,25; 0,25; 264,36538461538464; 0,06576253
39; 0,25; 0,25; 263,5576923076923; 0,06556161
40; 0,25; 0,25; 263,9230769230769; 0,0656525
41; 0,25; 0,234375; 264,59615384615387; 0,065819934
42; 0,234375; 0,234375; 264,9230769230769; 0,065901265
43; 0,234375; 0,234375; 264,0576923076923; 0,06568598
44; 0,234375; 0,234375; 264,1730769230769; 0,06571469
45; 0,234375; 0,234375; 264,1923076923077; 0,06571947
46; 0,234375; 0,234375; 265,1730769230769; 0,06596345
47; 0,234375; 0,234375; 264,96153846153845; 0,06591082
48; 0,234375; 0,234375; 264,28846153846155; 0,065743394
49; 0,234375; 0,234375; 264,90384615384613; 0,06589648
50; 0,234375; 0,234375; 264,5; 0,06579602
51; 0,234375; 0,21875; 264,61538461538464; 0,06582472
52; 0,21875; 0,21875; 265,0192307692308; 0,06592517
53; 0,203125; 0,203125; 264,1730769230769; 0,0657147
54; 0,1875; 0,1875; 264,21153846153845; 0,06572426
55; 0,1875; 0,1875; 264,6730769230769; 0,06583908
56; 0,1875; 0,1875; 266,28846153846155; 0,06624094
57; 0,1875; 0,1875; 266,5192307692308; 0,06629833
58; 0,1875; 0,1875; 266,84615384615387; 0,066379644
59; 0,1875; 0,1875; 264,59615384615387; 0,06581994
60; 0,1875; 0,1875; 266,9807692307692; 0,066413134
61; 0,1875; 0,1875; 265,90384615384613; 0,06614525
62; 0,1875; 0,1875; 265,5576923076923; 0,06605914
63; 0,1875; 0,1875; 268,21153846153845; 0,066719316
64; 0,1875; 0,1875; 269,15384615384613; 0,06695371
65; 0,1875; 0,1875; 269,0576923076923; 0,066929795
66; 0,1875; 0,1875; 269,4807692307692; 0,067035034
67; 0,1875; 0,1875; 269,88461538461536; 0,06713547
68; 0,1875; 0,1875; 269,5576923076923; 0,06705416
69; 0,1875; 0,1875; 269,7307692307692; 0,0670972
70; 0,1875; 0,1875; 271,21153846153845; 0,06746556
71; 0,1875; 0,1875; 270,6730769230769; 0,06733161
72; 0,1875; 0,1875; 269,7307692307692; 0,06709722
73; 0,1875; 0,1875; 268,6923076923077; 0,066838875
74; 0,1875; 0,1875; 268,9807692307692; 0,066910625
75; 0,1875; 0,1875; 269,21153846153845; 0,06696805
76; 0,1875; 0,1875; 269,9230769230769; 0,06714504
77; 0,1875; 0,1875; 268,9230769230769; 0,0668963
78; 0,1875; 0,1875; 269,36538461538464; 0,06700632
79; 0,1875; 0,1875; 270,0; 0,06716419
80; 0,1875; 0,1875; 270,6730769230769; 0,06733161
81; 0,1875; 0,171875; 270,2307692307692; 0,06722159
82; 0,171875; 0,171875; 269,59615384615387; 0,067063734
83; 0,171875; 0,171875; 270,36538461538464; 0,06725509
84; 0,171875; 0,171875; 266,5769230769231; 0,066312656
85; 0,171875; 0,171875; 265,15384615384613; 0,06595867
86; 0,171875; 0,171875; 263,9230769230769; 0,065652505
87; 0,171875; 0,171875; 266,53846153846155; 0,066303104
88; 0,171875; 0,171875; 264,84615384615387; 0,06588212
89; 0,171875; 0,171875; 266,2692307692308; 0,06623612
90; 0,171875; 0,171875; 265,11538461538464; 0,0659491
91; 0,171875; 0,171875; 264,1730769230769; 0,065714695
92; 0,171875; 0,171875; 266,15384615384613; 0,066207424
93; 0,171875; 0,171875; 265,11538461538464; 0,0659491
94; 0,171875; 0,171875; 264,9807692307692; 0,0659156
95; 0,171875; 0,171875; 265,46153846153845; 0,06603521
96; 0,171875; 0,15625; 266,78846153846155; 0,06636529
97; 0,15625; 0,140625; 254,01923076923077; 0,06318886
98; 0,140625; 0,140625; 249,94230769230768; 0,062174704
99; 0,140625; 0,140625; 249,3653846153846; 0,06203117
100; 0,140625; 0,140625; 249,42307692307693; 0,062045548
101; 0,140625; 0,140625; 250,09615384615384; 0,06221296
102; 0,140625; 0,140625; 249,82692307692307; 0,062145974
103; 0,140625; 0,140625; 249,23076923076923; 0,06199769
104; 0,140625; 0,140625; 250,8653846153846; 0,062404327
105; 0,140625; 0,125; 249,5; 0,062064674
106; 0,125; 0,125; 249,71153846153845; 0,0621173
107; 0,125; 0,125; 249,76923076923077; 0,06213165
108; 0,125; 0,125; 250,59615384615384; 0,062337358
109; 0,125; 0,125; 251,09615384615384; 0,062461738
