Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,453125; 0,4375; 194,1346153846154; 0,048292194
2; 0,4375; 0,4375; 247,51923076923077; 0,061571933
3; 0,4375; 0,4375; 247,0; 0,06144276
4; 0,4375; 0,421875; 201,40384615384616; 0,050100453
5; 0,421875; 0,421875; 156,30769230769232; 0,038882498
6; 0,421875; 0,40625; 156,17307692307693; 0,038849022
7; 0,390625; 0,390625; 155,09615384615384; 0,038581133
8; 0,390625; 0,375; 154,28846153846155; 0,038380213
9; 0,375; 0,375; 153,6153846153846; 0,03821278
10; 0,375; 0,375; 155,5; 0,038681585
11; 0,375; 0,359375; 161,32692307692307; 0,040131073
12; 0,359375; 0,359375; 159,92307692307693; 0,03978185
13; 0,359375; 0,359375; 159,84615384615384; 0,039762717
14; 0,359375; 0,359375; 160,82692307692307; 0,040006693
15; 0,359375; 0,359375; 162,53846153846155; 0,040432457
16; 0,359375; 0,359375; 161,3846153846154; 0,040145434
17; 0,359375; 0,359375; 162,23076923076923; 0,04035592
18; 0,359375; 0,359375; 161,44230769230768; 0,04015978
19; 0,359375; 0,359375; 161,8653846153846; 0,040265027
20; 0,359375; 0,359375; 161,19230769230768; 0,040097594
21; 0,359375; 0,34375; 161,32692307692307; 0,040131085
22; 0,34375; 0,34375; 162,07692307692307; 0,04031765
23; 0,34375; 0,34375; 166,03846153846155; 0,0413031
24; 0,34375; 0,34375; 162,46153846153845; 0,04041332
25; 0,34375; 0,34375; 162,78846153846155; 0,04049464
26; 0,34375; 0,34375; 162,3653846153846; 0,040389396
27; 0,34375; 0,34375; 163,21153846153845; 0,040599886
28; 0,34375; 0,34375; 164,15384615384616; 0,040834293
29; 0,34375; 0,328125; 163,5; 0,040671643
30; 0,328125; 0,328125; 162,76923076923077; 0,040489856
31; 0,328125; 0,328125; 163,25; 0,040609453
32; 0,328125; 0,3125; 162,96153846153845; 0,040537708
33; 0,3125; 0,3125; 162,94230769230768; 0,04053291
34; 0,3125; 0,3125; 165,34615384615384; 0,041130893
35; 0,3125; 0,3125; 162,96153846153845; 0,040537696
36; 0,3125; 0,3125; 161,71153846153845; 0,040226743
37; 0,3125; 0,3125; 162,19230769230768; 0,040346343
38; 0,3125; 0,28125; 162,46153846153845; 0,040413313
39; 0,28125; 0,28125; 179,65384615384616; 0,044690005
40; 0,28125; 0,265625; 196,21153846153845; 0,04880883
41; 0,265625; 0,265625; 197,26923076923077; 0,04907194
42; 0,265625; 0,265625; 197,6346153846154; 0,04916283
43; 0,265625; 0,265625; 197,3846153846154; 0,049100645
44; 0,265625; 0,265625; 198,21153846153845; 0,04930634
45; 0,265625; 0,265625; 198,5; 0,049378097
46; 0,265625; 0,25; 198,03846153846155; 0,04926329
47; 0,25; 0,234375; 197,3846153846154; 0,049100645
48; 0,234375; 0,234375; 197,32692307692307; 0,049086288
49; 0,234375; 0,234375; 198,15384615384616; 0,04929199
50; 0,234375; 0,234375; 196,78846153846155; 0,048952356
51; 0,234375; 0,234375; 187,34615384615384; 0,046603523
52; 0,234375; 0,234375; 183,19230769230768; 0,04557023
53; 0,234375; 0,234375; 181,71153846153845; 0,04520188
54; 0,234375; 0,234375; 180,57692307692307; 0,044919632
55; 0,234375; 0,234375; 182,07692307692307; 0,04529277
56; 0,234375; 0,234375; 181,48076923076923; 0,045144465
57; 0,234375; 0,234375; 181,78846153846155; 0,04522101
58; 0,234375; 0,234375; 182,34615384615384; 0,045359746
59; 0,234375; 0,234375; 182,32692307692307; 0,045354955
60; 0,234375; 0,234375; 181,46153846153845; 0,045139678
61; 0,234375; 0,234375; 181,34615384615384; 0,045110982
62; 0,234375; 0,234375; 180,55769230769232; 0,044914845
63; 0,234375; 0,234375; 182,21153846153845; 0,04532625
64; 0,234375; 0,234375; 181,65384615384616; 0,045187525
65; 0,234375; 0,234375; 181,0; 0,045024868
66; 0,234375; 0,234375; 181,6153846153846; 0,045177955
67; 0,234375; 0,234375; 180,75; 0,044962686
68; 0,234375; 0,234375; 182,6153846153846; 0,04542671
69; 0,234375; 0,234375; 181,21153846153845; 0,0450775
70; 0,234375; 0,21875; 181,26923076923077; 0,04509185
71; 0,21875; 0,203125; 181,80769230769232; 0,04522579
72; 0,203125; 0,203125; 183,21153846153845; 0,045575008
73; 0,203125; 0,203125; 183,26923076923077; 0,04558936
74; 0,203125; 0,203125; 182,44230769230768; 0,045383655
75; 0,203125; 0,203125; 182,59615384615384; 0,045421924
76; 0,203125; 0,203125; 182,75; 0,045460198
77; 0,203125; 0,203125; 183,05769230769232; 0,045536738
78; 0,203125; 0,203125; 183,05769230769232; 0,04553674
79; 0,203125; 0,203125; 183,96153846153845; 0,045761567
80; 0,203125; 0,203125; 185,21153846153845; 0,046072517
