Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,421875; 0,4375; 133,93478260869566; 0,088115
2; 0,4375; 0,421875; 130,08695652173913; 0,08558352
3; 0,421875; 0,40625; 125,6086956521739; 0,0826373
4; 0,40625; 0,40625; 129,95652173913044; 0,085497715
5; 0,40625; 0,375; 130,5; 0,08585527
6; 0,359375; 0,34375; 130,58695652173913; 0,08591246
7; 0,34375; 0,328125; 131,47826086956522; 0,08649885
8; 0,3125; 0,3125; 136,6304347826087; 0,08988844
9; 0,3125; 0,296875; 147,7391304347826; 0,09719682
10; 0,296875; 0,265625; 146,6086956521739; 0,09645309
11; 0,265625; 0,265625; 146,54347826086956; 0,09641019
12; 0,265625; 0,25; 146,54347826086956; 0,09641017
13; 0,25; 0,25; 145,65217391304347; 0,095823795
14; 0,25; 0,25; 143,56521739130434; 0,09445082
15; 0,25; 0,25; 142,8695652173913; 0,09399316
16; 0,25; 0,25; 142,3913043478261; 0,0936785
17; 0,25; 0,234375; 143,58695652173913; 0,09446512
18; 0,234375; 0,234375; 144,45652173913044; 0,095037214
19; 0,234375; 0,234375; 145,52173913043478; 0,09573798
20; 0,234375; 0,234375; 145,1086956521739; 0,09546624
21; 0,234375; 0,234375; 146,02173913043478; 0,096066944
22; 0,234375; 0,21875; 145,7391304347826; 0,09588101
23; 0,21875; 0,203125; 146,52173913043478; 0,09639587
24; 0,203125; 0,203125; 153,69565217391303; 0,10111555
25; 0,203125; 0,203125; 151,6304347826087; 0,09975686
26; 0,203125; 0,203125; 153,0; 0,100657895
27; 0,203125; 0,203125; 154,32608695652175; 0,101530306
28; 0,203125; 0,203125; 154,2826086956522; 0,101501696
29; 0,203125; 0,203125; 154,3695652173913; 0,10155892
30; 0,203125; 0,203125; 152,7826086956522; 0,10051487
31; 0,203125; 0,203125; 153,56521739130434; 0,10102973
32; 0,203125; 0,203125; 153,47826086956522; 0,100972526
33; 0,203125; 0,203125; 151,7608695652174; 0,09984266
34; 0,203125; 0,203125; 151,7826086956522; 0,09985698
35; 0,203125; 0,203125; 151,7826086956522; 0,09985696
36; 0,203125; 0,203125; 154,2173913043478; 0,101458795
37; 0,203125; 0,203125; 153,2391304347826; 0,1008152
38; 0,203125; 0,203125; 152,80434782608697; 0,100529164
39; 0,203125; 0,203125; 153,30434782608697; 0,100858115
40; 0,203125; 0,203125; 153,97826086956522; 0,10130146
41; 0,203125; 0,203125; 151,95652173913044; 0,09997139
42; 0,203125; 0,203125; 154,15217391304347; 0,10141588
43; 0,203125; 0,203125; 152,3695652173913; 0,10024312
44; 0,203125; 0,203125; 152,17391304347825; 0,100114405
45; 0,203125; 0,203125; 153,3695652173913; 0,10090102
46; 0,203125; 0,203125; 151,7826086956522; 0,09985698
47; 0,203125; 0,203125; 152,58695652173913; 0,10038615
48; 0,203125; 0,203125; 152,93478260869566; 0,10061498
49; 0,203125; 0,203125; 154,93478260869566; 0,101930775
50; 0,203125; 0,203125; 153,1304347826087; 0,100743696
51; 0,203125; 0,203125; 152,6086956521739; 0,10040045
52; 0,203125; 0,203125; 154,04347826086956; 0,10134441
53; 0,203125; 0,203125; 152,91304347826087; 0,10060067
54; 0,203125; 0,203125; 153,67391304347825; 0,10110126
55; 0,203125; 0,1875; 151,7173913043478; 0,09981404
56; 0,1875; 0,1875; 155,2608695652174; 0,10214532
57; 0,1875; 0,1875; 151,93478260869566; 0,0999571
58; 0,1875; 0,1875; 152,56521739130434; 0,100371845
59; 0,1875; 0,1875; 154,2608695652174; 0,10148742
60; 0,1875; 0,1875; 153,3913043478261; 0,10091535
61; 0,1875; 0,1875; 153,17391304347825; 0,10077233
62; 0,1875; 0,1875; 153,02173913043478; 0,1006722
63; 0,1875; 0,1875; 152,7173913043478; 0,10047198
64; 0,1875; 0,1875; 153,2826086956522; 0,10084383
65; 0,1875; 0,1875; 154,30434782608697; 0,10151603
66; 0,1875; 0,1875; 153,06521739130434; 0,1007008
67; 0,1875; 0,1875; 152,6086956521739; 0,10040047
68; 0,1875; 0,1875; 152,3913043478261; 0,10025745
69; 0,1875; 0,1875; 152,82608695652175; 0,1005435
70; 0,1875; 0,1875; 153,7173913043478; 0,101129875
71; 0,1875; 0,1875; 153,3913043478261; 0,10091535
72; 0,1875; 0,1875; 152,95652173913044; 0,10062932
73; 0,1875; 0,1875; 153,45652173913044; 0,10095825
74; 0,1875; 0,1875; 154,02173913043478; 0,1013301
75; 0,1875; 0,1875; 153,17391304347825; 0,10077231
76; 0,1875; 0,1875; 153,47826086956522; 0,100972556
77; 0,1875; 0,1875; 153,15217391304347; 0,100758016
78; 0,1875; 0,1875; 153,2173913043478; 0,10080094
79; 0,1875; 0,1875; 153,67391304347825; 0,101101264
80; 0,1875; 0,1875; 152,43478260869566; 0,10028606
81; 0,1875; 0,1875; 153,7826086956522; 0,10117279
82; 0,1875; 0,1875; 154,43478260869566; 0,10160184
83; 0,1875; 0,1875; 153,2391304347826; 0,10081524
84; 0,1875; 0,1875; 154,06521739130434; 0,101358704
85; 0,1875; 0,1875; 153,15217391304347; 0,10075802
86; 0,1875; 0,1875; 153,17391304347825; 0,10077232
87; 0,1875; 0,1875; 152,54347826086956; 0,100357555
88; 0,1875; 0,1875; 153,43478260869566; 0,100943945
89; 0,1875; 0,1875; 154,17391304347825; 0,1014302
90; 0,1875; 0,1875; 153,67391304347825; 0,10110126
91; 0,1875; 0,1875; 153,17391304347825; 0,10077232
92; 0,1875; 0,1875; 153,7391304347826; 0,10114416
93; 0,1875; 0,1875; 151,95652173913044; 0,099971406
94; 0,1875; 0,1875; 152,69565217391303; 0,10045766
95; 0,1875; 0,1875; 152,3913043478261; 0,10025744
96; 0,1875; 0,1875; 153,1086956521739; 0,10072942
97; 0,1875; 0,1875; 153,2391304347826; 0,10081522
98; 0,1875; 0,1875; 153,80434782608697; 0,10118709
99; 0,1875; 0,1875; 152,93478260869566; 0,100615
100; 0,1875; 0,1875; 152,7391304347826; 0,10048628
101; 0,1875; 0,1875; 153,2173913043478; 0,10080093
102; 0,1875; 0,1875; 152,93478260869566; 0,100615
103; 0,1875; 0,1875; 153,06521739130434; 0,10070081
104; 0,1875; 0,1875; 153,45652173913044; 0,10095824
105; 0,1875; 0,1875; 152,82608695652175; 0,10054349
106; 0,1875; 0,1875; 153,41304347826087; 0,10092964
107; 0,1875; 0,1875; 152,65217391304347; 0,100429066
108; 0,1875; 0,1875; 152,56521739130434; 0,10037186
109; 0,1875; 0,1875; 153,67391304347825; 0,10110127
110; 0,1875; 0,171875; 153,0; 0,100657895
111; 0,171875; 0,171875; 154,93478260869566; 0,1019308
112; 0,171875; 0,171875; 155,95652173913044; 0,102602966
113; 0,171875; 0,171875; 155,47826086956522; 0,10228833
114; 0,171875; 0,171875; 154,93478260869566; 0,10193078
115; 0,171875; 0,171875; 155,3913043478261; 0,10223111
116; 0,171875; 0,171875; 155,32608695652175; 0,10218821
117; 0,171875; 0,171875; 154,3913043478261; 0,10157322
118; 0,171875; 0,171875; 155,5; 0,10230263
119; 0,171875; 0,171875; 155,02173913043478; 0,10198798
120; 0,171875; 0,171875; 155,06521739130434; 0,10201658
121; 0,171875; 0,171875; 155,67391304347825; 0,102417044
122; 0,171875; 0,15625; 156,2173913043478; 0,1027746
123; 0,15625; 0,15625; 157,7173913043478; 0,103761435
124; 0,15625; 0,15625; 160,19565217391303; 0,10539187
125; 0,15625; 0,15625; 159,45652173913044; 0,104905605
126; 0,15625; 0,15625; 160,2391304347826; 0,10542046
127; 0,15625; 0,15625; 160,0; 0,10526314
128; 0,15625; 0,15625; 160,0; 0,10526315
129; 0,15625; 0,15625; 159,84782608695653; 0,10516302
130; 0,15625; 0,15625; 160,3913043478261; 0,10552058
131; 0,15625; 0,15625; 159,95652173913044; 0,10523455
132; 0,15625; 0,15625; 159,47826086956522; 0,1049199
133; 0,15625; 0,15625; 160,2608695652174; 0,10543476
134; 0,15625; 0,15625; 159,95652173913044; 0,105234526
135; 0,15625; 0,15625; 159,97826086956522; 0,105248846
136; 0,15625; 0,15625; 160,19565217391303; 0,10539187
137; 0,15625; 0,15625; 160,97826086956522; 0,105906725
