Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,40625; 0,40625; 86,97826086956522; 0,05722254
2; 0,40625; 0,390625; 84,6304347826087; 0,055677917
3; 0,390625; 0,375; 87,0; 0,057236843
4; 0,375; 0,359375; 86,95652173913044; 0,057208236
5; 0,359375; 0,34375; 89,78260869565217; 0,059067503
6; 0,34375; 0,34375; 89,97826086956522; 0,059196234
7; 0,34375; 0,328125; 90,56521739130434; 0,05958239
8; 0,328125; 0,328125; 91,04347826086956; 0,059897024
9; 0,328125; 0,328125; 91,65217391304348; 0,060297485
10; 0,328125; 0,3125; 91,02173913043478; 0,05988271
11; 0,3125; 0,296875; 92,54347826086956; 0,06088387
12; 0,296875; 0,296875; 93,76086956521739; 0,06168481
13; 0,296875; 0,296875; 94,04347826086956; 0,061870717
14; 0,296875; 0,296875; 93,82608695652173; 0,061727706
15; 0,296875; 0,296875; 92,02173913043478; 0,060540613
16; 0,296875; 0,296875; 92,71739130434783; 0,06099829
17; 0,296875; 0,28125; 92,0; 0,060526315
18; 0,28125; 0,28125; 93,65217391304348; 0,06161327
19; 0,28125; 0,28125; 92,06521739130434; 0,06056923
20; 0,28125; 0,28125; 94,41304347826087; 0,06211384
21; 0,28125; 0,28125; 97,58695652173913; 0,06420194
22; 0,28125; 0,28125; 97,02173913043478; 0,06383009
23; 0,28125; 0,28125; 97,47826086956522; 0,06413044
24; 0,28125; 0,265625; 97,19565217391305; 0,0639445
25; 0,265625; 0,25; 97,19565217391305; 0,06394452
26; 0,25; 0,25; 96,95652173913044; 0,06378718
27; 0,25; 0,25; 96,1086956521739; 0,06322938
28; 0,25; 0,25; 95,97826086956522; 0,06314357
29; 0,25; 0,25; 96,1086956521739; 0,0632294
30; 0,25; 0,25; 97,21739130434783; 0,06395879
31; 0,25; 0,25; 96,15217391304348; 0,06325799
32; 0,25; 0,25; 95,41304347826087; 0,06277174
33; 0,25; 0,25; 97,19565217391305; 0,06394451
34; 0,25; 0,25; 95,0; 0,06250001
35; 0,25; 0,25; 94,26086956521739; 0,062013723
36; 0,25; 0,25; 94,06521739130434; 0,06188501
37; 0,25; 0,25; 96,91304347826087; 0,06375858
38; 0,25; 0,25; 95,17391304347827; 0,06261442
39; 0,25; 0,25; 94,58695652173913; 0,062228255
40; 0,25; 0,25; 95,3913043478261; 0,06275744
41; 0,25; 0,25; 95,17391304347827; 0,06261442
42; 0,25; 0,25; 96,43478260869566; 0,063443944
43; 0,25; 0,25; 95,06521739130434; 0,06254291
44; 0,25; 0,25; 95,08695652173913; 0,06255721
45; 0,25; 0,25; 96,1304347826087; 0,0632437
46; 0,25; 0,25; 94,97826086956522; 0,062485695
47; 0,25; 0,25; 95,80434782608695; 0,06302918
48; 0,25; 0,25; 94,58695652173913; 0,06222826
49; 0,25; 0,25; 94,84782608695652; 0,062399887
50; 0,25; 0,25; 97,1304347826087; 0,0639016
51; 0,25; 0,25; 96,17391304347827; 0,06327231
52; 0,25; 0,25; 95,73913043478261; 0,06298628
53; 0,25; 0,25; 95,8695652173913; 0,063072085
54; 0,25; 0,25; 95,1304347826087; 0,062585816
55; 0,25; 0,25; 95,91304347826087; 0,06310069
56; 0,25; 0,25; 95,30434782608695; 0,06270023
57; 0,25; 0,25; 94,91304347826087; 0,06244279
58; 0,25; 0,25; 96,1304347826087; 0,06324371
59; 0,25; 0,25; 95,58695652173913; 0,062886156
60; 0,25; 0,25; 95,17391304347827; 0,06261442
61; 0,25; 0,25; 96,30434782608695; 0,06335813
62; 0,25; 0,25; 96,56521739130434; 0,063529745
63; 0,25; 0,25; 95,30434782608695; 0,06270023
64; 0,25; 0,25; 95,08695652173913; 0,06255721
65; 0,25; 0,25; 94,71739130434783; 0,06231407
66; 0,25; 0,25; 94,3913043478261; 0,062099546
67; 0,25; 0,25; 95,1304347826087; 0,06258581
68; 0,25; 0,25; 95,08695652173913; 0,062557206
69; 0,25; 0,25; 94,28260869565217; 0,062028028
70; 0,25; 0,25; 97,0; 0,06381579
71; 0,25; 0,25; 96,71739130434783; 0,063629866
72; 0,25; 0,25; 94,78260869565217; 0,062356986
73; 0,25; 0,25; 96,28260869565217; 0,06334382
74; 0,25; 0,25; 95,1304347826087; 0,06258581
75; 0,25; 0,25; 94,6086956521739; 0,062242564
76; 0,25; 0,25; 96,28260869565217; 0,06334382
77; 0,25; 0,25; 94,84782608695652; 0,06239989
78; 0,25; 0,25; 94,43478260869566; 0,06212815
79; 0,25; 0,25; 96,5; 0,06348684
80; 0,25; 0,25; 95,93478260869566; 0,06311498
81; 0,25; 0,25; 95,6086956521739; 0,062900454
82; 0,25; 0,25; 96,04347826086956; 0,063186504
83; 0,25; 0,25; 95,15217391304348; 0,06260011
84; 0,25; 0,25; 95,91304347826087; 0,06310068
85; 0,25; 0,25; 95,45652173913044; 0,06280035
86; 0,25; 0,25; 95,08695652173913; 0,06255721
87; 0,25; 0,25; 95,34782608695652; 0,06272883
88; 0,25; 0,234375; 95,8695652173913; 0,06307208
89; 0,234375; 0,234375; 103,08695652173913; 0,06782036
90; 0,234375; 0,234375; 113,19565217391305; 0,07447083
91; 0,234375; 0,234375; 117,6086956521739; 0,07737414
92; 0,234375; 0,234375; 117,02173913043478; 0,076987974
93; 0,234375; 0,234375; 117,84782608695652; 0,077531464
94; 0,234375; 0,234375; 117,08695652173913; 0,07703089
95; 0,234375; 0,234375; 116,91304347826087; 0,07691648
96; 0,234375; 0,234375; 116,52173913043478; 0,07665904
97; 0,234375; 0,234375; 117,54347826086956; 0,07733123
98; 0,234375; 0,234375; 116,52173913043478; 0,07665904
99; 0,234375; 0,234375; 116,6304347826087; 0,07673056
100; 0,234375; 0,234375; 116,34782608695652; 0,076544635
101; 0,234375; 0,234375; 117,52173913043478; 0,07731694
102; 0,234375; 0,234375; 117,30434782608695; 0,077173926
103; 0,234375; 0,234375; 116,28260869565217; 0,07650173
104; 0,234375; 0,234375; 116,80434782608695; 0,076844975
105; 0,234375; 0,234375; 116,3695652173913; 0,07655893
106; 0,234375; 0,234375; 115,80434782608695; 0,076187074
107; 0,234375; 0,234375; 117,02173913043478; 0,07698799
108; 0,234375; 0,234375; 116,1304347826087; 0,076401606
109; 0,234375; 0,234375; 115,52173913043478; 0,076001145
110; 0,234375; 0,234375; 116,30434782608695; 0,076516025
111; 0,234375; 0,234375; 116,23913043478261; 0,07647312
112; 0,234375; 0,234375; 116,6086956521739; 0,07671626
113; 0,234375; 0,234375; 116,8695652173913; 0,07688788
114; 0,234375; 0,234375; 115,41304347826087; 0,075929634
115; 0,234375; 0,234375; 116,65217391304348; 0,076744854
116; 0,234375; 0,234375; 116,91304347826087; 0,07691648
117; 0,234375; 0,21875; 116,67391304347827; 0,07675917
118; 0,21875; 0,21875; 116,82608695652173; 0,07685928
119; 0,21875; 0,21875; 118,30434782608695; 0,077831805
120; 0,21875; 0,21875; 119,76086956521739; 0,078790046
121; 0,21875; 0,21875; 116,6086956521739; 0,07671625
122; 0,21875; 0,21875; 116,1086956521739; 0,07638731
123; 0,21875; 0,21875; 116,32608695652173; 0,07653032
124; 0,21875; 0,21875; 116,43478260869566; 0,07660184
125; 0,21875; 0,21875; 116,78260869565217; 0,07683067
126; 0,21875; 0,21875; 117,1086956521739; 0,07704521
127; 0,21875; 0,21875; 115,93478260869566; 0,07627288
128; 0,21875; 0,21875; 116,56521739130434; 0,07668764
129; 0,21875; 0,21875; 115,8695652173913; 0,07622998
130; 0,21875; 0,203125; 116,56521739130434; 0,07668766
131; 0,203125; 0,203125; 117,26086956521739; 0,07714532
132; 0,203125; 0,203125; 117,28260869565217; 0,077159606
133; 0,203125; 0,203125; 117,97826086956522; 0,077617265
134; 0,203125; 0,203125; 117,54347826086956; 0,07733122
135; 0,203125; 0,203125; 117,1304347826087; 0,077059485
136; 0,203125; 0,203125; 117,02173913043478; 0,076987974
137; 0,203125; 0,203125; 117,6304347826087; 0,07738843
138; 0,203125; 0,203125; 117,34782608695652; 0,077202514
139; 0,203125; 0,203125; 117,26086956521739; 0,0771453
140; 0,203125; 0,203125; 117,1086956521739; 0,07704518
141; 0,203125; 0,203125; 118,21739130434783; 0,077774584
142; 0,203125; 0,203125; 116,95652173913044; 0,076945074
143; 0,203125; 0,203125; 116,71739130434783; 0,07678775
144; 0,203125; 0,203125; 118,1086956521739; 0,07770308
145; 0,203125; 0,203125; 117,76086956521739; 0,077474244
146; 0,203125; 0,203125; 119,32608695652173; 0,07850399
147; 0,203125; 0,203125; 117,34782608695652; 0,07720251
148; 0,203125; 0,203125; 118,67391304347827; 0,07807494
149; 0,203125; 0,203125; 119,19565217391305; 0,078418195
150; 0,203125; 0,203125; 116,8913043478261; 0,076902166
151; 0,203125; 0,203125; 116,8913043478261; 0,07690216
152; 0,203125; 0,203125; 117,8913043478261; 0,07756007
153; 0,203125; 0,203125; 117,34782608695652; 0,07720251
154; 0,203125; 0,203125; 117,32608695652173; 0,077188194
155; 0,203125; 0,203125; 117,97826086956522; 0,077617265
156; 0,203125; 0,203125; 116,47826086956522; 0,07663043
157; 0,203125; 0,203125; 118,1304347826087; 0,07771738
158; 0,203125; 0,203125; 116,80434782608695; 0,07684495
159; 0,203125; 0,203125; 117,28260869565217; 0,077159606
160; 0,203125; 0,203125; 117,8913043478261; 0,07756005
161; 0,203125; 0,203125; 118,78260869565217; 0,07814644
162; 0,203125; 0,203125; 118,76086956521739; 0,078132145
163; 0,203125; 0,203125; 118,97826086956522; 0,07827515
164; 0,203125; 0,1875; 117,28260869565217; 0,0771596
165; 0,1875; 0,1875; 114,23913043478261; 0,07515733
166; 0,1875; 0,1875; 106,84782608695652; 0,070294626
167; 0,1875; 0,1875; 108,95652173913044; 0,071681924
168; 0,1875; 0,1875; 109,28260869565217; 0,071896456
169; 0,1875; 0,1875; 107,73913043478261; 0,07088102
170; 0,1875; 0,1875; 108,17391304347827; 0,07116705
171; 0,1875; 0,1875; 109,71739130434783; 0,07218249
172; 0,1875; 0,1875; 109,93478260869566; 0,07232552
173; 0,1875; 0,1875; 108,97826086956522; 0,07169623
174; 0,1875; 0,1875; 109,34782608695652; 0,07193936
175; 0,1875; 0,1875; 109,19565217391305; 0,07183924
176; 0,1875; 0,1875; 108,56521739130434; 0,07142449
177; 0,1875; 0,171875; 108,73913043478261; 0,07153892
178; 0,171875; 0,171875; 108,6304347826087; 0,07146741
179; 0,171875; 0,171875; 109,23913043478261; 0,07186786
180; 0,171875; 0,171875; 109,76086956521739; 0,0722111
181; 0,171875; 0,171875; 111,3913043478261; 0,07328376
182; 0,171875; 0,171875; 109,6086956521739; 0,072110996
183; 0,171875; 0,171875; 108,52173913043478; 0,0713959
184; 0,171875; 0,171875; 109,45652173913044; 0,07201088
185; 0,171875; 0,171875; 111,43478260869566; 0,07331237
186; 0,171875; 0,171875; 110,84782608695652; 0,07292621
187; 0,171875; 0,171875; 108,71739130434783; 0,07152461
188; 0,171875; 0,171875; 109,67391304347827; 0,0721539
189; 0,171875; 0,171875; 110,47826086956522; 0,072683066
190; 0,171875; 0,171875; 108,56521739130434; 0,0714245
191; 0,171875; 0,171875; 107,8913043478261; 0,07098114
192; 0,171875; 0,171875; 109,1304347826087; 0,07179635
193; 0,171875; 0,171875; 109,23913043478261; 0,07186786
194; 0,171875; 0,171875; 108,91304347826087; 0,07165333
195; 0,171875; 0,171875; 109,45652173913044; 0,07201088
196; 0,171875; 0,171875; 109,17391304347827; 0,07182495
197; 0,171875; 0,171875; 108,84782608695652; 0,07161042
198; 0,171875; 0,171875; 109,43478260869566; 0,07199658
199; 0,171875; 0,171875; 109,15217391304348; 0,07181065
200; 0,171875; 0,171875; 109,58695652173913; 0,07209668
201; 0,171875; 0,171875; 108,41304347826087; 0,071324386
202; 0,171875; 0,15625; 108,73913043478261; 0,07153892
203; 0,15625; 0,15625; 109,5; 0,07203948
204; 0,15625; 0,15625; 110,43478260869566; 0,07265447
205; 0,15625; 0,15625; 113,97826086956522; 0,07498568
206; 0,15625; 0,15625; 112,69565217391305; 0,07414187
207; 0,15625; 0,15625; 112,6086956521739; 0,07408466
208; 0,15625; 0,15625; 113,04347826086956; 0,0743707
209; 0,15625; 0,15625; 113,08695652173913; 0,07439929
210; 0,15625; 0,15625; 112,47826086956522; 0,07399886
211; 0,15625; 0,15625; 112,04347826086956; 0,07371283
212; 0,15625; 0,15625; 111,8695652173913; 0,0735984
213; 0,15625; 0,15625; 112,17391304347827; 0,073798634
214; 0,15625; 0,140625; 112,3913043478261; 0,07394164
215; 0,140625; 0,140625; 111,52173913043478; 0,07336958
216; 0,140625; 0,140625; 112,41304347826087; 0,07395594
217; 0,140625; 0,140625; 116,23913043478261; 0,07647311
218; 0,140625; 0,140625; 113,28260869565217; 0,07452802
219; 0,140625; 0,140625; 114,73913043478261; 0,075486265
220; 0,140625; 0,140625; 117,78260869565217; 0,07748856
221; 0,140625; 0,140625; 125,6304347826087; 0,08265161
222; 0,140625; 0,140625; 126,5; 0,083223686
223; 0,140625; 0,140625; 122,45652173913044; 0,0805635
224; 0,140625; 0,140625; 122,84782608695652; 0,08082095
225; 0,140625; 0,140625; 122,06521739130434; 0,08030606
226; 0,140625; 0,140625; 121,84782608695652; 0,08016304
227; 0,140625; 0,140625; 122,26086956521739; 0,080434784
228; 0,140625; 0,140625; 121,21739130434783; 0,07974828
229; 0,140625; 0,140625; 122,54347826086956; 0,080620706
230; 0,140625; 0,140625; 122,47826086956522; 0,080577806
231; 0,140625; 0,140625; 121,58695652173913; 0,079991415
232; 0,140625; 0,140625; 121,45652173913044; 0,07990561
233; 0,140625; 0,140625; 122,17391304347827; 0,08037758
234; 0,140625; 0,140625; 122,26086956521739; 0,08043478
235; 0,140625; 0,140625; 122,1304347826087; 0,080348976
236; 0,140625; 0,140625; 122,23913043478261; 0,08042047
237; 0,140625; 0,140625; 121,67391304347827; 0,08004863
238; 0,140625; 0,140625; 122,8695652173913; 0,080835246
239; 0,140625; 0,140625; 121,43478260869566; 0,0798913
240; 0,140625; 0,140625; 122,23913043478261; 0,08042047
241; 0,140625; 0,140625; 121,97826086956522; 0,080248855
242; 0,140625; 0,140625; 121,67391304347827; 0,08004862
243; 0,140625; 0,140625; 122,04347826086956; 0,080291755
244; 0,140625; 0,140625; 121,8913043478261; 0,08019165
245; 0,140625; 0,125; 121,02173913043478; 0,079619564
246; 0,125; 0,125; 122,28260869565217; 0,08044909
247; 0,125; 0,125; 123,52173913043478; 0,0812643
248; 0,125; 0,125; 121,1086956521739; 0,07967677
249; 0,125; 0,125; 122,91304347826087; 0,08086384
250; 0,125; 0,125; 121,8695652173913; 0,08017735
251; 0,125; 0,125; 121,80434782608695; 0,080134444
252; 0,125; 0,125; 121,52173913043478; 0,07994852
253; 0,125; 0,125; 123,30434782608695; 0,08112129
254; 0,125; 0,125; 122,17391304347827; 0,08037759
255; 0,125; 0,125; 121,58695652173913; 0,07999142
256; 0,125; 0,125; 122,8695652173913; 0,080835246
257; 0,125; 0,125; 121,82608695652173; 0,08014875
258; 0,125; 0,125; 121,28260869565217; 0,0797912
259; 0,125; 0,125; 122,30434782608695; 0,08046339
260; 0,125; 0,125; 121,6304347826087; 0,08002003
261; 0,125; 0,125; 121,54347826086956; 0,07996283
262; 0,125; 0,125; 121,47826086956522; 0,07991992
263; 0,125; 0,125; 122,06521739130434; 0,080306076
264; 0,125; 0,125; 122,58695652173913; 0,08064932
265; 0,125; 0,125; 120,91304347826087; 0,07954805
266; 0,125; 0,125; 121,41304347826087; 0,07987701
267; 0,125; 0,125; 121,82608695652173; 0,08014874
268; 0,125; 0,125; 121,08695652173913; 0,07966248
269; 0,125; 0,125; 122,08695652173913; 0,08032038
270; 0,125; 0,125; 121,17391304347827; 0,079719685
271; 0,125; 0,125; 121,82608695652173; 0,08014874
272; 0,125; 0,125; 121,06521739130434; 0,07964818
273; 0,125; 0,125; 120,97826086956522; 0,07959097
274; 0,125; 0,125; 121,97826086956522; 0,08024887
275; 0,125; 0,125; 121,58695652173913; 0,07999142
276; 0,125; 0,125; 123,1304347826087; 0,08100687
277; 0,125; 0,125; 121,93478260869566; 0,08022026
278; 0,125; 0,125; 121,8695652173913; 0,08017736
279; 0,125; 0,125; 121,17391304347827; 0,07971968
280; 0,125; 0,125; 121,28260869565217; 0,079791196
281; 0,125; 0,125; 121,08695652173913; 0,079662465
282; 0,125; 0,125; 121,06521739130434; 0,079648174
283; 0,125; 0,125; 120,32608695652173; 0,07916191
284; 0,125; 0,125; 121,3695652173913; 0,07984841
285; 0,125; 0,125; 121,3913043478261; 0,07986271
286; 0,125; 0,125; 122,52173913043478; 0,080606416
287; 0,125; 0,125; 122,08695652173913; 0,08032037
288; 0,125; 0,125; 121,21739130434783; 0,079748295
289; 0,125; 0,125; 122,67391304347827; 0,08070653
290; 0,125; 0,109375; 121,23913043478261; 0,079762585
291; 0,109375; 0,109375; 121,58695652173913; 0,07999142
292; 0,109375; 0,109375; 120,71739130434783; 0,07941934
293; 0,109375; 0,109375; 119,32608695652173; 0,078503996
294; 0,109375; 0,109375; 114,93478260869566; 0,07561498
295; 0,109375; 0,109375; 114,82608695652173; 0,07554348
296; 0,109375; 0,109375; 114,69565217391305; 0,07545766
297; 0,109375; 0,109375; 115,19565217391305; 0,07578661
298; 0,109375; 0,109375; 116,71739130434783; 0,07678776
299; 0,109375; 0,09375; 115,6086956521739; 0,07605834
300; 0,09375; 0,09375; 115,41304347826087; 0,07592963
301; 0,09375; 0,09375; 120,06521739130434; 0,07899027
