Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,421875; 0,40625; 232,64285714285714; 0,035681423
2; 0,40625; 0,40625; 211,4047619047619; 0,03242404
3; 0,40625; 0,40625; 207,5; 0,031825155
4; 0,40625; 0,40625; 209,21428571428572; 0,03208807
5; 0,40625; 0,390625; 211,11904761904762; 0,032380223
6; 0,390625; 0,390625; 209,97619047619048; 0,03220494
7; 0,390625; 0,390625; 213,6904761904762; 0,032774616
8; 0,390625; 0,390625; 215,07142857142858; 0,03298642
9; 0,390625; 0,390625; 214,04761904761904; 0,032829393
10; 0,390625; 0,390625; 214,04761904761904; 0,032829396
11; 0,390625; 0,390625; 213,88095238095238; 0,032803837
12; 0,390625; 0,390625; 214,07142857142858; 0,032833047
13; 0,390625; 0,359375; 213,42857142857142; 0,032734446
14; 0,359375; 0,359375; 212,8095238095238; 0,0326395
15; 0,359375; 0,359375; 213,57142857142858; 0,032756355
16; 0,359375; 0,359375; 214,52380952380952; 0,032902427
17; 0,359375; 0,359375; 213,04761904761904; 0,03267602
18; 0,359375; 0,359375; 213,11904761904762; 0,03268698
19; 0,359375; 0,34375; 215,23809523809524; 0,03301198
20; 0,34375; 0,34375; 213,1904761904762; 0,032697923
21; 0,34375; 0,34375; 213,33333333333334; 0,03271984
22; 0,34375; 0,34375; 215,1904761904762; 0,03300468
23; 0,34375; 0,34375; 211,85714285714286; 0,03249343
24; 0,34375; 0,34375; 210,57142857142858; 0,032296233
25; 0,34375; 0,34375; 213,4047619047619; 0,03273079
26; 0,34375; 0,34375; 213,04761904761904; 0,03267602
27; 0,34375; 0,34375; 213,0952380952381; 0,03268332
28; 0,34375; 0,34375; 212,45238095238096; 0,03258472
29; 0,34375; 0,34375; 212,4047619047619; 0,032577418
30; 0,34375; 0,34375; 213,95238095238096; 0,032814782
31; 0,34375; 0,34375; 213,33333333333334; 0,032719836
32; 0,34375; 0,34375; 212,42857142857142; 0,032581072
33; 0,34375; 0,34375; 211,6904761904762; 0,03246787
34; 0,34375; 0,34375; 212,35714285714286; 0,03257012
35; 0,34375; 0,34375; 212,61904761904762; 0,032610286
36; 0,34375; 0,34375; 212,04761904761904; 0,03252264
37; 0,34375; 0,34375; 213,23809523809524; 0,032705233
38; 0,34375; 0,34375; 211,11904761904762; 0,032380223
39; 0,34375; 0,328125; 213,28571428571428; 0,032712538
40; 0,328125; 0,328125; 229,52380952380952; 0,03520304
41; 0,328125; 0,328125; 251,0952380952381; 0,03851154
42; 0,328125; 0,3125; 251,78571428571428; 0,038617436
43; 0,3125; 0,3125; 252,54761904761904; 0,038734287
44; 0,3125; 0,3125; 253,54761904761904; 0,038887672
45; 0,3125; 0,3125; 253,5; 0,038880367
46; 0,3125; 0,3125; 252,73809523809524; 0,03876351
47; 0,3125; 0,296875; 254,35714285714286; 0,03901183
48; 0,296875; 0,296875; 254,35714285714286; 0,03901183
49; 0,296875; 0,296875; 253,26190476190476; 0,03884385
50; 0,296875; 0,296875; 254,5952380952381; 0,039048344
51; 0,296875; 0,296875; 253,04761904761904; 0,03881098
52; 0,296875; 0,296875; 253,16666666666666; 0,03882924
53; 0,296875; 0,296875; 254,47619047619048; 0,039030094
54; 0,296875; 0,28125; 254,16666666666666; 0,03898261
55; 0,28125; 0,28125; 254,92857142857142; 0,03909947
56; 0,28125; 0,28125; 254,0952380952381; 0,038971663
57; 0,28125; 0,28125; 251,71428571428572; 0,038606487
58; 0,28125; 0,28125; 249,4047619047619; 0,038252268
59; 0,28125; 0,28125; 249,57142857142858; 0,038277827
60; 0,28125; 0,28125; 248,4047619047619; 0,03809889
61; 0,28125; 0,28125; 248,92857142857142; 0,038179226
62; 0,28125; 0,28125; 249,61904761904762; 0,03828513
63; 0,28125; 0,28125; 248,71428571428572; 0,038146365
64; 0,28125; 0,28125; 249,92857142857142; 0,0383326
65; 0,28125; 0,28125; 249,45238095238096; 0,03825957
66; 0,28125; 0,28125; 249,57142857142858; 0,038277823
67; 0,28125; 0,28125; 252,1904761904762; 0,03867952
68; 0,28125; 0,28125; 249,57142857142858; 0,038277823
69; 0,28125; 0,28125; 249,47619047619048; 0,03826322
70; 0,28125; 0,28125; 249,73809523809524; 0,038303386
71; 0,28125; 0,28125; 248,85714285714286; 0,038168274
72; 0,28125; 0,28125; 250,11904761904762; 0,038361818
73; 0,28125; 0,28125; 249,92857142857142; 0,038332604
74; 0,28125; 0,28125; 250,45238095238096; 0,038412943
75; 0,28125; 0,28125; 251,85714285714286; 0,038628396
76; 0,28125; 0,28125; 249,95238095238096; 0,03833626
77; 0,28125; 0,28125; 248,57142857142858; 0,038124453
78; 0,28125; 0,28125; 249,5952380952381; 0,038281478
79; 0,28125; 0,28125; 249,73809523809524; 0,03830339
80; 0,28125; 0,28125; 250,6904761904762; 0,038449455
