Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,4375; 0,4375; 276,04761904761904; 0,04233859
2; 0,4375; 0,40625; 260,64285714285717; 0,039975893
3; 0,40625; 0,390625; 278,07142857142856; 0,042648986
4; 0,390625; 0,390625; 254,61904761904762; 0,03905199
5; 0,390625; 0,390625; 232,23809523809524; 0,035619345
6; 0,390625; 0,390625; 233,52380952380952; 0,03581653
7; 0,390625; 0,375; 229,6904761904762; 0,035228603
8; 0,375; 0,375; 230,85714285714286; 0,035407543
9; 0,375; 0,34375; 226,95238095238096; 0,034808654
10; 0,34375; 0,34375; 229,5; 0,035199393
11; 0,34375; 0,34375; 228,52380952380952; 0,03504967
12; 0,34375; 0,34375; 229,8095238095238; 0,03524686
13; 0,34375; 0,34375; 230,11904761904762; 0,03529433
14; 0,34375; 0,328125; 230,73809523809524; 0,035389278
15; 0,328125; 0,328125; 231,3095238095238; 0,035476916
16; 0,328125; 0,328125; 231,66666666666666; 0,035531692
17; 0,328125; 0,328125; 233,23809523809524; 0,035772715
18; 0,328125; 0,328125; 232,16666666666666; 0,03560838
19; 0,328125; 0,328125; 232,4047619047619; 0,035644896
20; 0,328125; 0,328125; 231,97619047619048; 0,035579164
21; 0,328125; 0,328125; 231,73809523809524; 0,035542645
22; 0,328125; 0,328125; 232,3095238095238; 0,035630293
23; 0,328125; 0,328125; 231,38095238095238; 0,03548787
24; 0,328125; 0,328125; 231,8095238095238; 0,0355536
25; 0,328125; 0,328125; 232,73809523809524; 0,035696022
26; 0,328125; 0,328125; 232,45238095238096; 0,0356522
27; 0,328125; 0,328125; 232,33333333333334; 0,03563394
28; 0,328125; 0,3125; 231,64285714285714; 0,035528038
29; 0,3125; 0,3125; 233,26190476190476; 0,03577637
30; 0,3125; 0,3125; 233,35714285714286; 0,03579098
31; 0,3125; 0,3125; 234,95238095238096; 0,03603565
32; 0,3125; 0,3125; 234,42857142857142; 0,035955302
33; 0,3125; 0,3125; 232,54761904761904; 0,035666816
34; 0,3125; 0,3125; 234,83333333333334; 0,036017388
35; 0,3125; 0,3125; 234,54761904761904; 0,035973564
36; 0,3125; 0,3125; 233,73809523809524; 0,035849404
37; 0,3125; 0,3125; 232,97619047619048; 0,03573255
38; 0,3125; 0,3125; 233,5952380952381; 0,03582749
39; 0,3125; 0,3125; 235,28571428571428; 0,036086768
40; 0,3125; 0,3125; 233,73809523809524; 0,035849407
41; 0,3125; 0,3125; 233,66666666666666; 0,035838448
42; 0,3125; 0,3125; 233,38095238095238; 0,03579463
43; 0,3125; 0,3125; 233,11904761904762; 0,035754453
44; 0,3125; 0,3125; 233,33333333333334; 0,035787325
45; 0,3125; 0,3125; 233,38095238095238; 0,035794623
46; 0,3125; 0,296875; 233,85714285714286; 0,03586766
47; 0,296875; 0,28125; 233,45238095238096; 0,03580558
48; 0,28125; 0,28125; 233,73809523809524; 0,0358494
49; 0,28125; 0,28125; 234,78571428571428; 0,03601008
50; 0,28125; 0,28125; 235,61904761904762; 0,036137894
51; 0,28125; 0,28125; 235,9047619047619; 0,036181714
52; 0,28125; 0,28125; 237,97619047619048; 0,036499422
53; 0,28125; 0,28125; 235,66666666666666; 0,036145195
54; 0,28125; 0,265625; 235,95238095238096; 0,03618902
55; 0,265625; 0,265625; 231,38095238095238; 0,035487883
56; 0,265625; 0,265625; 223,42857142857142; 0,034268185
57; 0,265625; 0,25; 223,5952380952381; 0,03429374
58; 0,25; 0,25; 221,8095238095238; 0,034019858
59; 0,25; 0,25; 221,1904761904762; 0,033924922
60; 0,25; 0,25; 221,07142857142858; 0,033906654
61; 0,25; 0,25; 221,45238095238096; 0,03396508
