Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,40625; 0,40625; 203,16666666666666; 0,03116053
2; 0,40625; 0,375; 258,76190476190476; 0,039687414
3; 0,375; 0,375; 271,9047619047619; 0,041703183
4; 0,375; 0,375; 285,7857142857143; 0,043832175
5; 0,375; 0,34375; 285,04761904761904; 0,043718964
6; 0,34375; 0,34375; 261,07142857142856; 0,040041633
7; 0,34375; 0,34375; 238,71428571428572; 0,036612622
8; 0,34375; 0,34375; 238,11904761904762; 0,036521327
9; 0,34375; 0,34375; 239,38095238095238; 0,03671487
10; 0,34375; 0,328125; 237,61904761904762; 0,036444645
11; 0,328125; 0,328125; 243,14285714285714; 0,037291855
12; 0,328125; 0,328125; 239,61904761904762; 0,036751397
13; 0,328125; 0,328125; 241,0; 0,036963187
14; 0,328125; 0,328125; 239,6904761904762; 0,036762346
15; 0,328125; 0,328125; 240,45238095238096; 0,03687921
16; 0,328125; 0,328125; 239,71428571428572; 0,036766004
17; 0,328125; 0,328125; 239,11904761904762; 0,036674708
18; 0,328125; 0,328125; 240,73809523809524; 0,036923032
19; 0,328125; 0,328125; 240,16666666666666; 0,036835387
20; 0,328125; 0,328125; 238,73809523809524; 0,036616277
21; 0,328125; 0,328125; 239,42857142857142; 0,036722176
22; 0,328125; 0,3125; 241,73809523809524; 0,03707639
23; 0,3125; 0,3125; 223,21428571428572; 0,034235317
24; 0,3125; 0,296875; 206,26190476190476; 0,031635255
25; 0,296875; 0,296875; 206,52380952380952; 0,031675424
26; 0,296875; 0,28125; 207,83333333333334; 0,031876273
27; 0,28125; 0,28125; 207,64285714285714; 0,031847056
28; 0,28125; 0,28125; 207,4047619047619; 0,03181054
29; 0,28125; 0,28125; 206,92857142857142; 0,031737503
30; 0,28125; 0,28125; 206,88095238095238; 0,0317302
31; 0,28125; 0,28125; 206,92857142857142; 0,031737503
32; 0,28125; 0,265625; 210,0; 0,032208588
33; 0,265625; 0,265625; 218,4047619047619; 0,033497658
34; 0,265625; 0,25; 230,04761904761904; 0,03528338
35; 0,25; 0,25; 230,21428571428572; 0,03530895
36; 0,25; 0,234375; 227,85714285714286; 0,03494742
37; 0,234375; 0,234375; 228,33333333333334; 0,035020452
38; 0,234375; 0,21875; 228,64285714285714; 0,035067927
39; 0,21875; 0,21875; 231,8095238095238; 0,035553608
40; 0,21875; 0,21875; 229,02380952380952; 0,035126355
41; 0,21875; 0,21875; 226,21428571428572; 0,034695443
42; 0,21875; 0,21875; 224,78571428571428; 0,034476336
43; 0,21875; 0,21875; 226,73809523809524; 0,03477578
44; 0,21875; 0,21875; 228,61904761904762; 0,035064273
45; 0,21875; 0,21875; 227,07142857142858; 0,034826912
46; 0,21875; 0,21875; 227,33333333333334; 0,034867074
47; 0,21875; 0,21875; 227,57142857142858; 0,034903593
48; 0,21875; 0,21875; 227,02380952380952; 0,034819603
