Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.375, 0.25, 42.421052631578945, 0.042252045
2, 0.25, 0.25, 53.18421052631579, 0.052972324
3, 0.25, 0.25, 60.1578947368421, 0.059918214
4, 0.25, 0.25, 70.0, 0.06972112
5, 0.25, 0.25, 80.1842105263158, 0.07986475
6, 0.25, 0.25, 93.21052631578948, 0.092839174
7, 0.25, 0.25, 79.42105263157895, 0.07910463
8, 0.25, 0.25, 73.76315789473684, 0.073469274
9, 0.25, 0.25, 81.15789473684211, 0.08083457
10, 0.25, 0.25, 72.60526315789474, 0.072316006
11, 0.25, 0.25, 72.92105263157895, 0.07263054
12, 0.25, 0.25, 92.65789473684211, 0.092288755
13, 0.25, 0.25, 94.6842105263158, 0.094307
14, 0.25, 0.25, 96.5, 0.096115544
15, 0.25, 0.25, 96.23684210526316, 0.09585344
16, 0.25, 0.25, 97.47368421052632, 0.09708535
17, 0.25, 0.25, 95.47368421052632, 0.095093325
18, 0.25, 0.25, 95.23684210526316, 0.09485742
19, 0.25, 0.25, 97.76315789473684, 0.097373664
20, 0.25, 0.25, 97.1842105263158, 0.096797034
21, 0.25, 0.25, 95.8157894736842, 0.09543405
22, 0.25, 0.25, 102.6842105263158, 0.10227511
23, 0.25, 0.25, 103.36842105263158, 0.10295659
24, 0.25, 0.25, 105.65789473684211, 0.10523695
25, 0.25, 0.25, 105.13157894736842, 0.10471273
26, 0.25, 0.25, 106.21052631578948, 0.10578739
27, 0.25, 0.25, 106.39473684210526, 0.10597086
28, 0.25, 0.25, 106.73684210526316, 0.10631161
29, 0.25, 0.25, 107.26315789473684, 0.10683583
30, 0.25, 0.25, 106.57894736842105, 0.106154345
31, 0.25, 0.25, 105.78947368421052, 0.10536801
32, 0.25, 0.25, 106.76315789473684, 0.10633781
33, 0.25, 0.25, 105.34210526315789, 0.10492242
34, 0.25, 0.25, 106.15789473684211, 0.10573495
35, 0.25, 0.25, 106.1842105263158, 0.10576118
36, 0.25, 0.25, 105.10526315789474, 0.10468652
37, 0.25, 0.25, 105.02631578947368, 0.104607895
38, 0.25, 0.25, 104.86842105263158, 0.104450636
39, 0.25, 0.25, 105.15789473684211, 0.10473894
