Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.375, 0.375, 63.717948717948715, 0.039724402
2, 0.375, 0.375, 73.57692307692308, 0.045870893
3, 0.375, 0.375, 84.65384615384616, 0.052776717
4, 0.375, 0.25, 84.42307692307692, 0.05263284
5, 0.25, 0.25, 85.37179487179488, 0.053224314
6, 0.25, 0.25, 77.11538461538461, 0.048076928
7, 0.25, 0.25, 62.55128205128205, 0.038997065
8, 0.25, 0.125, 42.88461538461539, 0.02673604
9, 0.125, 0.125, 43.205128205128204, 0.026935864
10, 0.125, 0.0, 43.11538461538461, 0.026879912
