Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.375, 0.375, 61.64705882352941, 0.04098874
2, 0.375, 0.375, 66.77941176470588, 0.0444012
3, 0.375, 0.375, 53.161764705882355, 0.035346918
4, 0.375, 0.375, 62.26470588235294, 0.0413994
5, 0.375, 0.375, 65.19117647058823, 0.043345194
6, 0.375, 0.375, 62.48529411764706, 0.041546077
7, 0.375, 0.375, 67.1029411764706, 0.044616316
8, 0.375, 0.375, 65.80882352941177, 0.043755867
9, 0.375, 0.25, 72.61764705882354, 0.04828301
10, 0.25, 0.25, 63.705882352941174, 0.04235764
11, 0.25, 0.25, 79.47058823529412, 0.052839488
12, 0.25, 0.25, 102.92647058823529, 0.06843515
13, 0.25, 0.25, 116.97058823529412, 0.077773005
14, 0.25, 0.25, 115.58823529411765, 0.07685388
15, 0.25, 0.25, 117.20588235294117, 0.077929445
16, 0.25, 0.25, 117.95588235294117, 0.07842811
17, 0.25, 0.25, 116.63235294117646, 0.07754811
18, 0.25, 0.25, 115.16176470588235, 0.076570325
19, 0.25, 0.25, 115.17647058823529, 0.07658011
20, 0.25, 0.25, 114.42647058823529, 0.07608144
21, 0.25, 0.25, 114.72058823529412, 0.07627699
22, 0.25, 0.25, 114.54411764705883, 0.076159656
23, 0.25, 0.25, 114.05882352941177, 0.07583698
24, 0.25, 0.25, 113.94117647058823, 0.07575876
25, 0.25, 0.25, 114.66176470588235, 0.07623787
26, 0.25, 0.25, 116.63235294117646, 0.077548094
27, 0.25, 0.25, 117.1470588235294, 0.07789034
28, 0.25, 0.25, 116.47058823529412, 0.07744056
29, 0.25, 0.25, 117.94117647058823, 0.07841833
30, 0.25, 0.25, 117.1470588235294, 0.07789033
31, 0.25, 0.25, 116.76470588235294, 0.077636115
32, 0.25, 0.25, 117.51470588235294, 0.07813478
33, 0.25, 0.25, 117.38235294117646, 0.07804678
34, 0.25, 0.25, 116.79411764705883, 0.077655666
35, 0.25, 0.25, 114.57352941176471, 0.07617921
36, 0.25, 0.25, 116.25, 0.07729389
37, 0.25, 0.25, 116.82352941176471, 0.077675216
38, 0.25, 0.25, 116.07352941176471, 0.07717655
