Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.375, 0.375, 39.90384615384615, 0.03457872
2, 0.375, 0.25, 24.96153846153846, 0.021630447
3, 0.25, 0.25, 21.096153846153847, 0.018280895
4, 0.25, 0.125, 21.596153846153847, 0.01871417
5, 0.125, 0.125, 23.173076923076923, 0.020080658
6, 0.125, 0.125, 23.21153846153846, 0.020113986
7, 0.125, 0.125, 24.73076923076923, 0.021430476
8, 0.125, 0.125, 25.942307692307693, 0.02248034
9, 0.125, 0.125, 25.384615384615383, 0.021997072
10, 0.125, 0.125, 24.692307692307693, 0.021397147
11, 0.125, 0.125, 25.942307692307693, 0.022480339
12, 0.125, 0.125, 24.673076923076923, 0.021380484
13, 0.125, 0.125, 25.576923076923077, 0.022163717
14, 0.125, 0.125, 24.73076923076923, 0.021430483
15, 0.125, 0.125, 25.442307692307693, 0.022047061
16, 0.125, 0.125, 25.942307692307693, 0.02248034
17, 0.125, 0.125, 26.71153846153846, 0.023146916
18, 0.125, 0.125, 27.25, 0.023613524
19, 0.125, 0.125, 24.346153846153847, 0.021097187
20, 0.125, 0.125, 26.26923076923077, 0.022763638
21, 0.125, 0.125, 24.596153846153847, 0.02131383
22, 0.125, 0.125, 26.307692307692307, 0.022796966
23, 0.125, 0.125, 25.384615384615383, 0.021997074
24, 0.125, 0.125, 25.096153846153847, 0.021747105
25, 0.125, 0.0, 23.692307692307693, 0.0205306
