Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.5, 0.375, 49.725, 0.029181335
2, 0.375, 0.375, 40.3, 0.023650236
3, 0.375, 0.375, 45.625, 0.026775232
4, 0.375, 0.375, 30.6, 0.017957745
5, 0.375, 0.375, 30.125, 0.017678987
6, 0.375, 0.375, 31.025, 0.018207159
7, 0.375, 0.375, 19.325, 0.011340963
8, 0.375, 0.375, 23.35, 0.013703051
9, 0.375, 0.375, 33.025, 0.01938087
10, 0.375, 0.375, 22.875, 0.013424295
11, 0.375, 0.375, 28.7, 0.016842723
12, 0.375, 0.375, 29.175, 0.017121479
13, 0.375, 0.375, 21.8, 0.012793427
14, 0.375, 0.375, 22.9, 0.013438967
15, 0.375, 0.375, 23.05, 0.013526994
16, 0.375, 0.375, 22.675, 0.013306926
17, 0.375, 0.375, 22.6, 0.013262911
18, 0.375, 0.375, 23.675, 0.013893778
19, 0.375, 0.375, 19.8, 0.011619719
20, 0.375, 0.375, 25.35, 0.014876762
21, 0.375, 0.375, 28.275, 0.01659331
22, 0.375, 0.375, 22.375, 0.013130869
23, 0.375, 0.375, 24.95, 0.014642018
24, 0.375, 0.25, 30.975, 0.018177817
25, 0.25, 0.25, 32.15, 0.01886737
26, 0.25, 0.25, 34.825, 0.020437207
27, 0.25, 0.25, 37.475, 0.02199237
28, 0.25, 0.25, 35.6, 0.020892017
29, 0.25, 0.25, 41.5, 0.02435446
30, 0.25, 0.25, 36.25, 0.021273473
31, 0.25, 0.25, 39.075, 0.022931337
32, 0.25, 0.25, 43.725, 0.025660213
33, 0.25, 0.25, 40.375, 0.023694249
34, 0.25, 0.25, 37.725, 0.022139084
35, 0.25, 0.25, 44.725, 0.026247066
36, 0.25, 0.25, 35.575, 0.020877346
37, 0.25, 0.25, 35.3, 0.020715963
38, 0.25, 0.25, 35.625, 0.02090669
39, 0.25, 0.25, 34.0, 0.019953053
40, 0.25, 0.25, 34.175, 0.020055752
41, 0.25, 0.25, 39.125, 0.022960681
42, 0.25, 0.25, 37.275, 0.021875
43, 0.25, 0.25, 34.5, 0.02024648
44, 0.25, 0.25, 36.125, 0.021200119
45, 0.25, 0.25, 36.625, 0.021493545
46, 0.25, 0.125, 35.25, 0.020686623
47, 0.125, 0.125, 36.325, 0.021317491
48, 0.125, 0.125, 34.35, 0.020158451
49, 0.125, 0.125, 37.55, 0.022036387
50, 0.125, 0.125, 35.625, 0.02090669
51, 0.125, 0.125, 33.6, 0.019718308
52, 0.125, 0.125, 31.05, 0.018221833
53, 0.125, 0.125, 28.55, 0.016754694
54, 0.125, 0.125, 28.625, 0.016798707
55, 0.125, 0.125, 29.425, 0.017268192
56, 0.125, 0.125, 30.0, 0.017605633
57, 0.125, 0.125, 35.95, 0.021097418
58, 0.125, 0.125, 30.275, 0.01776702
59, 0.125, 0.125, 35.225, 0.020671947
60, 0.125, 0.125, 31.4, 0.018427229
61, 0.125, 0.125, 34.025, 0.019967724
62, 0.125, 0.125, 31.9, 0.018720657
63, 0.125, 0.125, 35.075, 0.020583924
64, 0.125, 0.125, 35.35, 0.020745305
65, 0.125, 0.125, 31.525, 0.01850059
66, 0.125, 0.125, 33.2, 0.019483568
67, 0.125, 0.125, 33.05, 0.019395541
68, 0.125, 0.125, 31.875, 0.018705986
69, 0.125, 0.125, 30.0, 0.017605634
70, 0.125, 0.125, 33.475, 0.019644955
71, 0.125, 0.125, 30.6, 0.017957747
72, 0.125, 0.125, 32.825, 0.0192635
73, 0.125, 0.0, 31.125, 0.018265847
