Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.25, 0.25, 51.94871794871795, 0.027283989
2, 0.25, 0.25, 49.69230769230769, 0.026098903
3, 0.25, 0.25, 54.166666666666664, 0.028448883
4, 0.25, 0.25, 63.55128205128205, 0.03337778
5, 0.25, 0.25, 67.1025641025641, 0.035242952
6, 0.25, 0.25, 64.07692307692308, 0.033653848
7, 0.25, 0.25, 72.03846153846153, 0.037835333
8, 0.25, 0.25, 75.65384615384616, 0.039734166
9, 0.25, 0.25, 71.16666666666667, 0.03737745
10, 0.25, 0.25, 76.71794871794872, 0.04029304
11, 0.25, 0.25, 74.15384615384616, 0.038946357
12, 0.25, 0.25, 78.76923076923077, 0.041370396
13, 0.25, 0.25, 76.85897435897436, 0.040367108
14, 0.25, 0.25, 76.33333333333333, 0.04009104
15, 0.25, 0.25, 83.82051282051282, 0.044023383
16, 0.25, 0.25, 82.55128205128206, 0.043356765
17, 0.25, 0.25, 80.1923076923077, 0.04211781
18, 0.25, 0.25, 82.41025641025641, 0.043282695
19, 0.25, 0.25, 80.37179487179488, 0.04221208
20, 0.25, 0.25, 79.1923076923077, 0.041592598
21, 0.25, 0.125, 73.35897435897436, 0.03852888
22, 0.125, 0.125, 76.8076923076923, 0.040340178
23, 0.125, 0.125, 75.1025641025641, 0.039444625
24, 0.125, 0.125, 67.87179487179488, 0.035646945
25, 0.125, 0.125, 59.84615384615385, 0.0314318
26, 0.125, 0.125, 45.64102564102564, 0.023971125
27, 0.125, 0.0, 45.91025641025641, 0.024112528
