Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.375, 0.375, 50.88333333333333, 0.02820583
2, 0.375, 0.375, 71.0, 0.039356973
3, 0.375, 0.25, 66.88333333333334, 0.037075017
4, 0.25, 0.25, 62.05, 0.03439578
5, 0.25, 0.25, 57.166666666666664, 0.031688828
6, 0.25, 0.25, 51.46666666666667, 0.028529184
7, 0.25, 0.25, 50.7, 0.028104203
8, 0.25, 0.25, 50.18333333333333, 0.027817803
9, 0.25, 0.125, 49.483333333333334, 0.027429776
10, 0.125, 0.125, 50.43333333333333, 0.027956383
11, 0.125, 0.125, 50.21666666666667, 0.02783628
12, 0.125, 0.125, 49.333333333333336, 0.027346628
13, 0.125, 0.125, 50.85, 0.028187351
14, 0.125, 0.125, 50.31666666666667, 0.027891712
15, 0.125, 0.125, 49.733333333333334, 0.027568353
16, 0.125, 0.125, 50.6, 0.02804877
17, 0.125, 0.125, 50.93333333333333, 0.028233545
18, 0.125, 0.125, 50.56666666666667, 0.028030293
19, 0.125, 0.125, 52.8, 0.029268282
20, 0.125, 0.125, 52.833333333333336, 0.029286759
21, 0.125, 0.125, 52.016666666666666, 0.028834062
22, 0.125, 0.125, 52.65, 0.029185133
23, 0.125, 0.125, 51.416666666666664, 0.028501468
24, 0.125, 0.125, 52.86666666666667, 0.029305236
25, 0.125, 0.125, 52.55, 0.0291297
26, 0.125, 0.125, 51.21666666666667, 0.028390603
27, 0.125, 0.125, 51.25, 0.02840908
28, 0.125, 0.125, 51.31666666666667, 0.028446035
29, 0.125, 0.125, 50.333333333333336, 0.027900951
30, 0.125, 0.125, 52.81666666666667, 0.02927752
31, 0.125, 0.125, 50.766666666666666, 0.028141158
32, 0.125, 0.125, 50.63333333333333, 0.028067248
33, 0.125, 0.125, 49.75, 0.027577596
34, 0.125, 0.125, 49.55, 0.027466731
35, 0.125, 0.125, 49.45, 0.027411299
36, 0.125, 0.125, 50.8, 0.028159631
37, 0.125, 0.125, 50.86666666666667, 0.02819659
38, 0.125, 0.125, 49.8, 0.027605312
39, 0.125, 0.125, 49.083333333333336, 0.027208047
40, 0.125, 0.125, 50.06666666666667, 0.027753131
41, 0.125, 0.125, 49.63333333333333, 0.027512925
42, 0.125, 0.125, 50.13333333333333, 0.027790086
43, 0.125, 0.125, 48.8, 0.027050985
44, 0.125, 0.125, 49.68333333333333, 0.02754064
45, 0.125, 0.125, 49.31666666666667, 0.027337389
46, 0.125, 0.125, 49.4, 0.027383579
47, 0.125, 0.125, 49.233333333333334, 0.027291195
48, 0.125, 0.125, 47.95, 0.02657981
49, 0.125, 0.125, 49.86666666666667, 0.027642267
50, 0.125, 0.125, 49.53333333333333, 0.027457492
51, 0.125, 0.125, 48.916666666666664, 0.02711566
52, 0.125, 0.125, 49.516666666666666, 0.027448254
53, 0.125, 0.125, 49.166666666666664, 0.02725424
54, 0.125, 0.125, 49.71666666666667, 0.027559118
55, 0.125, 0.125, 48.2, 0.026718395
56, 0.125, 0.125, 48.7, 0.026995556
57, 0.125, 0.125, 48.016666666666666, 0.026616769
58, 0.125, 0.125, 48.35, 0.026801543
59, 0.125, 0.125, 49.06666666666667, 0.027198808
60, 0.125, 0.125, 49.03333333333333, 0.02718033
61, 0.125, 0.125, 49.75, 0.027577592
62, 0.125, 0.125, 48.1, 0.026662963
63, 0.125, 0.125, 48.666666666666664, 0.026977079
64, 0.125, 0.125, 48.666666666666664, 0.026977079
65, 0.125, 0.125, 50.083333333333336, 0.02776237
66, 0.125, 0.125, 48.266666666666666, 0.026755346
67, 0.125, 0.125, 48.166666666666664, 0.026699914
68, 0.125, 0.125, 47.68333333333333, 0.02643199
69, 0.125, 0.125, 48.266666666666666, 0.02675535
70, 0.125, 0.125, 48.18333333333333, 0.026709156
71, 0.125, 0.125, 49.21666666666667, 0.027281957
72, 0.125, 0.125, 49.9, 0.027660744
73, 0.125, 0.125, 48.516666666666666, 0.02689393
74, 0.125, 0.125, 48.56666666666667, 0.026921647
75, 0.125, 0.125, 48.016666666666666, 0.026616765
76, 0.125, 0.125, 47.28333333333333, 0.026210265
77, 0.125, 0.125, 49.46666666666667, 0.027420538
78, 0.125, 0.125, 47.03333333333333, 0.02607168
79, 0.125, 0.125, 47.4, 0.026274936
80, 0.125, 0.125, 47.31666666666667, 0.026228743
81, 0.125, 0.125, 45.55, 0.025249435
82, 0.125, 0.125, 47.38333333333333, 0.026265694
83, 0.125, 0.125, 47.71666666666667, 0.026450468
84, 0.125, 0.125, 47.81666666666667, 0.0265059
85, 0.125, 0.125, 48.166666666666664, 0.026699917
86, 0.125, 0.125, 48.65, 0.02696784
87, 0.125, 0.125, 47.28333333333333, 0.026210262
88, 0.125, 0.125, 46.666666666666664, 0.025868429
89, 0.125, 0.125, 47.36666666666667, 0.026256459
90, 0.125, 0.125, 49.05, 0.02718957
91, 0.125, 0.0, 52.266666666666666, 0.028972642
