Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.25, 0.25, 65.61428571428571, 0.04090666
2, 0.25, 0.25, 63.17142857142857, 0.039383683
3, 0.25, 0.25, 60.24285714285714, 0.037557893
4, 0.25, 0.25, 55.457142857142856, 0.034574278
5, 0.25, 0.25, 55.92857142857143, 0.03486819
6, 0.25, 0.25, 52.357142857142854, 0.032641612
7, 0.25, 0.25, 54.22857142857143, 0.033808332
8, 0.25, 0.25, 52.44285714285714, 0.032695048
9, 0.25, 0.25, 47.41428571428571, 0.029560028
10, 0.25, 0.25, 44.57142857142857, 0.027787674
11, 0.25, 0.25, 44.285714285714285, 0.027609546
12, 0.25, 0.125, 40.98571428571429, 0.02555219
13, 0.125, 0.125, 42.542857142857144, 0.02652298
14, 0.125, 0.125, 42.48571428571429, 0.026487352
15, 0.125, 0.125, 42.128571428571426, 0.026264697
16, 0.125, 0.125, 40.628571428571426, 0.025329532
17, 0.125, 0.125, 38.7, 0.024127182
18, 0.125, 0.125, 39.32857142857143, 0.02451906
19, 0.125, 0.125, 38.714285714285715, 0.024136089
20, 0.125, 0.125, 40.214285714285715, 0.02507125
21, 0.125, 0.125, 40.7, 0.025374064
22, 0.125, 0.125, 41.15714285714286, 0.025659068
23, 0.125, 0.125, 43.02857142857143, 0.026825793
24, 0.125, 0.125, 42.68571428571428, 0.02661204
25, 0.125, 0.125, 42.128571428571426, 0.026264697
26, 0.125, 0.125, 43.34285714285714, 0.02702173
27, 0.0, 0.125, 41.84285714285714, 0.026086567
28, 0.125, 0.125, 42.91428571428571, 0.026754541
29, 0.0, 0.0, 43.42857142857143, 0.02707517
