Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.25, 0.25, 51.445945945945944, 0.036642414
2, 0.25, 0.25, 54.71621621621622, 0.03897167
3, 0.25, 0.25, 65.97297297297297, 0.046989296
4, 0.25, 0.25, 78.06756756756756, 0.055603683
5, 0.25, 0.25, 81.08108108108108, 0.057750057
6, 0.25, 0.25, 82.47297297297297, 0.05874142
7, 0.25, 0.25, 81.06756756756756, 0.05774043
8, 0.25, 0.25, 78.95945945945945, 0.056238927
9, 0.25, 0.25, 77.44594594594595, 0.05516093
10, 0.25, 0.25, 80.21621621621621, 0.057134055
11, 0.25, 0.25, 80.32432432432432, 0.057211056
12, 0.25, 0.25, 79.86486486486487, 0.0568838
13, 0.25, 0.25, 79.66216216216216, 0.056739427
14, 0.25, 0.25, 80.1891891891892, 0.057114802
15, 0.25, 0.25, 80.14864864864865, 0.05708594
16, 0.25, 0.25, 79.72972972972973, 0.056787554
17, 0.25, 0.25, 77.13513513513513, 0.054939553
18, 0.25, 0.25, 78.35135135135135, 0.055805814
19, 0.25, 0.25, 77.4054054054054, 0.05513206
20, 0.25, 0.25, 77.8108108108108, 0.055420805
21, 0.25, 0.25, 78.0945945945946, 0.05562294
22, 0.25, 0.25, 75.55405405405405, 0.053813428
23, 0.25, 0.25, 76.44594594594595, 0.054448683
24, 0.25, 0.25, 75.82432432432432, 0.054005932
25, 0.25, 0.25, 76.22972972972973, 0.054294676
26, 0.25, 0.25, 76.29729729729729, 0.0543428
27, 0.25, 0.25, 75.67567567567568, 0.05390005
28, 0.25, 0.25, 75.05405405405405, 0.0534573
29, 0.25, 0.25, 75.28378378378379, 0.053620927
30, 0.25, 0.25, 75.36486486486487, 0.05367868
31, 0.25, 0.25, 77.89189189189189, 0.055478554
32, 0.25, 0.25, 74.43243243243244, 0.053014554
33, 0.25, 0.25, 75.39189189189189, 0.053697933
34, 0.25, 0.25, 77.64864864864865, 0.055305306
35, 0.25, 0.25, 79.17567567567568, 0.056392927
36, 0.25, 0.25, 79.85135135135135, 0.05687418
37, 0.25, 0.25, 78.67567567567568, 0.0560368
38, 0.25, 0.25, 79.10810810810811, 0.056344807
39, 0.25, 0.25, 77.37837837837837, 0.055112805
40, 0.25, 0.25, 76.64864864864865, 0.054593053
41, 0.25, 0.25, 76.02702702702703, 0.054150306
42, 0.25, 0.25, 77.77027027027027, 0.055391937
43, 0.25, 0.25, 77.56756756756756, 0.055247553
44, 0.25, 0.25, 76.8108108108108, 0.054708563
45, 0.25, 0.25, 77.98648648648648, 0.055545937
46, 0.25, 0.25, 78.25675675675676, 0.05573843
47, 0.25, 0.25, 76.72972972972973, 0.05465081
48, 0.25, 0.25, 77.91891891891892, 0.055497803
49, 0.25, 0.25, 76.8108108108108, 0.054708563
50, 0.25, 0.25, 78.16216216216216, 0.055671055
51, 0.25, 0.25, 76.9054054054054, 0.054775935
52, 0.25, 0.25, 78.04054054054055, 0.05558443
53, 0.25, 0.25, 76.58108108108108, 0.054544933
54, 0.25, 0.25, 75.56756756756756, 0.053823054
55, 0.25, 0.25, 74.51351351351352, 0.053072307
56, 0.25, 0.25, 76.22972972972973, 0.054294676
57, 0.25, 0.25, 73.9054054054054, 0.05263918
58, 0.25, 0.25, 75.95945945945945, 0.054102182
59, 0.25, 0.25, 74.70270270270271, 0.05320705
60, 0.25, 0.25, 73.85135135135135, 0.05260067
61, 0.25, 0.25, 75.51351351351352, 0.053784553
62, 0.25, 0.25, 74.85135135135135, 0.05331293
63, 0.25, 0.25, 74.54054054054055, 0.05309155
64, 0.25, 0.25, 74.8108108108108, 0.053284053
65, 0.25, 0.25, 76.82432432432432, 0.054718178
66, 0.25, 0.25, 74.1891891891892, 0.052841302
67, 0.25, 0.25, 74.35135135135135, 0.052956805
68, 0.25, 0.25, 74.51351351351352, 0.0530723
69, 0.25, 0.25, 77.48648648648648, 0.055189803
70, 0.25, 0.25, 78.75675675675676, 0.056094557
71, 0.25, 0.25, 79.51351351351352, 0.05663355
72, 0.25, 0.25, 77.29729729729729, 0.055055052
73, 0.25, 0.25, 80.21621621621621, 0.057134055
74, 0.25, 0.25, 77.16216216216216, 0.0549588
75, 0.25, 0.25, 80.63513513513513, 0.05743243
76, 0.25, 0.25, 81.08108108108108, 0.05775005
77, 0.25, 0.25, 79.98648648648648, 0.05697043
78, 0.25, 0.25, 80.16216216216216, 0.057095554
79, 0.25, 0.25, 81.28378378378379, 0.057894435
80, 0.25, 0.25, 80.28378378378379, 0.05718218
81, 0.25, 0.25, 80.22972972972973, 0.05714368
82, 0.25, 0.25, 79.66216216216216, 0.056739427
83, 0.25, 0.25, 81.71621621621621, 0.058202434
84, 0.25, 0.25, 81.0, 0.0576923
85, 0.25, 0.25, 82.44594594594595, 0.05872218
86, 0.25, 0.25, 83.28378378378379, 0.05931894
87, 0.25, 0.25, 83.64864864864865, 0.0595788
88, 0.25, 0.25, 82.0945945945946, 0.05847193
89, 0.25, 0.25, 81.91891891891892, 0.05834681
90, 0.25, 0.25, 82.47297297297297, 0.058741428
91, 0.25, 0.125, 84.22972972972973, 0.059992682
92, 0.125, 0.125, 84.25675675675676, 0.060011927
93, 0.125, 0.125, 84.94594594594595, 0.060502812
94, 0.125, 0.125, 86.47297297297297, 0.061590426
95, 0.125, 0.0, 89.86486486486487, 0.064006306
