Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.25, 0.25, 23.863636363636363, 0.09395132
2, 0.25, 0.25, 25.984848484848484, 0.10230255
3, 0.25, 0.25, 25.742424242424242, 0.101348124
4, 0.25, 0.25, 23.545454545454547, 0.09269864
5, 0.25, 0.25, 24.681818181818183, 0.09717251
6, 0.25, 0.125, 24.303030303030305, 0.09568122
7, 0.125, 0.125, 23.984848484848484, 0.09442854
8, 0.125, 0.125, 24.863636363636363, 0.097888336
9, 0.125, 0.125, 23.424242424242426, 0.09222143
10, 0.125, 0.0, 26.196969696969695, 0.10313767
