Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.38887924, 0.36261654, 22.671875, 0.012241834
2, 0.36261654, 0.29086217, 22.109375, 0.011938109
3, 0.29086217, 0.29086217, 22.671875, 0.012241835
4, 0.29086217, 0.12362555, 25.703125, 0.013878573
5, 0.12362555, 0.12306183, 28.234375, 0.015245336
6, 0.12306183, 0.083007, 29.453125, 0.015903411
7, 0.083007, 0.059845228, 28.65625, 0.015473131
8, 0.059845228, 0.059845228, 31.046875, 0.016763968
9, 0.059845228, 0.054199778, 34.046875, 0.01838384
10, 0.054199778, 0.054199778, 29.78125, 0.016080586
11, 0.054199778, 0.0485924, 26.375, 0.014241355
12, 0.0485924, 0.04738596, 26.0625, 0.014072619
13, 0.04738596, 0.045744304, 25.21875, 0.0136170285
14, 0.045744304, 0.045744304, 24.96875, 0.01348204
15, 0.045744304, 0.04314623, 24.640625, 0.013304867
16, 0.04314623, 0.041041378, 25.296875, 0.013659214
17, 0.041041378, 0.041041378, 24.8125, 0.013397672
18, 0.041041378, 0.039775614, 24.421875, 0.013186751
19, 0.039775614, 0.039775614, 23.953125, 0.012933646
20, 0.039775614, 0.03823585, 24.96875, 0.013482041
21, 0.03823585, 0.033136807, 23.84375, 0.012874588
22, 0.033136807, 0.033136807, 24.546875, 0.013254244
23, 0.033136807, 0.033136807, 23.96875, 0.012942081
24, 0.033136807, 0.028290756, 23.1875, 0.012520242
25, 0.028290756, 0.028290756, 22.6875, 0.012250262
26, 0.028290756, 0.028290756, 22.859375, 0.012343069
27, 0.028290756, 0.028290756, 22.25, 0.012014032
28, 0.028290756, 0.028290756, 22.03125, 0.011895919
29, 0.028290756, 0.028290756, 22.140625, 0.011954975
30, 0.028290756, 0.022806557, 22.046875, 0.011904353
31, 0.022806557, 0.022364244, 24.09375, 0.013009576
32, 0.022364244, 0.022361724, 24.171875, 0.013051761
33, 0.022361724, 0.022361724, 24.0, 0.012958957
34, 0.022361724, 0.022361724, 24.0, 0.012958957
35, 0.022361724, 0.022361724, 24.921875, 0.013456729
36, 0.022361724, 0.02107687, 24.546875, 0.013254246
37, 0.02107687, 0.02107687, 24.9375, 0.013465167
38, 0.02107687, 0.02107687, 23.78125, 0.012840841
39, 0.02107687, 0.02107687, 25.21875, 0.013617029
40, 0.02107687, 0.018940313, 23.25, 0.012553991
41, 0.018940313, 0.018940313, 24.578125, 0.013271122
42, 0.018940313, 0.018940313, 26.265625, 0.014182297
43, 0.018940313, 0.015341762, 23.96875, 0.012942084
44, 0.015341762, 0.015341762, 26.40625, 0.014258229
45, 0.015341762, 0.014856753, 28.546875, 0.015414074
46, 0.014856753, 0.014856753, 29.25, 0.015793733
47, 0.014856753, 0.011624328, 30.46875, 0.016451806
48, 0.011624328, 0.011624328, 30.390625, 0.016409623
49, 0.011624328, 0.010480067, 30.1875, 0.016299944
50, 0.010480067, 0.010480067, 30.0, 0.0161987
51, 0.010480067, 0.010480067, 29.203125, 0.015768422
52, 0.010480067, 0.010480067, 27.78125, 0.015000669
53, 0.010480067, 0.010480067, 28.0, 0.015118784
54, 0.010480067, 0.010229541, 28.59375, 0.015439384
55, 0.010229541, 0.010229541, 28.5, 0.015388764
56, 0.010229541, 0.010229541, 27.453125, 0.014823496
57, 0.010229541, 0.010229541, 27.734375, 0.01497536
58, 0.010229541, 0.010229541, 27.640625, 0.014924737
59, 0.010229541, 0.010229541, 26.96875, 0.014561955
60, 0.010229541, 0.010229541, 27.34375, 0.014764437
61, 0.010229541, 0.010229541, 27.703125, 0.014958485
62, 0.010229541, 0.010229541, 27.953125, 0.015093474
63, 0.010229541, 0.010081086, 27.453125, 0.014823496
64, 0.010081086, 0.010081086, 28.046875, 0.015144096
65, 0.010081086, 0.010081086, 28.734375, 0.015515316
66, 0.010081086, 0.010081086, 28.0, 0.015118785
67, 0.010081086, 0.010081086, 28.09375, 0.015169406
68, 0.010081086, 0.010081071, 27.96875, 0.015101911
69, 0.010081071, 0.010081071, 29.28125, 0.015810605
70, 0.010081071, 0.010081071, 27.921875, 0.015076601
71, 0.010081071, 0.009990711, 28.984375, 0.015650306
