Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.9011662, 0.9011662, 16.576923076923077, 0.047093537
2, 0.9011662, 0.63217616, 19.26923076923077, 0.054742135
3, 0.63217616, 0.63217616, 19.48076923076923, 0.05534309
4, 0.63217616, 0.63217616, 19.25, 0.054687504
5, 0.63217616, 0.63217616, 19.53846153846154, 0.055507004
6, 0.63217616, 0.63217616, 24.98076923076923, 0.0709681
7, 0.63217616, 0.63217616, 23.73076923076923, 0.06741696
8, 0.63217616, 0.63217616, 27.096153846153847, 0.076977715
9, 0.63217616, 0.107624255, 26.115384615384617, 0.074191436
10, 0.107624255, 0.107624255, 26.21153846153846, 0.074464604
11, 0.107624255, 0.107624255, 24.326923076923077, 0.06911058
12, 0.107624255, 0.104958765, 24.5, 0.069602266
13, 0.104958765, 0.104958765, 22.423076923076923, 0.06370192
14, 0.104958765, 0.09839507, 25.653846153846153, 0.07288025
15, 0.09839507, 0.09839507, 20.403846153846153, 0.05796548
16, 0.09839507, 0.08343473, 20.326923076923077, 0.057746943
17, 0.08343473, 0.08343473, 18.615384615384617, 0.052884612
18, 0.08343473, 0.081956595, 18.846153846153847, 0.053540204
19, 0.081956595, 0.081956595, 20.923076923076923, 0.05944055
20, 0.081956595, 0.081956595, 19.5, 0.055397715
21, 0.081956595, 0.081956595, 20.78846153846154, 0.059058122
22, 0.081956595, 0.081956595, 20.596153846153847, 0.058511794
23, 0.081956595, 0.081956595, 20.096153846153847, 0.057091337
24, 0.081956595, 0.081956595, 21.03846153846154, 0.059768334
25, 0.081956595, 0.081956595, 20.192307692307693, 0.057364482
26, 0.081956595, 0.081956595, 20.98076923076923, 0.05960444
27, 0.081956595, 0.081956595, 20.576923076923077, 0.05845714
28, 0.081956595, 0.08093138, 20.942307692307693, 0.05949517
29, 0.08093138, 0.08093138, 20.73076923076923, 0.058894217
30, 0.08093138, 0.08093138, 20.78846153846154, 0.059058107
31, 0.08093138, 0.08079958, 19.653846153846153, 0.05583477
32, 0.08079958, 0.08079958, 20.576923076923077, 0.05845715
33, 0.08079958, 0.08079958, 19.884615384615383, 0.056490365
34, 0.08079958, 0.08079958, 20.21153846153846, 0.057419125
35, 0.08079958, 0.08079958, 20.134615384615383, 0.057200592
36, 0.08079958, 0.08079958, 21.307692307692307, 0.060533192
37, 0.08079958, 0.07687657, 20.98076923076923, 0.05960443
38, 0.07687657, 0.07661441, 20.53846153846154, 0.058347885
39, 0.07661441, 0.07661441, 21.326923076923077, 0.060587842
40, 0.07661441, 0.075837664, 21.173076923076923, 0.060150776
41, 0.075837664, 0.07496021, 20.865384615384617, 0.05927666
42, 0.07496021, 0.07496021, 21.326923076923077, 0.060587857
43, 0.07496021, 0.07496021, 21.384615384615383, 0.06075175
44, 0.07496021, 0.07496021, 20.942307692307693, 0.059495196
45, 0.07496021, 0.07496021, 20.98076923076923, 0.059604462
46, 0.07496021, 0.07496021, 21.192307692307693, 0.060205422
47, 0.07496021, 0.07495779, 20.903846153846153, 0.059385933
48, 0.07495779, 0.07495779, 20.865384615384617, 0.059276666
49, 0.07495779, 0.07495779, 21.076923076923077, 0.059877634
50, 0.07495779, 0.07495779, 20.346153846153847, 0.057801586
51, 0.07495779, 0.07495779, 19.942307692307693, 0.056654293
52, 0.07495779, 0.04656714, 19.826923076923077, 0.0563265
53, 0.04656714, 0.04656714, 19.76923076923077, 0.0561626
54, 0.04656714, 0.04656714, 20.057692307692307, 0.056982093
55, 0.04656714, 0.04656714, 19.596153846153847, 0.055670895
56, 0.04656714, 0.04656714, 19.76923076923077, 0.0561626
57, 0.04656714, 0.04656714, 20.28846153846154, 0.057637688
58, 0.04656714, 0.03996364, 21.096153846153847, 0.059932258
59, 0.03996364, 0.03996364, 21.384615384615383, 0.060751755
60, 0.03996364, 0.03996364, 22.51923076923077, 0.06397509
61, 0.03996364, 0.03996364, 22.846153846153847, 0.06490386
62, 0.03996364, 0.03996364, 22.03846153846154, 0.06260927
63, 0.03996364, 0.03996364, 22.846153846153847, 0.06490385
64, 0.03996364, 0.03508929, 22.73076923076923, 0.06457605
65, 0.03508929, 0.03508929, 23.21153846153846, 0.06594186
66, 0.03508929, 0.03508929, 23.076923076923077, 0.065559424
67, 0.03508929, 0.03508929, 22.942307692307693, 0.065177
68, 0.03508929, 0.031692654, 23.51923076923077, 0.06681599
69, 0.031692654, 0.024297638, 23.23076923076923, 0.0659965
70, 0.024297638, 0.024297638, 23.53846153846154, 0.06687062
71, 0.024297638, 0.024297638, 22.673076923076923, 0.06441215
72, 0.024297638, 0.014592802, 23.96153846153846, 0.06807255
73, 0.014592802, 0.014592802, 23.153846153846153, 0.065777965
74, 0.014592802, 0.014592802, 23.615384615384617, 0.06708917
75, 0.014592802, 0.014592802, 22.826923076923077, 0.064849205
76, 0.014592802, 0.014592802, 24.057692307692307, 0.06834572
77, 0.014592802, 0.014592802, 24.365384615384617, 0.069219835
78, 0.014592802, 0.009461059, 23.51923076923077, 0.06681599
