Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.6196344, 0.6196344, 12.875, 0.021387048
2, 0.6196344, 0.6196344, 11.34375, 0.018843435
3, 0.6196344, 0.28921586, 13.203125, 0.021932097
4, 0.28921586, 0.21593209, 13.9375, 0.023151986
5, 0.21593209, 0.14596885, 13.0625, 0.021698505
6, 0.14596885, 0.14596885, 12.3125, 0.020452658
7, 0.14596885, 0.14596885, 14.46875, 0.024034465
8, 0.14596885, 0.14596885, 14.0625, 0.023359632
9, 0.14596885, 0.14596885, 13.8125, 0.022944354
10, 0.14596885, 0.14596885, 14.03125, 0.023307724
11, 0.14596885, 0.14596885, 13.3125, 0.022113787
12, 0.14596885, 0.14596885, 13.765625, 0.022866482
13, 0.14596885, 0.14596885, 13.453125, 0.022347383
14, 0.14596885, 0.14596885, 13.328125, 0.022139741
15, 0.14596885, 0.14596885, 13.5625, 0.022529067
16, 0.14596885, 0.12893014, 13.984375, 0.023229862
17, 0.12893014, 0.12893014, 14.53125, 0.024138285
18, 0.12893014, 0.12893014, 15.46875, 0.025695594
19, 0.12893014, 0.12893014, 14.78125, 0.024553569
20, 0.12893014, 0.12893014, 14.90625, 0.02476121
21, 0.12893014, 0.12893014, 15.015625, 0.024942888
22, 0.12893014, 0.106198415, 15.609375, 0.025929192
23, 0.106198415, 0.106198415, 16.234375, 0.026967395
24, 0.106198415, 0.106198415, 15.859375, 0.026344473
25, 0.106198415, 0.106198415, 16.03125, 0.026629983
26, 0.106198415, 0.106198415, 16.421875, 0.027278861
27, 0.106198415, 0.106198415, 16.140625, 0.026811669
28, 0.106198415, 0.106198415, 15.59375, 0.025903236
29, 0.106198415, 0.106198415, 16.421875, 0.02727886
30, 0.106198415, 0.106198415, 16.34375, 0.027149083
31, 0.106198415, 0.106198415, 16.265625, 0.027019309
32, 0.106198415, 0.10287241, 15.90625, 0.026422339
33, 0.10287241, 0.10287241, 16.765625, 0.027849875
34, 0.10287241, 0.10287241, 16.015625, 0.026604023
35, 0.10287241, 0.10287241, 15.90625, 0.026422339
36, 0.10287241, 0.10287241, 16.046875, 0.026655935
37, 0.10287241, 0.10287241, 16.140625, 0.026811665
38, 0.10287241, 0.10287241, 16.59375, 0.027564356
39, 0.10287241, 0.10287241, 16.234375, 0.026967397
40, 0.10287241, 0.10287241, 15.90625, 0.02642234
41, 0.10287241, 0.10287241, 15.90625, 0.02642234
42, 0.10287241, 0.10287241, 16.515625, 0.027434587
43, 0.10287241, 0.10287241, 16.671875, 0.027694141
44, 0.10287241, 0.10287241, 15.890625, 0.026396386
45, 0.10287241, 0.10287241, 15.5, 0.025747502
46, 0.10287241, 0.10287241, 16.515625, 0.02743459
47, 0.10287241, 0.10287241, 16.6875, 0.027720096
48, 0.10287241, 0.10287241, 15.921875, 0.026448295
49, 0.10287241, 0.10287241, 15.421875, 0.025617728
50, 0.10287241, 0.10287241, 16.703125, 0.027746053
51, 0.10287241, 0.10287241, 15.796875, 0.026240654
52, 0.10287241, 0.10287241, 16.5625, 0.027512455
53, 0.10287241, 0.10287241, 15.65625, 0.026007056
54, 0.10287241, 0.10287241, 15.578125, 0.025877278
55, 0.10287241, 0.10287241, 15.734375, 0.026136832
56, 0.10287241, 0.10287241, 15.96875, 0.026526159
57, 0.10287241, 0.10287241, 17.125, 0.02844684
58, 0.10287241, 0.10287241, 15.84375, 0.026318515
59, 0.10287241, 0.10287241, 15.71875, 0.026110876
60, 0.10287241, 0.10287241, 17.234375, 0.028628524
61, 0.10287241, 0.10287241, 15.796875, 0.026240652
62, 0.10287241, 0.10287241, 15.78125, 0.026214695
63, 0.10287241, 0.10287241, 16.484375, 0.02738268
64, 0.10287241, 0.10287241, 16.09375, 0.0267338
65, 0.10287241, 0.10287241, 16.109375, 0.026759757
66, 0.10287241, 0.10287241, 16.015625, 0.026604023
67, 0.10287241, 0.10287241, 15.71875, 0.026110876
68, 0.10287241, 0.10287241, 15.578125, 0.025877278
69, 0.10287241, 0.10287241, 15.5625, 0.025851322
70, 0.10287241, 0.10287241, 16.390625, 0.027226947
71, 0.10287241, 0.10287241, 15.9375, 0.026474249
72, 0.10287241, 0.10287241, 15.765625, 0.026188744
73, 0.10287241, 0.10287241, 15.75, 0.026162786
74, 0.10287241, 0.10287241, 16.359375, 0.027175039
75, 0.10287241, 0.10287241, 15.90625, 0.026422337
76, 0.10287241, 0.09612867, 15.5, 0.025747502
77, 0.09612867, 0.09612867, 15.953125, 0.02650021
78, 0.09612867, 0.09612867, 15.859375, 0.026344474
79, 0.09612867, 0.09612867, 16.40625, 0.027252909
80, 0.09612867, 0.09612867, 16.609375, 0.02759033
81, 0.09612867, 0.09612867, 17.015625, 0.028265163
82, 0.09612867, 0.09612867, 16.96875, 0.028187303
83, 0.09612867, 0.09612867, 16.59375, 0.027564386
84, 0.09612867, 0.09612867, 17.734375, 0.029459113
85, 0.09612867, 0.09612867, 17.015625, 0.028265176
86, 0.09612867, 0.09612867, 16.859375, 0.028005622
87, 0.09612867, 0.09612867, 17.0625, 0.028343033
88, 0.09612867, 0.09215386, 16.640625, 0.027642248
89, 0.09215386, 0.09215386, 16.71875, 0.02777202
90, 0.09215386, 0.092153855, 17.453125, 0.028991912
91, 0.092153855, 0.092153855, 17.0, 0.028239211
92, 0.092153855, 0.092153855, 17.625, 0.029277418
93, 0.092153855, 0.092153855, 17.265625, 0.028680433
94, 0.092153855, 0.092153855, 16.984375, 0.028213242
95, 0.092153855, 0.092153855, 17.21875, 0.028602572
96, 0.092153855, 0.092153855, 16.578125, 0.02753841
97, 0.092153855, 0.092153855, 16.453125, 0.027330767
98, 0.092153855, 0.092153855, 16.40625, 0.027252903
99, 0.092153855, 0.092153855, 16.4375, 0.027304811
100, 0.092153855, 0.092153855, 16.78125, 0.027875828
101, 0.092153855, 0.092153855, 16.859375, 0.0280056
102, 0.092153855, 0.092153855, 17.796875, 0.02956291
103, 0.092153855, 0.092153855, 16.640625, 0.027642228
104, 0.092153855, 0.092153855, 16.421875, 0.027278857
105, 0.092153855, 0.092153855, 17.046875, 0.028317064
106, 0.092153855, 0.092153855, 16.125, 0.026785709
107, 0.092153855, 0.092153855, 16.546875, 0.0274865
108, 0.092153855, 0.092153855, 15.265625, 0.025358174
109, 0.092153855, 0.092153855, 16.328125, 0.02712313
110, 0.092153855, 0.092153855, 16.015625, 0.026604027
111, 0.092153855, 0.092153855, 16.0625, 0.026681887
112, 0.092153855, 0.092153855, 15.578125, 0.025877282
113, 0.092153855, 0.092153855, 17.109375, 0.028420882
114, 0.092153855, 0.092153855, 15.78125, 0.02621469
115, 0.092153855, 0.092153855, 17.1875, 0.028550658
116, 0.092153855, 0.092153855, 15.828125, 0.026292562
117, 0.092153855, 0.092153855, 16.34375, 0.027149083
118, 0.092153855, 0.092153855, 15.921875, 0.026448289
119, 0.092153855, 0.092153855, 16.03125, 0.026629979
120, 0.092153855, 0.092153855, 15.09375, 0.025072671
121, 0.092153855, 0.092153855, 16.3125, 0.027097175
122, 0.092153855, 0.092153855, 15.875, 0.026370421
123, 0.092153855, 0.092153855, 15.640625, 0.025981095
124, 0.092153855, 0.092153855, 15.78125, 0.026214693
125, 0.092153855, 0.092153855, 15.203125, 0.025254356
126, 0.092153855, 0.092153855, 15.734375, 0.026136834
127, 0.092153855, 0.092153855, 15.578125, 0.025877282
128, 0.092153855, 0.092153855, 15.59375, 0.025903236
129, 0.092153855, 0.092153855, 15.46875, 0.02569559
130, 0.092153855, 0.092153855, 15.046875, 0.024994807
131, 0.092153855, 0.092153855, 16.0, 0.026578072
132, 0.092153855, 0.092153855, 15.40625, 0.025591776
133, 0.092153855, 0.092153855, 15.625, 0.025955146
134, 0.092153855, 0.09215385, 16.109375, 0.02675976
135, 0.09215385, 0.09215385, 16.265625, 0.027019309
136, 0.09215385, 0.09215385, 15.203125, 0.025254358
137, 0.09215385, 0.09215385, 14.75, 0.02450166
138, 0.09215385, 0.09215385, 15.046875, 0.024994805
139, 0.09215385, 0.09215385, 14.796875, 0.024579525
140, 0.09215385, 0.09215385, 13.921875, 0.023126043
