Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.5124935, 0.5124935, 21.25, 0.015717452
2, 0.5124935, 0.5124935, 27.183333333333334, 0.020106014
3, 0.5124935, 0.51035255, 21.416666666666668, 0.015840726
4, 0.51035255, 0.33234036, 17.05, 0.012610943
5, 0.33234036, 0.26542482, 18.55, 0.013720407
6, 0.26542482, 0.25297832, 19.716666666666665, 0.014583328
7, 0.25297832, 0.25297832, 20.65, 0.015273661
8, 0.25297832, 0.25297832, 21.2, 0.015680466
9, 0.25297832, 0.2370559, 21.133333333333333, 0.015631158
10, 0.2370559, 0.2370559, 23.25, 0.017196743
11, 0.2370559, 0.2370559, 21.1, 0.015606505
12, 0.2370559, 0.23554257, 20.266666666666666, 0.014990136
13, 0.23554257, 0.23514919, 20.45, 0.0151257375
14, 0.23514919, 0.22129147, 21.516666666666666, 0.015914697
15, 0.22129147, 0.22129147, 20.65, 0.0152736725
16, 0.22129147, 0.21773346, 20.65, 0.0152736725
17, 0.21773346, 0.10326267, 21.2, 0.015680477
18, 0.10326267, 0.10326267, 21.266666666666666, 0.015729781
19, 0.10326267, 0.10326267, 22.3, 0.016494082
20, 0.10326267, 0.10326267, 25.233333333333334, 0.018663706
21, 0.10326267, 0.038333442, 22.983333333333334, 0.016999505
22, 0.038333442, 0.038333442, 23.733333333333334, 0.017554237
23, 0.038333442, 0.038333442, 19.116666666666667, 0.014139551
24, 0.038333442, 0.038333442, 18.083333333333332, 0.01337525
25, 0.038333442, 0.032592736, 16.583333333333332, 0.012265781
26, 0.032592736, 0.032592736, 15.65, 0.011575446
27, 0.032592736, 0.030481167, 16.05, 0.011871303
28, 0.030481167, 0.028774537, 15.633333333333333, 0.011563118
29, 0.028774537, 0.028774537, 17.15, 0.0126849115
30, 0.028774537, 0.028774537, 17.883333333333333, 0.01322732
31, 0.028774537, 0.028774537, 20.083333333333332, 0.014854537
32, 0.028774537, 0.028774537, 21.15, 0.015643492
33, 0.028774537, 0.025870647, 21.116666666666667, 0.015618834
34, 0.025870647, 0.025870647, 21.333333333333332, 0.015779091
35, 0.025870647, 0.025870647, 21.483333333333334, 0.015890038
36, 0.025870647, 0.024842475, 21.483333333333334, 0.01589004
37, 0.024842475, 0.024842475, 21.416666666666668, 0.015840728
38, 0.024842475, 0.01901594, 21.716666666666665, 0.016062623
39, 0.01901594, 0.01901594, 21.083333333333332, 0.015594178
40, 0.01901594, 0.01901594, 22.0, 0.016272185
41, 0.01901594, 0.01901594, 21.366666666666667, 0.015803743
42, 0.01901594, 0.01901594, 21.7, 0.016050292
43, 0.01901594, 0.01901594, 22.15, 0.016383132
44, 0.01901594, 0.01901594, 21.35, 0.015791418
45, 0.01901594, 0.017749943, 22.616666666666667, 0.0167283
46, 0.017749943, 0.017749943, 23.216666666666665, 0.017172093
47, 0.017749943, 0.017749943, 23.766666666666666, 0.017578894
48, 0.017749943, 0.017749943, 24.766666666666666, 0.01831854
49, 0.017749943, 0.017749943, 23.8, 0.017603548
50, 0.017749943, 0.017749943, 23.95, 0.017714497
51, 0.017749943, 0.017749943, 23.5, 0.017381657
