Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 1.5684448, 1.0823295, 21.086206896551722, 0.010532572
2, 1.0823295, 1.0823295, 15.10344827586207, 0.00754418
3, 1.0823295, 1.0823295, 13.258620689655173, 0.006622687
4, 1.0823295, 1.0823295, 10.982758620689655, 0.0054858937
5, 1.0823295, 1.0823295, 10.637931034482758, 0.0053136516
6, 1.0823295, 1.0823295, 11.96551724137931, 0.005976781
7, 1.0823295, 0.38036573, 10.172413793103448, 0.005081124
8, 0.38036573, 0.38036573, 12.086206896551724, 0.0060370658
9, 0.38036573, 0.38036573, 11.5, 0.0057442547
10, 0.38036573, 0.38036573, 14.46551724137931, 0.0072255326
11, 0.38036573, 0.38036573, 14.655172413793103, 0.007320265
12, 0.38036573, 0.38036573, 15.189655172413794, 0.0075872377
13, 0.38036573, 0.38036573, 12.931034482758621, 0.0064590555
14, 0.38036573, 0.18775697, 13.172413793103448, 0.006579624
15, 0.18775697, 0.079332, 12.46551724137931, 0.00622653
16, 0.079332, 0.079332, 13.327586206896552, 0.006657133
17, 0.079332, 0.079332, 13.862068965517242, 0.006924108
18, 0.079332, 0.079332, 13.086206896551724, 0.006536564
19, 0.079332, 0.079332, 14.120689655172415, 0.0070532905
20, 0.079332, 0.079332, 13.0, 0.006493505
21, 0.079332, 0.079332, 14.344827586206897, 0.007165245
22, 0.079332, 0.079332, 12.379310344827585, 0.0061834697
23, 0.079332, 0.079332, 13.293103448275861, 0.00663991
24, 0.079332, 0.079332, 13.758620689655173, 0.0068724365
25, 0.079332, 0.079331964, 13.258620689655173, 0.006622685
26, 0.079331964, 0.079331964, 13.53448275862069, 0.006760479
27, 0.079331964, 0.079331964, 13.60344827586207, 0.006794928
28, 0.079331964, 0.079331964, 13.758620689655173, 0.0068724356
29, 0.079331964, 0.079331964, 13.741379310344827, 0.006863823
30, 0.079331964, 0.079331964, 15.241379310344827, 0.007613073
31, 0.079331964, 0.079331964, 14.551724137931034, 0.00726859
32, 0.079331964, 0.079331964, 14.620689655172415, 0.007303039
33, 0.079331964, 0.079331964, 14.413793103448276, 0.0071996944
34, 0.079331964, 0.079331964, 15.344827586206897, 0.0076647485
35, 0.079331964, 0.079331964, 14.53448275862069, 0.0072599784
36, 0.079331964, 0.066879995, 14.46551724137931, 0.0072255298
37, 0.066879995, 0.0330997, 15.051724137931034, 0.0075183418
38, 0.0330997, 0.0330997, 15.137931034482758, 0.007561402
39, 0.0330997, 0.0330997, 15.568965517241379, 0.007776704
40, 0.0330997, 0.0330997, 15.931034482758621, 0.007957556
41, 0.0330997, 0.0330997, 14.293103448275861, 0.007139409
42, 0.0330997, 0.0330997, 14.879310344827585, 0.0074322196
43, 0.0330997, 0.0330997, 14.672413793103448, 0.0073288744
44, 0.0330997, 0.0330997, 15.448275862068966, 0.007716418
45, 0.0330997, 0.0330997, 13.793103448275861, 0.006889658
46, 0.0330997, 0.0330997, 15.844827586206897, 0.007914496
47, 0.0330997, 0.0330997, 14.10344827586207, 0.007044676
48, 0.0330997, 0.0330997, 14.310344827586206, 0.007148022
49, 0.0330997, 0.0330997, 15.689655172413794, 0.007836987
50, 0.0330997, 0.0330997, 14.879310344827585, 0.007432218
51, 0.0330997, 0.0330997, 14.344827586206897, 0.0071652452
52, 0.0330997, 0.0330997, 15.03448275862069, 0.007509729
53, 0.0330997, 0.0330997, 14.275862068965518, 0.007130797
54, 0.0330997, 0.0330997, 14.741379310344827, 0.0073633213
55, 0.0330997, 0.0330997, 15.5, 0.007742256
56, 0.0330997, 0.0330997, 14.241379310344827, 0.007113573
57, 0.0330997, 0.0330997, 15.724137931034482, 0.007854211
58, 0.0330997, 0.0330997, 13.724137931034482, 0.0068552108
59, 0.0330997, 0.0330997, 14.241379310344827, 0.0071135727
60, 0.0330997, 0.0330997, 14.586206896551724, 0.0072858143
61, 0.0330997, 0.0330997, 14.344827586206897, 0.0071652466
62, 0.0330997, 0.0330997, 14.413793103448276, 0.007199694
63, 0.0330997, 0.0330997, 13.689655172413794, 0.006837986
64, 0.0330997, 0.0330997, 15.724137931034482, 0.007854212
65, 0.0330997, 0.0330997, 14.275862068965518, 0.007130797
66, 0.0330997, 0.0330997, 13.931034482758621, 0.006958556
67, 0.0330997, 0.0330997, 14.551724137931034, 0.0072685895
68, 0.0330997, 0.0330997, 14.60344827586207, 0.007294426
69, 0.0330997, 0.0330997, 16.03448275862069, 0.008009229
70, 0.0330997, 0.0330997, 14.39655172413793, 0.007191082
71, 0.0330997, 0.0330997, 13.344827586206897, 0.0066657453
72, 0.0330997, 0.0330997, 15.810344827586206, 0.007897272
73, 0.0330997, 0.0330997, 14.844827586206897, 0.007414995
74, 0.0330997, 0.0330997, 14.206896551724139, 0.007096349
75, 0.0330997, 0.0330997, 15.275862068965518, 0.0076302974
76, 0.0330997, 0.028867697, 16.25862068965517, 0.008121186
77, 0.028867697, 0.028867697, 14.39655172413793, 0.0071910815
78, 0.028867697, 0.028867697, 14.5, 0.0072427555
79, 0.028867697, 0.028867697, 14.862068965517242, 0.0074236067
80, 0.028867697, 0.028867697, 15.137931034482758, 0.0075614024
81, 0.028867697, 0.028867697, 14.448275862068966, 0.0072169174
82, 0.028867697, 0.028867697, 14.551724137931034, 0.00726859
83, 0.028867697, 0.028867697, 16.0, 0.007992005
84, 0.028867697, 0.028867697, 13.775862068965518, 0.0068810466
85, 0.028867697, 0.028867697, 14.46551724137931, 0.0072255298
86, 0.028867697, 0.028867697, 13.982758620689655, 0.0069843912
87, 0.028867697, 0.028867697, 13.913793103448276, 0.0069499454
88, 0.028867697, 0.028867697, 14.913793103448276, 0.0074494435
89, 0.028867697, 0.028867697, 15.10344827586207, 0.0075441753
90, 0.028867697, 0.028867697, 14.689655172413794, 0.0073374864
91, 0.028867697, 0.028867697, 15.827586206896552, 0.007905884
92, 0.028867697, 0.028867697, 15.724137931034482, 0.007854212
93, 0.028867697, 0.028867697, 14.758620689655173, 0.007371936
94, 0.028867697, 0.028867697, 15.293103448275861, 0.0076389094
95, 0.028867697, 0.028867697, 14.931034482758621, 0.007458057
96, 0.028867697, 0.028867697, 15.39655172413793, 0.007690584
97, 0.028867697, 0.028867697, 15.706896551724139, 0.007845599
98, 0.028867697, 0.028867697, 13.89655172413793, 0.006941332
99, 0.028867697, 0.028867697, 14.620689655172415, 0.007303039
100, 0.028867697, 0.028867697, 13.879310344827585, 0.006932719
101, 0.028867697, 0.028867697, 14.10344827586207, 0.007044676
102, 0.028867697, 0.028867697, 15.672413793103448, 0.007828374
103, 0.028867697, 0.028867697, 15.362068965517242, 0.007673359
104, 0.028867697, 0.028867697, 14.862068965517242, 0.007423608
105, 0.028867697, 0.028867697, 15.448275862068966, 0.007716418
106, 0.028867697, 0.028867697, 14.0, 0.006993004
107, 0.028867697, 0.028867697, 15.10344827586207, 0.0075441776
108, 0.028867697, 0.028867697, 14.46551724137931, 0.0072255293
109, 0.028867697, 0.028867697, 13.96551724137931, 0.0069757793
110, 0.028867697, 0.028867697, 15.275862068965518, 0.0076302984
111, 0.028867697, 0.028867697, 14.189655172413794, 0.0070877364
112, 0.028867697, 0.028867697, 14.10344827586207, 0.007044677
113, 0.028867697, 0.028867697, 15.241379310344827, 0.0076130736
114, 0.028867697, 0.028867697, 15.017241379310345, 0.0075011174
115, 0.028867697, 0.028867697, 15.724137931034482, 0.007854212
116, 0.028867697, 0.028867697, 14.137931034482758, 0.0070619
117, 0.028867697, 0.028867697, 14.586206896551724, 0.0072858147
118, 0.028867697, 0.028867697, 15.155172413793103, 0.007570013
119, 0.028867697, 0.028867697, 15.810344827586206, 0.007897272
120, 0.028867697, 0.028867697, 14.672413793103448, 0.007328875
121, 0.028867697, 0.028867697, 14.482758620689655, 0.0072341426
122, 0.028867697, 0.028867697, 14.60344827586207, 0.007294427
123, 0.028867697, 0.028867697, 15.379310344827585, 0.00768197
124, 0.028867697, 0.028867697, 15.913793103448276, 0.007948944
125, 0.028867697, 0.028867697, 14.810344827586206, 0.0073977713
126, 0.028867697, 0.028867697, 15.0, 0.007492504
127, 0.028867697, 0.028867697, 14.586206896551724, 0.0072858147
128, 0.028867697, 0.028867697, 14.60344827586207, 0.0072944257
129, 0.028867697, 0.028867697, 13.775862068965518, 0.0068810475
130, 0.028867697, 0.028867697, 14.844827586206897, 0.0074149957
131, 0.028867697, 0.028867697, 14.60344827586207, 0.0072944257
132, 0.028867697, 0.028867697, 16.25862068965517, 0.008121187
133, 0.028867697, 0.028867697, 14.793103448275861, 0.0073891594
134, 0.028867697, 0.028867697, 13.931034482758621, 0.0069585554
135, 0.028867697, 0.028867697, 15.793103448275861, 0.007888659
136, 0.028867697, 0.028867697, 14.327586206896552, 0.007156634
137, 0.028867697, 0.028867697, 14.310344827586206, 0.0071480204
138, 0.028867697, 0.028867697, 13.620689655172415, 0.0068035387
139, 0.028867697, 0.028867697, 14.172413793103448, 0.007079124
140, 0.028867697, 0.028867697, 15.206896551724139, 0.007595849
141, 0.028867697, 0.028867697, 14.017241379310345, 0.0070016175
142, 0.028867697, 0.028867697, 14.344827586206897, 0.0071652466
143, 0.028867697, 0.028867697, 14.413793103448276, 0.0071996935
144, 0.028867697, 0.028867697, 14.10344827586207, 0.007044678
145, 0.028867697, 0.028867697, 14.310344827586206, 0.007148022
146, 0.028867697, 0.028867697, 16.362068965517242, 0.0081728585
147, 0.028867697, 0.028867697, 14.431034482758621, 0.0072083063
