Iteration, Fitness nach Rekombination, Fitness nach Mutation, Anzahl aktiver Knoten, Anteil aktiver Knoten
1, 0.73877466, 0.5437059, 18.633333333333333, 0.01690865
2, 0.5437059, 0.5437059, 22.016666666666666, 0.019978825
3, 0.5437059, 0.5384919, 16.966666666666665, 0.015396246
4, 0.5384919, 0.49671218, 20.4, 0.018511798
5, 0.3955905, 0.3752732, 18.0, 0.016333936
6, 0.35205868, 0.3752732, 22.066666666666666, 0.020024203
7, 0.35088894, 0.31829482, 25.683333333333334, 0.02330611
8, 0.30764306, 0.29731497, 27.333333333333332, 0.024803394
9, 0.29514506, 0.26878184, 26.616666666666667, 0.024153056
10, 0.26878184, 0.26872617, 27.866666666666667, 0.025287362
11, 0.26375046, 0.26691842, 27.5, 0.024954636
12, 0.26375046, 0.26691842, 27.6, 0.025045376
13, 0.26375046, 0.25691086, 27.816666666666666, 0.025241992
14, 0.25691086, 0.25691086, 28.266666666666666, 0.025650345
15, 0.251424, 0.25344047, 28.4, 0.025771331
16, 0.25033578, 0.2442251, 28.4, 0.025771331
17, 0.2442251, 0.24283054, 28.166666666666668, 0.025559595
18, 0.24277797, 0.24283054, 28.166666666666668, 0.025559593
19, 0.24283054, 0.23721284, 29.533333333333335, 0.026799757
20, 0.23718049, 0.23721284, 29.633333333333333, 0.026890507
21, 0.23721284, 0.23706104, 30.033333333333335, 0.027253484
22, 0.23706104, 0.23706104, 29.083333333333332, 0.026391411
23, 0.23706104, 0.23706104, 29.366666666666667, 0.026648521
24, 0.23706104, 0.23356847, 30.4, 0.027586205
25, 0.23344222, 0.23334365, 32.233333333333334, 0.029249847
26, 0.23330164, 0.23334365, 31.716666666666665, 0.028781002
27, 0.23334365, 0.23334365, 29.533333333333335, 0.02679976
28, 0.23334365, 0.23334365, 29.166666666666668, 0.026467036
29, 0.23334365, 0.23334365, 28.85, 0.026179675
30, 0.23334365, 0.23334365, 28.733333333333334, 0.02607381
31, 0.23334365, 0.23334365, 28.133333333333333, 0.025529347
32, 0.23334365, 0.23334365, 28.233333333333334, 0.025620094
33, 0.23334365, 0.23334365, 28.766666666666666, 0.026104061
34, 0.23334365, 0.23334365, 28.45, 0.025816703
35, 0.23334365, 0.23334365, 29.3, 0.026588025
36, 0.23334365, 0.23334365, 28.633333333333333, 0.025983065
37, 0.23334365, 0.23334365, 28.716666666666665, 0.026058685
38, 0.23334365, 0.23334365, 28.45, 0.0258167
39, 0.23334365, 0.23334365, 28.7, 0.026043564
40, 0.23334365, 0.23334365, 28.85, 0.026179679
41, 0.23334365, 0.23334365, 28.833333333333332, 0.026164554
42, 0.23334365, 0.23329107, 28.983333333333334, 0.026300672
43, 0.23329107, 0.23329107, 29.383333333333333, 0.026663648
44, 0.23329107, 0.23282482, 30.9, 0.028039936
45, 0.23282482, 0.23252113, 32.13333333333333, 0.029159121
46, 0.23252113, 0.23252113, 31.95, 0.02899276
47, 0.23252113, 0.23252113, 32.333333333333336, 0.029340614
48, 0.23252113, 0.23222363, 31.6, 0.028675145
49, 0.23222363, 0.23218781, 32.233333333333334, 0.029249853
50, 0.23218781, 0.23218781, 31.683333333333334, 0.028750759
51, 0.23200585, 0.23200585, 31.683333333333334, 0.028750766
52, 0.23200585, 0.2319154, 32.31666666666667, 0.029325472
53, 0.2319154, 0.23160739, 32.233333333333334, 0.029249864
54, 0.23160739, 0.23160739, 33.38333333333333, 0.030293426
55, 0.23160739, 0.23160739, 32.93333333333333, 0.029885076
56, 0.23160739, 0.23135613, 33.0, 0.02994557
57, 0.23135613, 0.23135613, 31.933333333333334, 0.028977625
58, 0.23135613, 0.23135613, 31.6, 0.028675146
59, 0.23135613, 0.23135613, 29.766666666666666, 0.02701149
60, 0.23135613, 0.22984742, 30.983333333333334, 0.028115543
61, 0.22984742, 0.22984742, 31.25, 0.028357524
62, 0.22984742, 0.22984742, 30.683333333333334, 0.027843308
63, 0.229677, 0.22465646, 31.016666666666666, 0.028145785
64, 0.2243424, 0.22409746, 30.85, 0.027994549
65, 0.22409746, 0.22409746, 30.816666666666666, 0.027964301
66, 0.22409746, 0.22409746, 31.466666666666665, 0.028554145
67, 0.22409746, 0.10488822, 31.216666666666665, 0.028327296
68, 0.10488822, 0.10488822, 29.75, 0.026996383
69, 0.10488822, 0.08304169, 16.683333333333334, 0.015139136
70, 0.08304169, 0.08304169, 12.966666666666667, 0.01176648
71, 0.08304169, 0.08266963, 13.95, 0.012658799
72, 0.08266963, 0.07862832, 13.5, 0.012250453
73, 0.07862832, 0.05732881, 13.283333333333333, 0.012053838
74, 0.05732881, 0.05732881, 13.583333333333334, 0.012326072
75, 0.05084609, 0.05084609, 13.75, 0.012477311
76, 0.040955525, 0.04972364, 14.383333333333333, 0.013052026
77, 0.04972364, 0.04972364, 13.683333333333334, 0.012416815
78, 0.034933344, 0.034933344, 13.133333333333333, 0.011917723
79, 0.034933344, 0.034933344, 13.6, 0.012341197
80, 0.034933344, 0.034933344, 12.75, 0.011569871
81, 0.034933344, 0.034933344, 14.316666666666666, 0.012991527
82, 0.034933344, 0.034933344, 13.25, 0.012023591
83, 0.034933344, 0.034933344, 14.0, 0.012704169
84, 0.034933344, 0.034933344, 14.066666666666666, 0.012764666
85, 0.034933344, 0.034933344, 15.083333333333334, 0.01368723
86, 0.034933344, 0.034933344, 13.2, 0.011978217
87, 0.034933344, 0.034933344, 13.716666666666667, 0.012447063
88, 0.034933344, 0.034933344, 13.6, 0.012341196
89, 0.034933344, 0.034933344, 13.983333333333333, 0.012689048
90, 0.034933344, 0.034933344, 13.883333333333333, 0.012598303
91, 0.034933344, 0.034933344, 14.366666666666667, 0.013036898
92, 0.034933344, 0.034933344, 15.083333333333334, 0.013687233
93, 0.034933344, 0.034933344, 14.75, 0.01338475
94, 0.034933344, 0.034933344, 12.666666666666666, 0.011494251
95, 0.034933344, 0.034933344, 14.55, 0.013203261
96, 0.034933344, 0.034933344, 13.683333333333334, 0.0124168135
97, 0.034933344, 0.034933344, 13.2, 0.011978217
98, 0.034933344, 0.034933344, 13.15, 0.011932845
99, 0.034933344, 0.034933344, 15.366666666666667, 0.013944341
100, 0.034933344, 0.034933344, 14.2, 0.012885658
101, 0.034933344, 0.034933344, 13.966666666666667, 0.012673923
102, 0.034933344, 0.034933344, 15.316666666666666, 0.013898967
103, 0.034933344, 0.034933344, 13.183333333333334, 0.011963093
104, 0.034933344, 0.034933344, 13.383333333333333, 0.012144581
105, 0.034933344, 0.034933344, 13.75, 0.012477311
106, 0.034933344, 0.034933344, 14.233333333333333, 0.012915908
107, 0.034933344, 0.034933344, 14.216666666666667, 0.012900783
108, 0.034933344, 0.034933344, 12.5, 0.011343011
109, 0.034933344, 0.034933344, 13.466666666666667, 0.012220203
110, 0.034933344, 0.034933344, 13.366666666666667, 0.012129458
111, 0.034933344, 0.03428412, 13.4, 0.012159707
112, 0.03428412, 0.03428412, 14.1, 0.012794917
113, 0.03428412, 0.03428412, 14.233333333333333, 0.012915909
114, 0.03428412, 0.03428412, 14.433333333333334, 0.013097399
115, 0.03428412, 0.03428412, 14.666666666666666, 0.01330914
116, 0.03428412, 0.03428412, 15.166666666666666, 0.01376286
117, 0.03428412, 0.03428412, 15.15, 0.013747731
118, 0.03428412, 0.03428412, 13.95, 0.012658804
119, 0.03428412, 0.03428412, 14.433333333333334, 0.013097401
120, 0.03428412, 0.03428412, 14.9, 0.013520875
121, 0.03428412, 0.03428412, 14.2, 0.0128856655
122, 0.03428412, 0.03428412, 15.116666666666667, 0.013717489
123, 0.03428412, 0.03428412, 13.966666666666667, 0.0126739275
124, 0.03428412, 0.03428412, 14.866666666666667, 0.013490626
125, 0.03428412, 0.03428412, 15.7, 0.014246828
126, 0.03428412, 0.03428412, 15.883333333333333, 0.014413192
127, 0.03428412, 0.03428412, 15.533333333333333, 0.014095589
128, 0.03428412, 0.03428412, 14.2, 0.012885665
129, 0.03428412, 0.03428412, 14.916666666666666, 0.013535997
130, 0.03428412, 0.03428412, 13.866666666666667, 0.012583185
131, 0.03428412, 0.03428412, 15.566666666666666, 0.014125837
132, 0.03428412, 0.03428412, 14.9, 0.013520877
133, 0.03428412, 0.03428412, 14.8, 0.013430132
134, 0.03428412, 0.03428412, 15.083333333333334, 0.013687238
135, 0.03428412, 0.03428412, 15.866666666666667, 0.014398069
136, 0.03428412, 0.03428412, 16.033333333333335, 0.014549308
137, 0.03428412, 0.03428412, 15.066666666666666, 0.013672115
138, 0.03428412, 0.03428412, 14.266666666666667, 0.012946161
139, 0.03428412, 0.03428412, 14.5, 0.013157899
140, 0.03428412, 0.03428412, 14.633333333333333, 0.013278892
141, 0.03428412, 0.03428412, 15.266666666666667, 0.013853604
142, 0.03428412, 0.029747147, 14.616666666666667, 0.013263768
143, 0.029747147, 0.029747147, 14.383333333333333, 0.013052031
144, 0.029747147, 0.029747147, 15.066666666666666, 0.013672115
145, 0.029747147, 0.029747147, 15.216666666666667, 0.013808231
146, 0.029747147, 0.029747147, 14.8, 0.013430132
147, 0.029747147, 0.029747147, 15.216666666666667, 0.013808229
148, 0.029747147, 0.029747147, 15.083333333333334, 0.013687236
149, 0.029747147, 0.029747147, 16.133333333333333, 0.014640049
150, 0.029747147, 0.029445553, 16.683333333333334, 0.015139142
151, 0.029445553, 0.029445553, 14.916666666666666, 0.013535996
152, 0.029445553, 0.029445553, 15.583333333333334, 0.014140957
153, 0.029445553, 0.029445553, 15.766666666666667, 0.014307322
154, 0.029445553, 0.026862316, 14.533333333333333, 0.013188145
155, 0.026862316, 0.026862316, 15.166666666666666, 0.013762861
156, 0.026862316, 0.026862316, 14.383333333333333, 0.01305203
157, 0.026862316, 0.026862316, 15.116666666666667, 0.013717487
158, 0.026862316, 0.026862316, 14.85, 0.013475502
159, 0.026862316, 0.026862316, 14.966666666666667, 0.013581368
160, 0.026862316, 0.026862316, 16.216666666666665, 0.014715671
161, 0.026862316, 0.026862316, 16.133333333333333, 0.01464005
162, 0.026862316, 0.026862316, 15.266666666666667, 0.0138536
163, 0.026862316, 0.026862316, 16.166666666666668, 0.014670298
164, 0.026862316, 0.026862316, 15.166666666666666, 0.013762856
165, 0.026862316, 0.026862316, 14.9, 0.013520872
166, 0.026862316, 0.026862316, 15.983333333333333, 0.014503934
167, 0.026862316, 0.026862316, 15.183333333333334, 0.01377798
168, 0.026862316, 0.026862316, 16.316666666666666, 0.014806415
169, 0.026862316, 0.026862316, 15.833333333333334, 0.014367817
170, 0.026862316, 0.026862316, 16.083333333333332, 0.014594678
171, 0.026862316, 0.026862316, 16.233333333333334, 0.014730793
172, 0.026862316, 0.026862316, 15.116666666666667, 0.013717485
173, 0.026862316, 0.026862316, 15.683333333333334, 0.0142317
174, 0.026862316, 0.026862316, 15.666666666666666, 0.014216576
175, 0.026862316, 0.026862316, 15.05, 0.013656989
176, 0.026862316, 0.026862316, 15.633333333333333, 0.014186328
177, 0.026862316, 0.026862316, 16.066666666666666, 0.014579553
178, 0.026862316, 0.026862316, 15.683333333333334, 0.0142317
179, 0.026862316, 0.026862316, 15.5, 0.014065337
180, 0.026862316, 0.026862316, 16.316666666666666, 0.014806414
181, 0.026862316, 0.026862316, 15.066666666666666, 0.0136721125
182, 0.026862316, 0.026862316, 16.5, 0.014972779
183, 0.026862316, 0.026862316, 15.866666666666667, 0.014398065
184, 0.026862316, 0.026862316, 16.233333333333334, 0.014730794
185, 0.026862316, 0.026862316, 16.25, 0.014745919
186, 0.026862316, 0.026862316, 15.616666666666667, 0.0141712045
187, 0.026862316, 0.026862316, 15.083333333333334, 0.013687237
188, 0.026862316, 0.026862316, 15.916666666666666, 0.014443437
189, 0.026862316, 0.026862316, 14.783333333333333, 0.013415004
190, 0.026862316, 0.026862316, 15.45, 0.014019964
191, 0.026862316, 0.026862316, 15.183333333333334, 0.013777981
192, 0.026862316, 0.026862316, 15.6, 0.01415608
193, 0.026862316, 0.026862316, 14.55, 0.013203267
194, 0.026862316, 0.026862316, 15.35, 0.013929221
195, 0.026862316, 0.026862316, 15.733333333333333, 0.014277074
196, 0.026862316, 0.026862316, 15.433333333333334, 0.014004842
197, 0.026862316, 0.026862316, 15.1, 0.013702361
198, 0.026862316, 0.026862316, 15.15, 0.013747733
199, 0.026862316, 0.026862316, 16.1, 0.014609803
200, 0.026862316, 0.026862316, 15.633333333333333, 0.014186328
201, 0.026862316, 0.026862316, 17.233333333333334, 0.015638236
202, 0.026862316, 0.026862316, 15.283333333333333, 0.013868725
203, 0.026862316, 0.026862316, 15.933333333333334, 0.014458562
204, 0.026862316, 0.026862316, 15.6, 0.014156082
205, 0.026862316, 0.026862316, 16.75, 0.015199641
206, 0.026862316, 0.026862316, 15.0, 0.013611617
207, 0.026862316, 0.026862316, 15.816666666666666, 0.014352693
208, 0.026862316, 0.026862316, 16.45, 0.014927406
209, 0.026862316, 0.026862316, 14.633333333333333, 0.013278889
210, 0.026862316, 0.026862316, 15.983333333333333, 0.014503934
211, 0.026862316, 0.026862316, 16.016666666666666, 0.01453418
212, 0.026862316, 0.026862316, 16.616666666666667, 0.015078646
213, 0.026862316, 0.026862316, 15.05, 0.013656988
214, 0.026862316, 0.026862316, 15.866666666666667, 0.014398066
215, 0.026862316, 0.026862316, 14.933333333333334, 0.013551122
216, 0.026862316, 0.026862316, 15.35, 0.013929221
217, 0.026862316, 0.026862316, 15.616666666666667, 0.014171204
218, 0.026862316, 0.026862316, 14.716666666666667, 0.013354508
219, 0.026862316, 0.026862316, 15.65, 0.014201452
220, 0.026862316, 0.026862316, 15.966666666666667, 0.01448881
221, 0.026862316, 0.026862316, 15.133333333333333, 0.013732608
222, 0.026862316, 0.026862316, 15.5, 0.014065338
223, 0.026862316, 0.026862316, 15.216666666666667, 0.013808229
224, 0.026862316, 0.026862316, 15.916666666666666, 0.0144434385
225, 0.026862316, 0.026862316, 16.133333333333333, 0.01464005
226, 0.026862316, 0.026862316, 16.033333333333335, 0.014549307
227, 0.026862316, 0.026862316, 15.133333333333333, 0.01373261
228, 0.026862316, 0.026862316, 15.55, 0.01411071
229, 0.026862316, 0.026862316, 16.733333333333334, 0.015184515
