Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,06843106; 0,06843106; 12,958333333333334; 0,025813416
2; 0,06843106; 0,06843106; 15,1875; 0,030253982
3; 0,06843106; 0,06843106; 14,583333333333334; 0,029050468
4; 0,06843106; 0,06843106; 14,666666666666666; 0,029216468
5; 0,06843106; 0,05781486; 15,625; 0,031125503
6; 0,05781486; 0,05781486; 14,895833333333334; 0,029672975
7; 0,05781486; 0,05781486; 14,5; 0,028884463
8; 0,05781486; 0,052353956; 16,666666666666668; 0,033200532
9; 0,052353956; 0,052353956; 16,875; 0,03361554
10; 0,052353956; 0,052353956; 15,270833333333334; 0,030419983
11; 0,052353956; 0,052353956; 14,708333333333334; 0,029299468
12; 0,052353956; 0,052353956; 14,1875; 0,028261952
13; 0,052353956; 0,052353956; 15,416666666666666; 0,030710494
14; 0,052353956; 0,052353956; 15,104166666666666; 0,030087987
15; 0,052353956; 0,052353956; 14,770833333333334; 0,029423973
16; 0,052353956; 0,04815927; 14,729166666666666; 0,029340973
17; 0,04815927; 0,04815927; 14,895833333333334; 0,029672971
18; 0,04815927; 0,03164021; 17,125; 0,034113545
19; 0,03164021; 0,03017149; 19,645833333333332; 0,039135125
20; 0,03017149; 0,03017149; 20,8125; 0,041459158
21; 0,03017149; 0,03017149; 21,708333333333332; 0,04324369
22; 0,03017149; 0,023560096; 26,125; 0,052041832
23; 0,023560096; 0,023560096; 26,770833333333332; 0,053328354
24; 0,023560096; 0,023560096; 26,3125; 0,052415337
25; 0,023560096; 0,023560096; 26,895833333333332; 0,05357735
26; 0,023560096; 0,023560096; 27,041666666666668; 0,05386785
27; 0,023560096; 0,023560096; 26,916666666666668; 0,05361886
28; 0,023560096; 0,023560096; 26,979166666666668; 0,05374336
29; 0,023560096; 0,02356009; 27,583333333333332; 0,05494687
30; 0,02356009; 0,02356009; 26,729166666666668; 0,05324535
31; 0,02356009; 0,02356009; 26,833333333333332; 0,053452853
32; 0,02356009; 0,02356009; 26,333333333333332; 0,052456837
33; 0,02356009; 0,02356009; 26,666666666666668; 0,05312085
34; 0,02356009; 0,02356009; 25,270833333333332; 0,05034031
35; 0,02356009; 0,02356009; 26,875; 0,053535853
36; 0,02356009; 0,02356009; 27,125; 0,05403385
37; 0,02356009; 0,02356009; 27,666666666666668; 0,055112872
38; 0,02356009; 0,02356009; 27,395833333333332; 0,05457337
39; 0,02356009; 0,02356009; 26,916666666666668; 0,05361885
40; 0,02356009; 0,02356009; 27,333333333333332; 0,05444887
41; 0,02356009; 0,02356009; 26,5; 0,052788842
42; 0,02356009; 0,02356009; 27,020833333333332; 0,05382635
43; 0,02356009; 0,02356009; 27,229166666666668; 0,05424136
44; 0,02356009; 0,02356009; 27,5625; 0,054905374
45; 0,02356009; 0,02356009; 25,854166666666668; 0,05150233
46; 0,02356009; 0,02356009; 26,5625; 0,052913338
47; 0,02356009; 0,02356009; 27,0625; 0,05390935
48; 0,02356009; 0,02356009; 26,979166666666668; 0,05374336
49; 0,02356009; 0,02356009; 25,770833333333332; 0,05133632
50; 0,02356009; 0,02356009; 27,270833333333332; 0,05432437
51; 0,02356009; 0,02356009; 26,604166666666668; 0,05299635
52; 0,02356009; 0,02356009; 27,479166666666668; 0,05473937
53; 0,02356009; 0,02356009; 26,791666666666668; 0,053369846
54; 0,02356009; 0,02356009; 26,270833333333332; 0,05233233
55; 0,02356009; 0,02356009; 26,583333333333332; 0,052954853
56; 0,02356009; 0,02356009; 25,875; 0,05154382
57; 0,02356009; 0,02356009; 27,166666666666668; 0,054116864
58; 0,02356009; 0,02356009; 26,666666666666668; 0,053120848
59; 0,02356009; 0,02356009; 27,75; 0,05527888
60; 0,02356009; 0,02356009; 26,666666666666668; 0,053120848
61; 0,02356009; 0,02356009; 27,375; 0,05453187
62; 0,02356009; 0,02356009; 26,541666666666668; 0,052871842
63; 0,02356009; 0,02356009; 27,083333333333332; 0,053950857
64; 0,02356009; 0,02356009; 26,791666666666668; 0,053369846
65; 0,02356009; 0,02356009; 26,854166666666668; 0,05349436
66; 0,02356009; 0,02356009; 27,041666666666668; 0,053867858
67; 0,02356009; 0,02356009; 26,270833333333332; 0,052332338
68; 0,02356009; 0,02356009; 26,4375; 0,052664354
69; 0,02356009; 0,02356009; 26,458333333333332; 0,052705843
70; 0,02356009; 0,02356009; 26,270833333333332; 0,05233234
71; 0,02356009; 0,02356009; 26,395833333333332; 0,052581344
72; 0,02356009; 0,02115785; 26,9375; 0,05366036
73; 0,02115785; 0,02115785; 26,4375; 0,052664336
74; 0,02115785; 0,013864102; 24,458333333333332; 0,048721775
75; 0,013864102; 0,013000382; 23,125; 0,046065744
76; 0,013000382; 0,013000382; 21,604166666666668; 0,04303619
77; 0,013000382; 0,013000382; 21,3125; 0,04245518
78; 0,013000382; 0,013000382; 21,354166666666668; 0,042538185
79; 0,013000382; 0,0054551205; 21,166666666666668; 0,04216468
