Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,33923975; 0,14352235; 17,545454545454547; 0,034951102
2; 0,14352235; 0,116184786; 23,318181818181817; 0,04645056
3; 0,116184786; 0,094689384; 19,727272727272727; 0,039297357
4; 0,094689384; 0,044660546; 16,272727272727273; 0,032415796
5; 0,044660546; 0,044358294; 16,90909090909091; 0,033683453
6; 0,044358294; 0,042132054; 16,5; 0,03286853
7; 0,042132054; 0,037979048; 16,363636363636363; 0,03259689
8; 0,037979048; 0,037979048; 16,954545454545453; 0,033773996
9; 0,037979048; 0,037979048; 17,363636363636363; 0,03458891
10; 0,037979048; 0,03618193; 15,227272727272727; 0,030333215
11; 0,03618193; 0,035529234; 14,818181818181818; 0,029518293
12; 0,035529234; 0,035529234; 13,863636363636363; 0,027616812
13; 0,035529234; 0,024610516; 14,227272727272727; 0,02834118
14; 0,024610516; 0,024610516; 16,363636363636363; 0,03259688
15; 0,024610516; 0,02430993; 14,5; 0,02888446
16; 0,02430993; 0,02430993; 15,227272727272727; 0,030333214
17; 0,02430993; 0,02430993; 14,818181818181818; 0,02951829
18; 0,02430993; 0,02430993; 15,272727272727273; 0,030423755
19; 0,02430993; 0,02430993; 14,545454545454545; 0,02897501
20; 0,02430993; 0,02430993; 14,363636363636363; 0,028612817
21; 0,02430993; 0,02430993; 14,454545454545455; 0,028793912
22; 0,02430993; 0,02430993; 15,909090909090908; 0,031691417
23; 0,02430993; 0,02430993; 14,727272727272727; 0,029337196
24; 0,02430993; 0,02430993; 15,045454545454545; 0,029971026
25; 0,02430993; 0,022977736; 14,954545454545455; 0,02978993
26; 0,022977736; 0,022977736; 16,363636363636363; 0,032596875
27; 0,022977736; 0,022977736; 17,5; 0,03486055
28; 0,022977736; 0,022977736; 14,954545454545455; 0,02978993
29; 0,022977736; 0,022977736; 15,681818181818182; 0,031238677
30; 0,022977736; 0,022977736; 15,454545454545455; 0,030785942
31; 0,022977736; 0,022849534; 15,909090909090908; 0,031691413
32; 0,022849534; 0,021336112; 15,590909090909092; 0,031057585
33; 0,021336112; 0,021336112; 15,863636363636363; 0,031600866
34; 0,021336112; 0,021336112; 16,227272727272727; 0,03232524
35; 0,021336112; 0,021336112; 15,727272727272727; 0,03132923
36; 0,021336112; 0,019983424; 16,40909090909091; 0,03268743
37; 0,019983424; 0,019983424; 15,590909090909092; 0,031057594
38; 0,019983424; 0,019983424; 16,772727272727273; 0,033411812
39; 0,019983424; 0,019983424; 18,181818181818183; 0,036218766
40; 0,019983424; 0,019983424; 16,0; 0,031872515
41; 0,019983424; 0,019983424; 16,727272727272727; 0,03332126
42; 0,019983424; 0,019983424; 16,818181818181817; 0,033502355
