Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,060123824; 0,046134222; 21,46551724137931; 0,04276
2; 0,046134222; 0,046134222; 17,344827586206897; 0,034551457
3; 0,046134222; 0,046134222; 21,56896551724138; 0,04296607
4; 0,046134222; 0,046134222; 25,051724137931036; 0,049903844
5; 0,046134222; 0,043762747; 24,96551724137931; 0,04973212
6; 0,043762747; 0,04370724; 24,46551724137931; 0,0487361
7; 0,04370724; 0,04336736; 26,103448275862068; 0,051998895
8; 0,04336736; 0,034389336; 26,724137931034484; 0,053235333
9; 0,034389336; 0,034389336; 26,93103448275862; 0,053647473
10; 0,034389336; 0,03400255; 27,24137931034483; 0,054265685
11; 0,03400255; 0,032801174; 26,603448275862068; 0,052994918
12; 0,032801174; 0,031457137; 26,517241379310345; 0,05282319
13; 0,031457137; 0,022318887; 26,137931034482758; 0,052067593
14; 0,020588398; 0,016923785; 25,224137931034484; 0,05024729
15; 0,016923785; 0,016923785; 27,155172413793103; 0,054093964
16; 0,016923785; 0,016923785; 26,655172413793103; 0,05309795
17; 0,016923785; 0,01461106; 26,086206896551722; 0,051964562
18; 0,01461106; 0,01461106; 26,155172413793103; 0,052101944
19; 0,01461106; 0,01461106; 25,982758620689655; 0,051758494
20; 0,01461106; 0,01461106; 26,362068965517242; 0,0525141
21; 0,01461106; 0,01461106; 25,948275862068964; 0,0516898
22; 0,01461106; 0,008399921; 26,017241379310345; 0,051827185
