Iteration; Fitness nach Rekombination; Fitness nach Mutation; Anzahl aktiver Knoten; Anteil aktiver Knoten
1; 0,07855122; 0,1475931; 14,807692307692308; 0,029497392
2; 0,056962974; 0,10965458; 17,365384615384617; 0,0345924
3; 0,06141442; 0,06694265; 17,442307692307693; 0,03474563
4; 0,06694265; 0,06694265; 16,403846153846153; 0,032676987
5; 0,06694265; 0,06694265; 17,28846153846154; 0,034439173
6; 0,06694265; 0,066381186; 17,384615384615383; 0,03463071
7; 0,066381186; 0,066381186; 15,711538461538462; 0,03129789
8; 0,04790908; 0,056302868; 18,346153846153847; 0,036546122
9; 0,056302868; 0,056302868; 17,423076923076923; 0,034707326
10; 0,056302868; 0,056302868; 19,384615384615383; 0,038614776
11; 0,056302868; 0,056302868; 18,26923076923077; 0,036392897
12; 0,056302868; 0,037287135; 18,692307692307693; 0,03723568
13; 0,037287135; 0,034923356; 19,057692307692307; 0,037963536
14; 0,034923356; 0,022312835; 17,78846153846154; 0,03543518
15; 0,022312835; 0,022312835; 17,076923076923077; 0,03401778
16; 0,022312835; 0,022312835; 17,365384615384617; 0,0345924
17; 0,022312835; 0,019488482; 17,25; 0,03436255
18; 0,019488482; 0,019488482; 16,884615384615383; 0,03363469
19; 0,019488482; 0,019488482; 17,03846153846154; 0,033941157
20; 0,019488482; 0,019488482; 18,75; 0,0373506
21; 0,019488482; 0,019488482; 18,48076923076923; 0,03681429
22; 0,019488482; 0,011031309; 17,28846153846154; 0,03443917
23; 0,00802775; 0,00802775; 18,192307692307693; 0,036239654
